Experiment:, Load
Start date:, st?eda 21. ?ervna 2023
Start time:, 10:13:50 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"300,1", "0,02073248", "1,032231"
"300,15", "0,02135803", "1,050559"
"300,3", "-0,08873863", "1,020381"
"300,35", "-0,004289486", "0,9233721"
"300,5", "-0,004289486", "0,9401196"
"300,6", "-0,005540589", "0,9382237"
"300,7", "-0,006166136", "0,9330098"
"300,75", "-0,006791682", "0,9293759"
"300,9", "-0,006791682", "0,9221081"
"301", "-0,008042786", "0,9186322"
"301,05", "-0,009293883", "0,9164203"
"301,2", "-0,01054498", "0,9132603"
"301,25", "-0,01054498", "0,9116804"
"301,35", "-0,01242163", "0,9085205"
"301,5", "-0,01179608", "0,9052026"
"301,55", "-0,01304718", "0,9042546"
"301,6", "-0,01304718", "0,9029906"
"301,7", "-0,01429828", "0,9010947"
"301,8", "-0,01492382", "0,8995147"
"301,95", "-0,01617493", "0,8973027"
"302", "-0,01742602", "0,8955648"
"302,2", "-0,01805157", "0,8938269"
"302,25", "-0,01930267", "0,8925629"
"302,35", "-0,01867712", "0,8922469"
"302,5", "-0,02117932", "0,890035"
"302,55", "-0,02117932", "0,889245"
"302,75", "-0,02243042", "0,888455"
"302,85", "-0,02368151", "0,886875"
"302,95", "-0,02368151", "0,886243"
"303,05", "-0,02430707", "0,8851371"
"303,1", "-0,02430707", "0,8851371"
"303,25", "-0,02618371", "0,8835571"
"303,3", "-0,02618371", "0,8829252"
"303,45", "-0,02806036", "0,8811872"
"303,5", "-0,02806036", "0,8807132"
"303,6", "-0,02993701", "0,8791333"
"303,7", "-0,03056256", "0,8786593"
"303,85", "-0,03181365", "0,8773953"
"304", "-0,03306475", "0,8769214"
"304,05", "-0,03306475", "0,8764474"
"304,15", "-0,03431586", "0,8753414"
"304,25", "-0,03431586", "0,8748674"
"304,35", "-0,03556695", "0,8740774"
"304,45", "-0,03681805", "0,8732874"
"304,55", "-0,03806914", "0,8728135"
"304,6", "-0,03806914", "0,8724974"
"304,8", "-0,0386947", "0,8713915"
"304,85", "-0,03994579", "0,8709175"
"305", "-0,04057134", "0,8701275"
"305,05", "-0,04119689", "0,8698115"
"305,2", "-0,04244799", "0,8690215"
"305,3", "-0,04307353", "0,8688635"
"305,35", "-0,04369909", "0,8685476"
"305,5", "-0,04495018", "0,8674416"
"305,55", "-0,04557574", "0,8668096"
"305,65", "-0,04620128", "0,8666516"
"305,75", "-0,04682683", "0,8660197"
"305,9", "-0,04870348", "0,8650717"
"305,95", "-0,04870348", "0,8647557"
"306", "-0,04995458", "0,8644397"
"306,1", "-0,04995458", "0,8639656"
"306,25", "-0,05120568", "0,8625437"
"306,3", "-0,05183123", "0,8625437"
"306,45", "-0,05370788", "0,8617538"
"306,5", "-0,05370788", "0,8615957"
"306,6", "-0,05433342", "0,8614377"
"306,7", "-0,05495897", "0,8611218"
"306,75", "-0,05558453", "0,8608057"
"306,85", "-0,05683562", "0,8600158"
"306,95", "-0,05746117", "0,8593838"
"307,05", "-0,05683562", "0,8592258"
"307,2", "-0,05871227", "0,8584358"
"307,25", "-0,05871227", "0,8585938"
"307,4", "-0,06058892", "0,8574879"
"307,45", "-0,06184002", "0,8571718"
"307,6", "-0,06246556", "0,8565399"
"307,7", "-0,06371667", "0,8560659"
"307,8", "-0,06434221", "0,8555919"
"307,95", "-0,06621886", "0,854802"
"308", "-0,06621886", "0,8546439"
"308,2", "-0,06746996", "0,854012"
"308,35", "-0,06809551", "0,853538"
"308,4", "-0,06872107", "0,853538"
"308,55", "-0,06872107", "0,8530639"
"308,7", "-0,06997216", "0,852432"
"308,75", "-0,0705977", "0,852274"
"308,85", "-0,07184881", "0,8518"
"308,95", "-0,07247435", "0,851484"
"309,05", "-0,07372544", "0,851168"
"309,1", "-0,07372544", "0,85101"
"309,25", "-0,07497655", "0,8502201"
"309,3", "-0,07560209", "0,849746"
"309,45", "-0,0768532", "0,8494301"
"309,5", "-0,0768532", "0,8492721"
"309,65", "-0,0781043", "0,8487981"
"309,7", "-0,07872984", "0,8484821"
"309,8", "-0,08060649", "0,8480082"
"309,85", "-0,08060649", "0,8478501"
"310", "-0,08248314", "0,8469021"
"310,05", "-0,08248314", "0,8467441"
"310,2", "-0,08373423", "0,8462701"
"310,25", "-0,08435979", "0,8461121"
"310,4", "-0,08623644", "0,8457962"
"310,45", "-0,08686198", "0,8454802"
"310,6", "-0,08748753", "0,8451642"
