Experiment:, Load
Start date:, st?eda 20. z??? 2023
Start time:, 12:44:17 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"300,1", "0,01948138", "1,094323"
"300,2", "0,02073248", "1,14267"
"300,3", "-0,09061528", "1,075048"
"300,35", "-0,005540589", "0,9337998"
"300,5", "-0,005540589", "0,9658729"
"300,65", "-0,007417239", "0,9674529"
"300,7", "-0,008042786", "0,9650829"
"300,85", "-0,009293883", "0,9532332"
"300,9", "-0,009293883", "0,9451755"
"301", "-0,009919429", "0,9311138"
"301,05", "-0,01054498", "0,9230561"
"301,2", "-0,01179608", "0,9036226"
"301,25", "-0,01242163", "0,8982507"
"301,35", "-0,01304718", "0,889403"
"301,45", "-0,01367273", "0,8827672"
"301,55", "-0,01429828", "0,8807132"
"301,65", "-0,01492382", "0,8759734"
"301,7", "-0,01617493", "0,8736034"
"301,8", "-0,01742602", "0,8701275"
"301,9", "-0,01867712", "0,8675996"
"302", "-0,01867712", "0,8653877"
"302,15", "-0,02055377", "0,8630177"
"302,2", "-0,02055377", "0,8619117"
"302,25", "-0,02243042", "0,8596998"
"302,4", "-0,02305596", "0,8576458"
"302,45", "-0,02368151", "0,8570139"
"302,55", "-0,02430707", "0,8559079"
"302,7", "-0,02618371", "0,85338"
"302,75", "-0,02618371", "0,8530639"
"302,8", "-0,02680926", "0,852432"
"302,95", "-0,02743481", "0,8518"
"303,1", "-0,02931145", "0,8502201"
"303,15", "-0,02931145", "0,8495881"
"303,25", "-0,03118811", "0,8480082"
"303,35", "-0,03118811", "0,8473761"
"303,4", "-0,03181365", "0,8472181"
"303,5", "-0,03181365", "0,8469021"
"303,6", "-0,03306475", "0,8456382"
"303,7", "-0,03306475", "0,8445322"
"303,8", "-0,03431586", "0,8439003"
"303,9", "-0,03431586", "0,8432683"
"304", "-0,03619251", "0,8418462"
"304,1", "-0,03619251", "0,8415303"
"304,2", "-0,0374436", "0,8402663"
"304,25", "-0,03806914", "0,8396344"
"304,4", "-0,04057134", "0,8371064"
"304,45", "-0,04119689", "0,8367904"
"304,65", "-0,04182244", "0,8366324"
"304,8", "-0,04369909", "0,8352104"
"304,85", "-0,04369909", "0,8345785"
"304,95", "-0,04495018", "0,8337885"
"305", "-0,04495018", "0,8328406"
"305,15", "-0,04620128", "0,8322086"
"305,2", "-0,04620128", "0,8311026"
"305,35", "-0,04745239", "0,8303126"
"305,4", "-0,04807793", "0,8296806"
"305,55", "-0,04932903", "0,8285747"
"305,6", "-0,04995458", "0,8284166"
"305,8", "-0,05058013", "0,8274687"
"305,9", "-0,05120568", "0,8266787"
"305,95", "-0,05183123", "0,8263627"
"306,1", "-0,05308233", "0,8258888"
"306,15", "-0,05433342", "0,8249407"
"306,3", "-0,05495897", "0,8241507"
"306,35", "-0,05558453", "0,8238348"
"306,45", "-0,05683562", "0,8232028"
"306,55", "-0,05746117", "0,8222548"
"306,65", "-0,05808672", "0,8220968"
"306,7", "-0,05808672", "0,8219388"
"306,8", "-0,05933782", "0,8211489"
"306,9", "-0,05933782", "0,8213068"
"307", "-0,06058892", "0,8202009"
"307,1", "-0,06121447", "0,8200429"
"307,25", "-0,06246556", "0,8189369"
"307,3", "-0,06309112", "0,8189369"
"307,45", "-0,06371667", "0,8181469"
"307,6", "-0,06434221", "0,8178309"
"307,65", "-0,06496777", "0,8171989"
"307,75", "-0,06621886", "0,816725"
"307,85", "-0,06684442", "0,8165669"
"308", "-0,06872107", "0,815303"
"308,05", "-0,06872107", "0,8148291"
"308,15", "-0,0693466", "0,8143551"
"308,25", "-0,0693466", "0,814513"
"308,35", "-0,07122325", "0,813565"
"308,4", "-0,07122325", "0,813091"
"308,5", "-0,07247435", "0,8127751"
"308,6", "-0,07247435", "0,8123011"
"308,75", "-0,074351", "0,8115111"
"308,8", "-0,074351", "0,8113531"
"308,95", "-0,07560209", "0,8104051"
"309", "-0,07622765", "0,8099312"
"309,05", "-0,0768532", "0,8097731"
"309,15", "-0,07747874", "0,8094572"
"309,3", "-0,07872984", "0,8088252"
"309,35", "-0,07935539", "0,8083512"
"309,55", "-0,07998095", "0,8078772"
"309,7", "-0,0818576", "0,8072452"
"309,8", "-0,0818576", "0,8069292"
"309,85", "-0,08310869", "0,8066132"
"309,9", "-0,08310869", "0,8061392"
"310", "-0,08373423", "0,8059813"
"310,1", "-0,08435979", "0,8058233"
"310,25", "-0,08561088", "0,8048753"
"310,3", "-0,08623644", "0,8045593"
"310,35", "-0,08748753", "0,8039273"
"310,5", "-0,08748753", "0,8036113"
"310,65", "-0,08873863", "0,8029793"
"310,7", "-0,08873863", "0,8028213"
"310,8", "-0,08998973", "0,8021894"
"310,85", "-0,08998973", "0,8020313"
"311", "-0,09186638", "0,8012414"
"311,05", "-0,09249193", "0,8010834"
"311,2", "-0,09436858", "0,8002934"
"311,25", "-0,09374303", "0,8002934"
"311,3", "-0,09499412", "0,7999774"
"311,5", "-0,09499412", "0,7995034"
"311,55", "-0,09624523", "0,7991874"
"311,6", "-0,09687077", "0,7988715"
"311,75", "-0,09812186", "0,7982395"
"311,8", "-0,09874742", "0,7979235"
"311,95", "-0,0999985", "0,7974495"
"312", "-0,09937298", "0,7974495"
"312,1", "-0,1006241", "0,7968175"
"312,2", "-0,1006241", "0,7965015"
"312,25", "-0,1018752", "0,7963435"
"312,35", "-0,1018752", "0,7960275"
"312,45", "-0,1031263", "0,7958695"
"312,55", "-0,1031263", "0,7955535"
"312,7", "-0,1056285", "0,7949216"
"312,75", "-0,106254", "0,7944475"
"312,8", "-0,1068796", "0,7939736"
"312,95", "-0,1068796", "0,7939736"
"313,1", "-0,1081306", "0,7934996"
"313,15", "-0,1081306", "0,7931836"
"313,25", "-0,1100073", "0,7925516"
"313,3", "-0,1106329", "0,7920777"
"313,4", "-0,1112584", "0,7916036"
"313,5", "-0,1112584", "0,7916036"
"313,65", "-0,113135", "0,7909716"
"313,7", "-0,113135", "0,7908136"
"313,85", "-0,1150117", "0,7901817"
"313,9", "-0,1143861", "0,7898657"
"314", "-0,1162628", "0,7893917"
"314,05", "-0,1162628", "0,7892337"
"314,2", "-0,1181394", "0,7884437"
"314,25", "-0,1181394", "0,7886018"
"314,4", "-0,1193905", "0,7881277"
"314,45", "-0,1193905", "0,7879698"
"314,6", "-0,1212672", "0,7874958"
"314,65", "-0,1212672", "0,7878118"
"314,75", "-0,1225183", "0,7865478"
"314,85", "-0,1225183", "0,7865478"
"314,95", "-0,1237694", "0,7860737"
"315", "-0,1243949", "0,7859158"
"315,15", "-0,125646", "0,7852838"
"315,2", "-0,125646", "0,7851258"
