Experiment:, Load
Start date:, ?ter? 26. z??? 2023
Start time:, 11:29:25 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"196,1", "0,01510254", "1,05909"
"196,3", "-0,06997216", "1,037919"
"196,5", "-0,005540589", "0,9514953"
"196,75", "-0,007417239", "0,9356957"
"196,85", "-0,008668332", "0,9224241"
"197,2", "-0,01179608", "0,8856111"
"197,25", "-0,01179608", "0,8832412"
"197,5", "-0,01429828", "0,8734454"
"197,6", "-0,01492382", "0,8702855"
"197,85", "-0,01742602", "0,8638077"
"198", "-0,01805157", "0,8620697"
"198,3", "-0,02055377", "0,8574879"
"198,35", "-0,02055377", "0,8571718"
"198,5", "-0,02243042", "0,85496"
"198,75", "-0,02368151", "0,851958"
"199", "-0,02618371", "0,8492721"
"199,1", "-0,02618371", "0,8491141"
"199,45", "-0,02993701", "0,8451642"
"199,5", "-0,02993701", "0,8454802"
"199,8", "-0,03243921", "0,8427943"
"199,85", "-0,03306475", "0,8421623"
"200,2", "-0,03681805", "0,8388444"
"200,25", "-0,03681805", "0,8388444"
"200,4", "-0,03806914", "0,8382124"
"200,6", "-0,03806914", "0,8371064"
"200,9", "-0,04119689", "0,8350524"
"201", "-0,04182244", "0,8345785"
"201,25", "-0,04369909", "0,8323665"
"201,35", "-0,04495018", "0,8311026"
"201,7", "-0,04745239", "0,8285747"
"201,75", "-0,04745239", "0,8281007"
"202,05", "-0,04995458", "0,8268367"
"202,1", "-0,04995458", "0,8265207"
"202,4", "-0,05308233", "0,8247827"
"202,55", "-0,05308233", "0,8247827"
"202,8", "-0,05621007", "0,8232028"
"202,85", "-0,05683562", "0,8228868"
"203,15", "-0,05933782", "0,8214648"
"203,25", "-0,05996337", "0,8211489"
"203,5", "-0,06246556", "0,8202009"
"203,6", "-0,06246556", "0,8198849"
"203,95", "-0,06496777", "0,8186209"
"204", "-0,06559331", "0,8181469"
"204,25", "-0,06872107", "0,8165669"
"204,35", "-0,06872107", "0,816251"
"204,7", "-0,07184881", "0,8148291"
"204,75", "-0,07247435", "0,8148291"
"205", "-0,074351", "0,814039"
"205,1", "-0,07497655", "0,813723"
"205,35", "-0,0768532", "0,812933"
"205,5", "-0,0781043", "0,8123011"
"205,8", "-0,07998095", "0,8110371"
"205,85", "-0,08060649", "0,8110371"
"206,2", "-0,08373423", "0,8094572"
"206,25", "-0,08373423", "0,8094572"
"206,55", "-0,08686198", "0,8085092"
"206,6", "-0,08686198", "0,8081931"
"206,9", "-0,08998973", "0,8072452"
"207", "-0,08998973", "0,8069292"
"207,2", "-0,09249193", "0,8064553"
"207,35", "-0,09374303", "0,8061392"
"207,65", "-0,09687077", "0,8048753"
"207,75", "-0,09687077", "0,8047173"
"208,05", "-0,09937298", "0,8039273"
"208,1", "-0,0999985", "0,8034533"
"208,35", "-0,1018752", "0,8029793"
"208,5", "-0,1025007", "0,8025053"
"208,8", "-0,1056285", "0,8010834"
"208,9", "-0,1056285", "0,8013994"
"209,15", "-0,1081306", "0,8004514"
"209,25", "-0,1081306", "0,8004514"
"209,55", "-0,1112584", "0,7988715"
"209,6", "-0,1112584", "0,7987134"
"209,8", "-0,1137606", "0,7979235"
"210", "-0,1150117", "0,7974495"
"210,25", "-0,1168883", "0,7971334"
"210,35", "-0,1175139", "0,7965015"
"210,7", "-0,1200161", "0,7952375"
"210,75", "-0,1200161", "0,7950795"
"211", "-0,1225183", "0,7944475"
"211,1", "-0,1225183", "0,7942896"
"211,45", "-0,1250205", "0,7933416"
"211,5", "-0,125646", "0,7931836"
"211,8", "-0,1287738", "0,7923936"
"211,85", "-0,1293993", "0,7922357"
"212,1", "-0,1319015", "0,7916036"
"212,25", "-0,1325271", "0,7912876"
"212,5", "-0,1344037", "0,7908136"
"212,6", "-0,1350293", "0,7906557"
"212,9", "-0,1369059", "0,7898657"
"213", "-0,1375315", "0,7895497"
"213,3", "-0,1400337", "0,7889177"
"213,35", "-0,1406592", "0,7886018"
"213,7", "-0,143787", "0,7878118"
"213,75", "-0,143787", "0,7878118"
"214", "-0,1462891", "0,7871798"
"214,1", "-0,1462891", "0,7868638"
"214,45", "-0,150668", "0,7862318"
"214,5", "-0,150668", "0,7859158"
"214,8", "-0,1531702", "0,7851258"
"214,85", "-0,1531702", "0,7851258"
"215,2", "-0,1550468", "0,7843359"
"215,25", "-0,1556724", "0,7843359"
"215,55", "-0,1581746", "0,7835459"
"215,6", "-0,1588001", "0,7832299"
"215,95", "-0,1606768", "0,7825979"
"216", "-0,1600512", "0,7825979"
"216,25", "-0,163179", "0,7816499"
"216,35", "-0,163179", "0,7818079"
"216,7", "-0,1669323", "0,7808599"
"216,75", "-0,1669323", "0,7808599"
