Experiment:, Load
Start date:, ?ter? 3. ??jna 2023
Start time:, 11:50:18 +02:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"252,2", "0,02698797", "1,069202"
"252,3", "-0,1143861", "1,009796"
"252,5", "-0,005540589", "0,9192641"
"252,8", "-0,008668332", "0,9029906"
"252,85", "-0,008042786", "0,8998307"
"253,2", "-0,01242163", "0,8827672"
"253,25", "-0,01304718", "0,8808712"
"253,55", "-0,01554937", "0,8718655"
"253,6", "-0,01554937", "0,8704435"
"253,7", "-0,01680047", "0,8679156"
"254", "-0,01742602", "0,8639656"
"254,25", "-0,02055377", "0,8579618"
"254,35", "-0,02117932", "0,8571718"
"254,7", "-0,02305596", "0,8529059"
"254,75", "-0,02368151", "0,852116"
"255,05", "-0,02680926", "0,8473761"
"255,1", "-0,02680926", "0,8475341"
"255,35", "-0,02931145", "0,8454802"
"255,5", "-0,02931145", "0,8442162"
"255,8", "-0,03243921", "0,8412143"
"255,85", "-0,03306475", "0,8405823"
"256,2", "-0,03619251", "0,8375804"
"256,25", "-0,03681805", "0,8372644"
"256,55", "-0,03932025", "0,8342625"
"256,6", "-0,03932025", "0,8339465"
"256,9", "-0,04244799", "0,8312606"
"257", "-0,04244799", "0,8301546"
"257,3", "-0,04495018", "0,8281007"
"257,35", "-0,04620128", "0,8279427"
"257,6", "-0,04807793", "0,8262047"
"257,75", "-0,04807793", "0,8258888"
"257,95", "-0,05120568", "0,8239927"
"258,1", "-0,05120568", "0,8236768"
"258,4", "-0,05433342", "0,8214648"
"258,5", "-0,05558453", "0,8208328"
"258,8", "-0,05808672", "0,8194109"
"258,85", "-0,05871227", "0,8187789"
"259,2", "-0,06184002", "0,817041"
"259,25", "-0,06184002", "0,816883"
"259,45", "-0,06309112", "0,815935"
"259,6", "-0,06371667", "0,815619"
"259,9", "-0,06746996", "0,813565"
"260", "-0,06809551", "0,813091"
"260,3", "-0,0705977", "0,8116691"
"260,35", "-0,06997216", "0,8116691"
"260,7", "-0,0730999", "0,8099312"
"260,75", "-0,07372544", "0,8096152"
"261,05", "-0,07560209", "0,8085092"
"261,1", "-0,07560209", "0,8085092"
"261,4", "-0,07935539", "0,8070872"
"261,5", "-0,07935539", "0,8069292"
"261,8", "-0,0818576", "0,8061392"
"261,85", "-0,08248314", "0,8056653"
"262,2", "-0,08498534", "0,8042433"
"262,25", "-0,08561088", "0,8042433"
"262,45", "-0,08686198", "0,8034533"
"262,6", "-0,08748753", "0,8029793"
"262,95", "-0,08998973", "0,8015574"
"263", "-0,09061528", "0,8012414"
"263,25", "-0,09249193", "0,8006094"
"263,35", "-0,09311747", "0,8001354"
"263,65", "-0,09624523", "0,7991874"
"263,75", "-0,09624523", "0,7988715"
"264", "-0,09874742", "0,7976075"
"264,1", "-0,09937298", "0,7972915"
"264,45", "-0,1012496", "0,7963435"
"264,5", "-0,1018752", "0,7961855"
"264,75", "-0,1043774", "0,7953956"
"264,85", "-0,1043774", "0,7950795"
"265,15", "-0,1081306", "0,7941316"
"265,25", "-0,1081306", "0,7938156"
"265,55", "-0,1106329", "0,7928676"
"265,6", "-0,1106329", "0,7925516"
"265,95", "-0,113135", "0,7919196"
"266", "-0,1137606", "0,7916036"
"266,25", "-0,1168883", "0,7906557"
"266,35", "-0,1175139", "0,7901817"
"266,6", "-0,1200161", "0,7895497"
"266,75", "-0,1206416", "0,7892337"
"267", "-0,1225183", "0,7886018"
"267,1", "-0,1225183", "0,7881277"
"267,4", "-0,1250205", "0,7878118"
"267,5", "-0,125646", "0,7874958"
"267,75", "-0,1281482", "0,7865478"
"267,85", "-0,1281482", "0,7863898"
"268,2", "-0,131276", "0,7851258"
"268,25", "-0,1319015", "0,7851258"
"268,55", "-0,1337782", "0,7840198"
"268,6", "-0,1344037", "0,7838619"
"268,95", "-0,1369059", "0,7832299"
"269,05", "-0,1369059", "0,7835459"
"269,3", "-0,1400337", "0,7821239"
"269,35", "-0,1400337", "0,7819659"
"269,6", "-0,1419103", "0,781176"
"269,75", "-0,1425359", "0,7808599"
"270", "-0,1456636", "0,7799119"
"270,1", "-0,1462891", "0,7797539"
"270,45", "-0,1494169", "0,778806"
"270,5", "-0,1494169", "0,778806"
"270,75", "-0,1512935", "0,778016"
"270,85", "-0,1519191", "0,7777"
"271,1", "-0,1544213", "0,7769101"
"271,25", "-0,1550468", "0,7767521"
"271,5", "-0,1569235", "0,7761201"
"271,6", "-0,157549", "0,7761201"
"271,95", "-0,1600512", "0,7751721"
"272", "-0,1600512", "0,7751721"
"272,25", "-0,1625534", "0,7743821"
"272,35", "-0,1625534", "0,7742241"
"272,7", "-0,1663067", "0,7732762"
"272,75", "-0,1669323", "0,7732762"
"273,05", "-0,17006", "0,7723281"
"273,1", "-0,17006", "0,7723281"
"273,4", "-0,1725622", "0,7713802"
"273,5", "-0,1731878", "0,7712222"
"273,75", "-0,1750644", "0,7705902"
"273,85", "-0,1756899", "0,7704322"
"274,2", "-0,1794432", "0,7694843"
"274,25", "-0,1794432", "0,7694843"
"274,55", "-0,182571", "0,7685363"
"274,6", "-0,1831965", "0,7685363"
"274,95", "-0,1850732", "0,7677463"
"275", "-0,1850732", "0,7677463"
"275,2", "-0,1875754", "0,7671143"
"275,35", "-0,1875754", "0,7667983"
"275,65", "-0,1913287", "0,7661663"
"275,75", "-0,1913287", "0,7660083"
"276", "-0,1932053", "0,7653764"
"276,1", "-0,1938309", "0,7650604"
"276,4", "-0,1969586", "0,7644284"
"276,5", "-0,1969586", "0,7642704"
"276,75", "-0,2000864", "0,7634804"
"276,85", "-0,2007119", "0,7634804"
"277,15", "-0,2032141", "0,7625324"
"277,25", "-0,2038397", "0,7623744"
"277,55", "-0,2063419", "0,7615845"
"277,6", "-0,2069674", "0,7615845"
"277,95", "-0,2100952", "0,7612684"
"278", "-0,2100952", "0,7612684"
