Experiment:, Load
Start date:, ?ter? 30. ledna 2024
Start time:, 16:36:28 +01:00
"Time (s)", "Current Density (A/cm2)", "Voltage (V)"
"75,25", "0,01572808", "1,177587"
"75,3", "-0,06809551", "1,081526"
"75,45", "-0,005540589", "0,9835684"
"75,7", "-0,007417239", "0,9965241"
"75,75", "-0,008042786", "0,9924162"
"76", "-0,009919429", "0,9465975"
"76,05", "-0,01054498", "0,9371177"
"76,25", "-0,01242163", "0,9034646"
"76,35", "-0,01179608", "0,8958808"
"76,45", "-0,01304718", "0,8914569"
"76,65", "-0,01304718", "0,8799232"
"76,9", "-0,01554937", "0,8728135"
"76,95", "-0,01617493", "0,8715495"
"77,15", "-0,01805157", "0,8669676"
"77,25", "-0,01805157", "0,8658617"
"77,5", "-0,02055377", "0,8595418"
"77,55", "-0,02117932", "0,8581198"
"77,8", "-0,02305596", "0,854802"
"77,85", "-0,02368151", "0,853696"
"78,1", "-0,02555816", "0,85101"
"78,15", "-0,02618371", "0,8500621"
"78,4", "-0,02806036", "0,8464282"
"78,45", "-0,02806036", "0,8462701"
"78,6", "-0,02931145", "0,8443742"
"78,75", "-0,02993701", "0,8434262"
"79", "-0,03181365", "0,8407403"
"79,05", "-0,03181365", "0,8401083"
"79,25", "-0,0349414", "0,8363164"
"79,35", "-0,03556695", "0,8350524"
"79,6", "-0,03806914", "0,8331565"
"79,65", "-0,03806914", "0,8318925"
"79,8", "-0,03932025", "0,8303126"
"79,95", "-0,03994579", "0,8296806"
"80,2", "-0,04244799", "0,8271527"
"80,25", "-0,04182244", "0,8268367"
"80,5", "-0,04432464", "0,8250987"
"80,55", "-0,04495018", "0,8244667"
"80,75", "-0,04620128", "0,8228868"
"80,85", "-0,04620128", "0,8225708"
"81,1", "-0,04870348", "0,8202009"
"81,15", "-0,04932903", "0,8198849"
"81,4", "-0,05245678", "0,816883"
"81,5", "-0,05245678", "0,8171989"
"81,6", "-0,05433342", "0,815935"
"81,75", "-0,05558453", "0,8143551"
"82", "-0,05808672", "0,8126171"
"82,05", "-0,05808672", "0,8127751"
"82,3", "-0,06058892", "0,8105631"
"82,35", "-0,06058892", "0,8102471"
"82,55", "-0,06246556", "0,8089832"
"82,65", "-0,06309112", "0,8085092"
"82,75", "-0,06496777", "0,8074032"
"82,95", "-0,06496777", "0,8067712"
"83,15", "-0,06746996", "0,8051913"
"83,25", "-0,06872107", "0,8045593"
"83,5", "-0,06997216", "0,8034533"
"83,55", "-0,06997216", "0,8034533"
"83,7", "-0,07122325", "0,8023473"
"83,85", "-0,07184881", "0,8015574"
"84", "-0,07372544", "0,8006094"
"84,15", "-0,074351", "0,7996615"
"84,4", "-0,0768532", "0,7982395"
"84,45", "-0,0768532", "0,7979235"
"84,7", "-0,07872984", "0,7965015"
"84,75", "-0,07935539", "0,7961855"
"85", "-0,0818576", "0,7944475"
"85,05", "-0,0818576", "0,7941316"
"85,25", "-0,08310869", "0,7934996"
"85,35", "-0,08373423", "0,7928676"
"85,55", "-0,08561088", "0,7919196"
"85,65", "-0,08561088", "0,7916036"
"85,85", "-0,08748753", "0,7904977"
"85,95", "-0,08873863", "0,7898657"
"86,15", "-0,08998973", "0,7892337"
"86,25", "-0,08998973", "0,7886018"
"86,5", "-0,09311747", "0,7867058"
"86,55", "-0,09374303", "0,7865478"
"86,8", "-0,09624523", "0,7851258"
"86,85", "-0,09624523", "0,7852838"
"87", "-0,09749633", "0,7844938"
"87,15", "-0,09749633", "0,7841778"
"87,4", "-0,0999985", "0,7825979"
"87,45", "-0,1006241", "0,7822819"
"87,7", "-0,1025007", "0,781018"
"87,75", "-0,1031263", "0,780544"
"88", "-0,1043774", "0,7797539"
"88,05", "-0,1043774", "0,779596"
"88,25", "-0,1068796", "0,778174"
"88,35", "-0,1075051", "0,778016"
"88,6", "-0,1100073", "0,776594"
"88,65", "-0,1100073", "0,7762781"
"88,8", "-0,1112584", "0,7756461"
"88,95", "-0,1125095", "0,7746981"
"89,05", "-0,1137606", "0,7742241"
"89,25", "-0,1143861", "0,7735921"
"89,4", "-0,1162628", "0,7729601"
"89,55", "-0,1175139", "0,7729601"
"89,8", "-0,1193905", "0,7720122"
"89,9", "-0,1193905", "0,7716962"
"90,1", "-0,1225183", "0,7704322"
"90,15", "-0,1231438", "0,7701163"
"90,35", "-0,1243949", "0,7698002"
"90,45", "-0,1250205", "0,7698002"
"90,65", "-0,1268971", "0,7691682"
"90,75", "-0,1268971", "0,7690102"
"91", "-0,1287738", "0,7677463"
"91,05", "-0,1293993", "0,7677463"
"91,25", "-0,1319015", "0,7661663"
"91,35", "-0,1325271", "0,7655343"
"91,55", "-0,1344037", "0,7642704"
"91,65", "-0,1344037", "0,7639544"
"91,9", "-0,1356548", "0,7631644"
"91,95", "-0,1375315", "0,7625324"
"92,2", "-0,1387826", "0,7615845"
"92,25", "-0,1387826", "0,7612684"
"92,35", "-0,1400337", "0,7607945"
"92,55", "-0,1406592", "0,7604785"
"92,75", "-0,143787", "0,7595305"
"92,85", "-0,1444125", "0,7595305"
"93,1", "-0,1462891", "0,7582666"
"93,15", "-0,1462891", "0,7582666"
"93,35", "-0,1481658", "0,7573186"
"93,45", "-0,1481658", "0,7568446"
"93,6", "-0,1500424", "0,7558966"
"93,75", "-0,150668", "0,7541587"
"94", "-0,1531702", "0,7522627"
"94,05", "-0,1531702", "0,7519467"
"94,3", "-0,1550468", "0,7508407"
"94,35", "-0,1550468", "0,7508407"
"94,55", "-0,1562979", "0,7502087"
"94,65", "-0,1569235", "0,7497348"
"94,9", "-0,1594257", "0,7486288"
"94,95", "-0,1600512", "0,7483128"
"95,05", "-0,1613023", "0,7478389"
"95,25", "-0,1625534", "0,7475229"
"95,5", "-0,1638045", "0,7467328"
"95,55", "-0,1650556", "0,7465748"
"95,75", "-0,1656812", "0,7461008"
"95,85", "-0,1663067", "0,7459429"
"96,1", "-0,1688089", "0,7451529"
"96,15", "-0,1688089", "0,7448369"
"96,4", "-0,1713111", "0,743731"
"96,45", "-0,1713111", "0,7438889"
"96,7", "-0,1738133", "0,742625"
"96,75", "-0,1738133", "0,742467"
"97", "-0,1763155", "0,741519"
"97,05", "-0,1763155", "0,741519"
"97,25", "-0,1788177", "0,740571"
"97,35", "-0,1794432", "0,740255"
"97,6", "-0,1813199", "0,7394651"
"97,65", "-0,1813199", "0,7394651"
"97,9", "-0,1838221", "0,7385171"
"98", "-0,1838221", "0,7383591"
"98,2", "-0,1856987", "0,7377271"
"98,25", "-0,1850732", "0,7375691"
"98,45", "-0,1875754", "0,7369372"
"98,55", "-0,188201", "0,7364632"
"98,75", "-0,1900776", "0,7355151"
"98,85", "-0,1913287", "0,7355151"
"99,05", "-0,1938309", "0,7344092"
"99,15", "-0,1944564", "0,7340932"
"99,4", "-0,1957076", "0,7334612"
"99,45", "-0,1957076", "0,7336192"
"99,7", "-0,1982097", "0,7326713"
"99,75", "-0,1982097", "0,7323552"
"99,95", "-0,2007119", "0,7315653"
"100,05", "-0,2007119", "0,7314073"
"100,25", "-0,2025886", "0,7307753"
"100,35", "-0,2032141", "0,7306173"
"100,6", "-0,2050908", "0,7295113"
"100,65", "-0,2050908", "0,7295113"
"100,85", "-0,2069674", "0,7288793"
"100,95", "-0,207593", "0,7285634"
"101,2", "-0,2094696", "0,7279314"
"101,25", "-0,2100952", "0,7276154"
"101,5", "-0,2119718", "0,7269834"
"101,55", "-0,2125974", "0,7266674"
"101,8", "-0,214474", "0,7261934"
"101,85", "-0,214474", "0,7260354"
"102,1", "-0,2163507", "0,7255614"
"102,15", "-0,2163507", "0,7252455"
"102,35", "-0,2182273", "0,7246135"
"102,45", "-0,2182273", "0,7244554"
"102,7", "-0,2213551", "0,7235075"
"102,75", "-0,2219806", "0,7231915"
"103", "-0,2238573", "0,7222435"
"103,05", "-0,2244828", "0,7222435"
"103,3", "-0,226985", "0,7212955"
"103,35", "-0,226985", "0,7211376"
"103,55", "-0,2294872", "0,7205056"
"103,65", "-0,2294872", "0,7203476"
"103,9", "-0,2319894", "0,7195576"
"103,95", "-0,2319894", "0,7195576"
"104,2", "-0,2332405", "0,7190837"
"104,25", "-0,233866", "0,7189257"
"104,5", "-0,2357427", "0,7182936"
"104,55", "-0,2363683", "0,7181356"
"104,7", "-0,2376193", "0,7178196"
"104,85", "-0,2382449", "0,7171876"
"105", "-0,2401216", "0,7167137"
"105,15", "-0,2401216", "0,7163977"
"105,4", "-0,2426237", "0,7156077"
"105,45", "-0,2426237", "0,7156077"
"105,7", "-0,2445004", "0,7148178"
"105,75", "-0,2445004", "0,7148178"
"105,95", "-0,246377", "0,7140278"
"106,05", "-0,2470026", "0,7137118"
"106,3", "-0,2495048", "0,7129217"
"106,35", "-0,2501303", "0,7127638"
"106,55", "-0,252007", "0,7122898"
"106,65", "-0,2526325", "0,7119738"
"106,7", "-0,2538836", "0,7116578"
"106,95", "-0,2545092", "0,7110258"
"107,15", "-0,2557603", "0,7105519"
"107,25", "-0,2563858", "0,7103938"
"107,5", "-0,2582625", "0,7096039"
"107,55", "-0,258888", "0,7094459"
"107,7", "-0,2601391", "0,7089719"
"107,85", "-0,2613902", "0,7088139"
"108,1", "-0,2632668", "0,708024"
"108,15", "-0,2638924", "0,707866"
"108,4", "-0,2657691", "0,7073919"
"108,45", "-0,2663946", "0,7072339"
"108,7", "-0,2682712", "0,706444"
"108,75", "-0,2682712", "0,706444"
"109", "-0,2701479", "0,7059699"
"109,05", "-0,2707734", "0,705654"
"109,25", "-0,2720245", "0,70518"
"109,35", "-0,2726501", "0,704864"
"109,45", "-0,2745267", "0,704548"
"109,65", "-0,2745267", "0,704232"
"109,9", "-0,2776545", "0,703442"
"109,95", "-0,2776545", "0,703442"
"110,1", "-0,2795311", "0,7029681"
"110,25", "-0,2801567", "0,7026521"
"110,4", "-0,2826589", "0,7021781"
"110,55", "-0,2826589", "0,701862"
"110,75", "-0,2851611", "0,70123"
"110,85", "-0,2857866", "0,7009141"
"111,1", "-0,2882888", "0,7002821"
"111,15", "-0,2889144", "0,7002821"
"111,3", "-0,2901655", "0,6998081"
"111,45", "-0,2901655", "0,6993341"
"111,7", "-0,2920421", "0,6988602"
"111,75", "-0,2920421", "0,6988602"
"111,95", "-0,2945443", "0,6982282"
"112,05", "-0,2945443", "0,6982282"
"112,3", "-0,2970465", "0,6975962"
"112,35", "-0,2976721", "0,6972802"
"112,65", "-0,3001743", "0,6966482"
"112,7", "-0,3007998", "0,6964902"
"112,95", "-0,3026764", "0,6960162"
"113", "-0,303302", "0,6958582"
"113,1", "-0,3039276", "0,6955422"
"113,3", "-0,3051786", "0,6952263"
"113,5", "-0,3064297", "0,6947523"
"113,6", "-0,3064297", "0,6947523"
"113,85", "-0,310183", "0,6936463"
"113,9", "-0,310183", "0,6936463"
"114,15", "-0,3120597", "0,6933303"
"114,2", "-0,3126852", "0,6931723"
"114,35", "-0,3139363", "0,6928563"
"114,5", "-0,3139363", "0,6925403"
"114,75", "-0,3164385", "0,6920664"
"114,8", "-0,3164385", "0,6919084"
"115,05", "-0,3195663", "0,6912764"
"115,1", "-0,3195663", "0,6909604"
"115,35", "-0,3214429", "0,6904864"
"115,4", "-0,3214429", "0,6904864"
"115,55", "-0,3233195", "0,6900124"
"115,7", "-0,3245707", "0,6896964"
"115,95", "-0,3264473", "0,6892224"
"116", "-0,3276984", "0,6889064"
"116,05", "-0,328324", "0,6887484"
"116,3", "-0,3289495", "0,6882744"
"116,5", "-0,3302006", "0,6879585"
"116,6", "-0,3314517", "0,6878005"
"116,85", "-0,3339539", "0,6871685"
"116,9", "-0,3339539", "0,6871685"
"117,05", "-0,335205", "0,6866945"
"117,2", "-0,335205", "0,6865365"
"117,4", "-0,3377072", "0,6859046"
"117,5", "-0,3383327", "0,6855885"
"117,7", "-0,3402094", "0,6852726"
"117,8", "-0,3402094", "0,6851146"
"118,05", "-0,3433371", "0,6844825"
"118,1", "-0,3433371", "0,6843246"
"118,35", "-0,3452138", "0,6838505"
"118,4", "-0,3458393", "0,6838505"
"118,6", "-0,3483416", "0,6832186"
"118,7", "-0,3489671", "0,6830606"
"118,8", "-0,3495926", "0,6829026"
"119", "-0,3502182", "0,6827446"
"119,2", "-0,3520948", "0,6824286"
"119,3", "-0,3520948", "0,6824286"
"119,5", "-0,3545971", "0,6819546"
"119,6", "-0,3552226", "0,6821126"
"119,85", "-0,3577248", "0,6825866"
"119,9", "-0,3577248", "0,6827446"
"120,1", "-0,360227", "0,6827446"
"120,2", "-0,360227", "0,6829026"
"120,4", "-0,3627291", "0,6824286"
"120,55", "-0,3633547", "0,6824286"
"120,65", "-0,3646058", "0,6819546"
"120,8", "-0,3646058", "0,6819546"
"121,05", "-0,3664825", "0,6816387"
"121,1", "-0,367108", "0,6814806"
"121,35", "-0,3689846", "0,6811647"
"121,4", "-0,3696102", "0,6808487"
"121,65", "-0,3714869", "0,6805327"
"121,7", "-0,3721124", "0,6805327"
"121,95", "-0,3746146", "0,6802167"
"122", "-0,3746146", "0,6802167"
"122,15", "-0,3758657", "0,6799007"
"122,3", "-0,3764912", "0,6795847"
"122,55", "-0,3783679", "0,6792687"
"122,6", "-0,3789935", "0,6792687"
"122,75", "-0,3802446", "0,6789527"
"122,9", "-0,3814957", "0,6787947"
"123,1", "-0,3827467", "0,6783207"
"123,2", "-0,3833723", "0,6781627"
"123,45", "-0,3858745", "0,6775308"
"123,5", "-0,3865001", "0,6776887"
"123,7", "-0,3883767", "0,6773728"
"123,8", "-0,3890022", "0,6772147"
"124", "-0,3908789", "0,6765828"
"124,1", "-0,3915044", "0,6764248"
"124,3", "-0,3933811", "0,6762668"
"124,4", "-0,3946322", "0,6761088"
"124,65", "-0,3965089", "0,6756348"
"124,7", "-0,3965089", "0,6756348"
"124,75", "-0,3971344", "0,6756348"
"125", "-0,3983855", "0,6753188"
"125,25", "-0,4008877", "0,6748449"
"125,3", "-0,4008877", "0,6748449"
"125,55", "-0,4033899", "0,6746868"
"125,6", "-0,4040155", "0,6746868"
"125,75", "-0,4052666", "0,6745288"
"125,9", "-0,4052666", "0,6746868"
"126,05", "-0,4077687", "0,6742129"
"126,2", "-0,4083943", "0,6743709"
"126,4", "-0,4102709", "0,6743709"
"126,5", "-0,4102709", "0,6742129"
"126,75", "-0,4133987", "0,6738968"
"126,8", "-0,4133987", "0,6738968"
"127", "-0,4152753", "0,6738968"
"127,1", "-0,4152753", "0,6738968"
"127,35", "-0,417152", "0,6738968"
"127,4", "-0,4184031", "0,6735808"
"127,65", "-0,4202798", "0,6729488"
"127,7", "-0,4209053", "0,6731068"
"127,95", "-0,4227819", "0,6729488"
"128", "-0,4227819", "0,6729488"
"128,1", "-0,4246586", "0,6731068"
"128,3", "-0,4252841", "0,6732649"
"128,55", "-0,4265352", "0,6738968"
"128,6", "-0,4271607", "0,6738968"
"128,8", "-0,4302885", "0,6742129"
"128,9", "-0,4302885", "0,6742129"
"129,15", "-0,4321651", "0,6745288"
"129,2", "-0,4327907", "0,6745288"
"129,4", "-0,4340418", "0,6746868"
"129,5", "-0,4352929", "0,6745288"
"129,7", "-0,436544", "0,6748449"
"129,8", "-0,4371696", "0,6745288"
"130", "-0,4390462", "0,6743709"
"130,1", "-0,4396717", "0,6743709"
"130,25", "-0,4409229", "0,6742129"
"130,4", "-0,4415484", "0,6742129"
"130,65", "-0,4446762", "0,6735808"
"130,7", "-0,4440506", "0,6735808"
"130,95", "-0,4471783", "0,6729488"
"131", "-0,4471783", "0,6727909"
"131,25", "-0,4496805", "0,6723168"
"131,3", "-0,4503061", "0,6721589"
"131,55", "-0,4521828", "0,6716849"
"131,6", "-0,4521828", "0,6718429"
"131,8", "-0,4540594", "0,6715269"
"131,9", "-0,4546849", "0,6715269"
"132,15", "-0,4559361", "0,6710529"
"132,2", "-0,4565616", "0,6707369"
"132,35", "-0,4578127", "0,6704209"
"132,5", "-0,4584382", "0,670579"
"132,75", "-0,4609404", "0,670105"
"132,8", "-0,461566", "0,669947"
"133,05", "-0,4646937", "0,669789"
"133,1", "-0,4646937", "0,669947"
"133,3", "-0,4665704", "0,669947"
"133,4", "-0,4671959", "0,670105"
"133,65", "-0,4696981", "0,6702629"
"133,7", "-0,4696981", "0,6702629"
"133,85", "-0,4722003", "0,6702629"
"134", "-0,4734514", "0,6704209"
"134,25", "-0,4747025", "0,6702629"
"134,3", "-0,475328", "0,6702629"
"134,35", "-0,4747025", "0,6702629"
"134,6", "-0,4759536", "0,6702629"
"134,85", "-0,4784558", "0,670105"
"134,9", "-0,4784558", "0,6702629"
"135,15", "-0,480958", "0,669947"
"135,25", "-0,4803325", "0,669947"
"135,4", "-0,4822091", "0,669947"
"135,5", "-0,4828346", "0,669947"
"135,75", "-0,4853369", "0,669631"
"135,8", "-0,4853369", "0,669631"
"136,05", "-0,487839", "0,669315"
"136,1", "-0,487839", "0,669315"
"136,35", "-0,4897157", "0,668841"
"136,4", "-0,4897157", "0,668683"
"136,6", "-0,4922179", "0,668525"
"136,7", "-0,4934689", "0,668367"
