Experiment:, Load
Start date:, p?tek 27. ??jna 2023
Start time:, 12:15:29 +02:00
"Time (s)", "Voltage (V)", "Current Density (A/cm2)"
"181", "0,9284279", "-0,001306819"
"182", "0,924162", "-0,001544911"
"183", "0,9191062", "-0,001927111"
"184", "0,9142083", "-0,002415825"
"185", "0,9093104", "-0,002923336"
"186", "0,9042546", "-0,003687736"
"187", "0,8991988", "-0,004477198"
"188", "0,8943009", "-0,005398237"
"189", "0,889245", "-0,006419525"
"190", "0,8841891", "-0,007635046"
"191", "0,8791333", "-0,009044799"
"192", "0,8742354", "-0,01042949"
"193", "0,8693375", "-0,0121024"
"194", "0,8642817", "-0,0140134"
"195", "0,8592258", "-0,01605597"
"196", "0,85417", "-0,01828652"
"197", "0,8491141", "-0,0208554"
"198", "0,8442162", "-0,02341175"
"199", "0,8393183", "-0,02629391"
"200", "0,8342625", "-0,02958961"
"201", "0,8279427", "-0,03308579"
"202", "0,8228868", "-0,03643161"
"203", "0,8179889", "-0,03985888"
"204", "0,812933", "-0,04358689"
"205", "0,8078772", "-0,04754673"
"206", "0,8031374", "-0,05155043"
"207", "0,7980815", "-0,0557045"
"208", "0,7930256", "-0,05999015"
"209", "0,7881277", "-0,06430087"
"210", "0,7830719", "-0,06862411"
"211", "0,778174", "-0,07297242"
"212", "0,7729601", "-0,07728313"
"213", "0,7682202", "-0,0816565"
"214", "0,7633224", "-0,08580431"
"215", "0,7582666", "-0,09000851"
"216", "0,7533687", "-0,09403727"
"217", "0,7483128", "-0,09804097"
"218", "0,7434149", "-0,1017752"
"219", "0,7383591", "-0,1055221"
"220", "0,7333032", "-0,1088804"
"221", "0,7282473", "-0,1123766"
"222", "0,7233495", "-0,1156848"
"223", "0,7182936", "-0,1187299"
"224", "0,7132378", "-0,1220108"
"225", "0,7084979", "-0,1253257"
"226", "0,703442", "-0,1276398"
"227", "0,6985442", "-0,1297663"
"228", "0,6933303", "-0,1317677"
"229", "0,6884325", "-0,1337692"
"230", "0,6836926", "-0,135583"
"231", "0,6784787", "-0,1375218"
"232", "0,6735808", "-0,1393356"
"233", "0,668525", "-0,1410869"
"234", "0,6636271", "-0,1429006"
"235", "0,6585713", "-0,1445268"
"236", "0,6535154", "-0,1462155"
"237", "0,6486175", "-0,1478417"
"238", "0,6437197", "-0,1496554"
"239", "0,6386638", "-0,1513442"
"240", "0,6336079", "-0,1530954"
"241", "0,62871", "-0,1548466"
"242", "0,6238123", "-0,1564102"
"243", "0,6189144", "-0,1580989"
"244", "0,6138585", "-0,1599753"
"245", "0,6088026", "-0,161664"
"246", "0,6039047", "-0,1634778"
"247", "0,5988489", "-0,1651039"
"248", "0,593793", "-0,1669177"
"249", "0,5888951", "-0,1686064"
"250", "0,5838392", "-0,1703576"
"251", "0,5786254", "-0,1721089"
"252", "0,5737276", "-0,1736725"
"253", "0,5686717", "-0,1753612"
"254", "0,5639318", "-0,1769248"
"255", "0,559034", "-0,1784259"
"256", "0,5539781", "-0,1800521"
"257", "0,5489222", "-0,1815531"
"258", "0,5440243", "-0,1829291"
"259", "0,5389685", "-0,1843051"
"260", "0,5340707", "-0,1858061"
"261", "0,5290148", "-0,1872447"
"262", "0,5242749", "-0,1885581"
"263", "0,519219", "-0,1899966"
"264", "0,5130572", "-0,191873"
"265", "0,5078434", "-0,1928111"
"266", "0,5029455", "-0,1939995"
"267", "0,4978896", "-0,1951878"
"268", "0,4926758", "-0,196126"
"269", "0,4879359", "-0,1971892"
"270", "0,48288", "-0,1990656"
"271", "0,4781401", "-0,1998161"
"272", "0,4729263", "-0,2007543"
"273", "0,4680285", "-0,2018175"
"274", "0,4631306", "-0,2030058"
"275", "0,4582327", "-0,2040691"
"276", "0,4530188", "-0,2050698"
"277", "0,447805", "-0,2064458"
"278", "0,4429071", "-0,2070713"
"279", "0,4380093", "-0,2081345"
"280", "0,4329534", "-0,2091352"
"281", "0,4278975", "-0,2100734"
"282", "0,4228417", "-0,2108865"
"283", "0,4179438", "-0,2119497"
"284", "0,4128879", "-0,2128879"
"285", "0,4079901", "-0,2137635"
"286", "0,4029342", "-0,2147017"
"287", "0,3980364", "-0,2155148"
"288", "0,3931385", "-0,2163278"
"289", "0,3880826", "-0,2171409"
"290", "0,3833427", "-0,2177038"
"291", "0,3781289", "-0,2185169"
"292", "0,373389", "-0,2192049"
