Experiment:, Cathode characterisation
Start date:, ?tvrtek 1. z??? 2022
Start time:, 12:07:24 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
938.55, 0.04981791, -0.4181597
938.65, 0.05191733, -0.2843898
938.7, 0.05283287, -0.2441335
938.75, 0.05384312, -0.2065401
938.8, 0.05493229, -0.1684767
938.85, 0.05594254, -0.1427879
938.9, 0.05688965, -0.123208
939, 0.05892593, -0.08686766
939.05, 0.05993618, -0.07010726
939.1, 0.06096222, -0.05694956
939.15, 0.06200404, -0.04332195
939.2, 0.06301428, -0.03126073
939.25, 0.06394561, -0.02483851
939.35, 0.06588718, -0.008861309
939.4, 0.06680272, -0.001655901
939.45, 0.06782875, 0.007899093
939.5, 0.06877586, 0.01259827
939.55, 0.06972297, 0.01792401
939.6, 0.07093843, 0.03531097
939.65, 0.07201181, 0.04032342
939.7, 0.07295892, 0.04157653
939.75, 0.07398496, 0.04596243
939.85, 0.07587918, 0.05113153
939.9, 0.07687364, 0.0537944
939.95, 0.07796282, 0.061783
940, 0.07890993, 0.06037325
940.05, 0.07990438, 0.06272284
940.15, 0.08194067, 0.06679546
940.2, 0.08295092, 0.06867513
940.25, 0.08404009, 0.07039816
940.3, 0.08503456, 0.07102472
940.35, 0.08587117, 0.06883177
940.4, 0.08697613, 0.07509734
940.5, 0.08905977, 0.07885668
940.55, 0.09003845, 0.07870004
940.6, 0.09108026, 0.0793266
940.65, 0.09202737, 0.07823012
940.7, 0.0929587, 0.07603717
940.75, 0.09389003, 0.07870004
940.8, 0.09488449, 0.0837125
940.85, 0.09587895, 0.08057971
940.9, 0.09692077, 0.08292931
941, 0.09886234, 0.08277266
941.05, 0.09980945, 0.08355586
941.1, 0.100946, 0.08794177
941.15, 0.1020825, 0.08903823
941.25, 0.1039767, 0.08449569
941.3, 0.1050501, 0.0873152
941.35, 0.1060762, 0.08590545
941.4, 0.1070548, 0.08794177
941.45, 0.1080651, 0.08606208
941.5, 0.1090122, 0.0837125
941.55, 0.1099751, 0.08574881
941.65, 0.1120903, 0.08794177
941.7, 0.1131953, 0.0888816
941.75, 0.1141424, 0.08418241
941.8, 0.1150421, 0.08386914
941.85, 0.1161313, 0.09029134
941.9, 0.1170626, 0.08606208
941.95, 0.1180571, 0.08872496
942, 0.1189726, 0.08590545
942.1, 0.1209615, 0.08966479
942.15, 0.1219244, 0.08621872
942.2, 0.1229189, 0.0873152
942.25, 0.1239607, 0.09013471
942.3, 0.1249868, 0.09029134
942.35, 0.1258865, 0.08966479
942.4, 0.1269599, 0.09154446
942.5, 0.1289804, 0.08809839
942.55, 0.1301011, 0.09279758
942.6, 0.1310167, 0.08841167
942.65, 0.1320427, 0.09044799
942.75, 0.1340001, 0.08950816
942.8, 0.1348525, 0.08637536
942.85, 0.1358785, 0.09342413
942.9, 0.1369361, 0.08935151
942.95, 0.1378516, 0.08997807
943, 0.1388777, 0.09091791
943.05, 0.1398721, 0.0888816
943.1, 0.1408508, 0.09185775
943.15, 0.1417821, 0.08794177
943.25, 0.1437395, 0.08950816
943.3, 0.1447497, 0.08841167
943.35, 0.1458231, 0.0924843
943.4, 0.1469123, 0.0924843
943.45, 0.1477963, 0.08621872
943.5, 0.1487907, 0.09091791
943.6, 0.1508902, 0.09060463
943.65, 0.1518215, 0.08982144
943.7, 0.1528791, 0.08919487
943.75, 0.1539525, 0.09232766
943.8, 0.1548838, 0.08684529
943.85, 0.1557836, 0.08856832
943.95, 0.1578988, 0.09279758
944, 0.1588774, 0.08794177
944.05, 0.1598561, 0.08919487
944.1, 0.160819, 0.0873152
944.15, 0.1617661, 0.0888816
944.2, 0.1629027, 0.09107454
944.25, 0.1639287, 0.08935151
944.35, 0.1658387, 0.09091791
944.4, 0.16677, 0.08637536
944.45, 0.1677803, 0.08825504
944.5, 0.1687116, 0.08700192
944.55, 0.1696745, 0.08825504
944.6, 0.1706847, 0.08794177
944.7, 0.1727526, 0.08496562
944.75, 0.1738733, 0.09060463
944.8, 0.1747415, 0.08465233
