Experiment:, Cathode characterisation
Start date:, p?tek 4. listopadu 2022
Start time:, 13:37:32 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
150.05, 0.3997743, 0.02215327
150.1, 0.4007223, 0.02371966
150.15, 0.4018282, 0.02481613
150.2, 0.4026182, 0.02575597
150.25, 0.4037242, 0.02606925
150.3, 0.4046721, 0.02512941
150.35, 0.4056201, 0.02450286
150.4, 0.4067261, 0.02512941
150.45, 0.4076741, 0.02371966
150.5, 0.408622, 0.0238763
150.55, 0.40957, 0.02371966
150.6, 0.410676, 0.02450286
150.65, 0.411782, 0.02403294
150.7, 0.4128879, 0.0238763
150.75, 0.4136779, 0.02481613
150.8, 0.4147839, 0.02418958
150.85, 0.4158899, 0.02685244
150.9, 0.4168378, 0.02371966
150.95, 0.4176278, 0.02512941
151, 0.4188918, 0.0266958
151.05, 0.4198397, 0.02528605
151.1, 0.4207877, 0.02371966
151.15, 0.4217357, 0.0238763
151.2, 0.4226837, 0.02371966
151.25, 0.4236316, 0.02262319
151.3, 0.4245796, 0.0238763
151.35, 0.4255276, 0.02403294
151.4, 0.4266336, 0.02512941
151.45, 0.4275815, 0.02371966
151.5, 0.4286875, 0.02450286
151.55, 0.4296355, 0.02215327
151.6, 0.4305834, 0.02512941
151.65, 0.4315314, 0.02559933
151.7, 0.4323214, 0.02450286
151.75, 0.4334274, 0.02340638
151.8, 0.4343754, 0.02450286
151.85, 0.4353233, 0.02434622
151.9, 0.4364293, 0.02559933
151.95, 0.4373773, 0.02434622
152, 0.4383253, 0.02371966
152.05, 0.4392732, 0.02528605
152.1, 0.4403792, 0.02481613
152.15, 0.4413272, 0.02293646
152.2, 0.4424331, 0.02481613
152.25, 0.4433811, 0.02418958
152.3, 0.4444871, 0.02371966
152.35, 0.4452771, 0.02512941
152.4, 0.446383, 0.0266958
152.45, 0.447331, 0.02450286
152.5, 0.448437, 0.02418958
152.55, 0.4495429, 0.02450286
152.6, 0.4503329, 0.02418958
152.65, 0.4514389, 0.02434622
152.7, 0.4523869, 0.02528605
152.75, 0.4534928, 0.02481613
152.8, 0.4544408, 0.02481613
152.85, 0.4553888, 0.02575597
152.9, 0.4563367, 0.02544269
152.95, 0.4576007, 0.02481613
153, 0.4585487, 0.02575597
153.05, 0.4593387, 0.02606925
153.1, 0.4604447, 0.02638253
153.15, 0.4615506, 0.02544269
153.2, 0.4626566, 0.02544269
153.25, 0.4636046, 0.02622589
153.3, 0.4645525, 0.02559933
153.35, 0.4653425, 0.02606925
153.4, 0.4662905, 0.02544269
153.45, 0.4673964, 0.02512941
153.5, 0.4683444, 0.02685244
153.55, 0.4694504, 0.02653916
153.6, 0.4705564, 0.02575597
153.65, 0.4711884, 0.02606925
153.7, 0.4722943, 0.02638253
153.75, 0.4732423, 0.02685244
153.8, 0.4743483, 0.02622589
153.85, 0.4752962, 0.02716572
153.9, 0.4764022, 0.02685244
153.95, 0.4773502, 0.02716572
154, 0.4782982, 0.02779228
154.05, 0.4794042, 0.02606925
154.1, 0.4801941, 0.02403294
154.15, 0.4813001, 0.0266958
154.2, 0.4822481, 0.02763564
154.25, 0.483038, 0.02622589
154.3, 0.483986, 0.02575597
154.35, 0.484934, 0.0266958
154.4, 0.4860399, 0.02716572
154.45, 0.4871459, 0.02779228
154.5, 0.4880939, 0.02700908
154.55, 0.4890419, 0.02779228
154.6, 0.4899898, 0.0266958
154.65, 0.4910958, 0.02716572
154.7, 0.4922018, 0.02606925
154.75, 0.4929918, 0.02606925
154.8, 0.4940977, 0.02638253
154.85, 0.4952037, 0.02763564
154.9, 0.4963097, 0.02732236
154.95, 0.4970996, 0.0266958
155, 0.4982056, 0.02685244
155.05, 0.4991536, 0.02591261
155.1, 0.5001016, 0.02497277
155.15, 0.5010495, 0.02544269
155.2, 0.5021555, 0.0266958
155.25, 0.5031035, 0.02638253
155.3, 0.5042095, 0.02732236
155.35, 0.5049994, 0.02716572
155.4, 0.5059474, 0.02591261
155.45, 0.5068954, 0.02638253
155.5, 0.5078434, 0.02716572
155.55, 0.5089493, 0.0266958
155.6, 0.5098973, 0.02575597
155.65, 0.5108452, 0.02685244
155.7, 0.5119512, 0.02575597
155.75, 0.5130572, 0.02638253
155.8, 0.5143211, 0.0266958
155.85, 0.5157431, 0.02685244
155.9, 0.5170071, 0.02653916
155.95, 0.5182711, 0.0266958
156, 0.5193771, 0.02606925
156.05, 0.520325, 0.0266958
156.1, 0.521273, 0.02873212
156.15, 0.522221, 0.02700908
156.2, 0.5233269, 0.027479
156.25, 0.5242749, 0.02559933
156.3, 0.5252228, 0.02591261
156.35, 0.5263288, 0.02716572
156.4, 0.5272768, 0.02606925
156.45, 0.5282248, 0.02716572
156.5, 0.5293308, 0.02779228
156.55, 0.5302787, 0.02716572
156.6, 0.5312268, 0.0266958
156.65, 0.5323327, 0.027479
156.7, 0.5332807, 0.02638253
156.75, 0.5342286, 0.0266958
156.8, 0.5351766, 0.02685244
156.85, 0.5362825, 0.02920203
156.9, 0.5372306, 0.02873212
156.95, 0.5383365, 0.02763564
157, 0.5392845, 0.02873212
157.05, 0.5402325, 0.02841884
157.1, 0.5411804, 0.02841884
157.15, 0.5422865, 0.02779228
157.2, 0.5432344, 0.03092507
157.25, 0.5443404, 0.02951531
157.3, 0.5452883, 0.02982859
157.35, 0.5463943, 0.03045515
157.4, 0.5473422, 0.03233482
157.45, 0.5482903, 0.02951531
157.5, 0.5492382, 0.02810556
157.55, 0.5503442, 0.02873212
157.6, 0.5511342, 0.027479
157.65, 0.5520822, 0.02810556
157.7, 0.5531881, 0.02716572
157.75, 0.5541361, 0.02935867
157.8, 0.5552421, 0.02779228
157.85, 0.5561901, 0.02810556
157.9, 0.55698, 0.02763564
157.95, 0.557928, 0.02841884
158, 0.559034, 0.02841884
158.05, 0.5599819, 0.02841884
158.1, 0.5612459, 0.027479
158.15, 0.5623519, 0.0266958
158.2, 0.5632998, 0.02779228
158.25, 0.5642478, 0.02967195
158.3, 0.5651958, 0.02810556
158.35, 0.5663018, 0.02841884
158.4, 0.5672498, 0.02873212
158.45, 0.5681977, 0.02732236
158.5, 0.5689877, 0.02810556
158.55, 0.5699357, 0.02857548
158.6, 0.5710416, 0.02967195
158.65, 0.5719896, 0.02888875
158.7, 0.5730956, 0.02982859
158.75, 0.5740436, 0.03217818
158.8, 0.5749915, 0.0290454
158.85, 0.5759395, 0.02967195
158.9, 0.5770454, 0.02935867
158.95, 0.5779935, 0.03014187
159, 0.5789415, 0.02967195
159.05, 0.5800474, 0.02873212
159.1, 0.5809954, 0.02998523
159.15, 0.5819433, 0.02935867
159.2, 0.5828913, 0.02888875
159.25, 0.5838392, 0.02873212
159.3, 0.5849453, 0.03014187
159.35, 0.5858933, 0.02982859
159.4, 0.5869992, 0.03123834
159.45, 0.5879472, 0.0310817
159.5, 0.5888951, 0.02951531
159.55, 0.5898432, 0.02967195
159.6, 0.5909491, 0.03014187
159.65, 0.5918971, 0.0290454
159.7, 0.592845, 0.03076843
159.75, 0.593951, 0.03202154
159.8, 0.5948989, 0.03076843
159.85, 0.596005, 0.03014187
159.9, 0.5971109, 0.03029851
159.95, 0.5982169, 0.03155162
160, 0.5990069, 0.02951531
160.05, 0.5999548, 0.03045515
160.1, 0.6010609, 0.0310817
160.15, 0.6020088, 0.03217818
160.2, 0.6029568, 0.0326481
160.25, 0.6040627, 0.03045515
160.3, 0.6050107, 0.03202154
160.35, 0.6059586, 0.03155162
160.4, 0.6070647, 0.0290454
160.45, 0.6081706, 0.02982859
160.5, 0.6091186, 0.03045515
160.55, 0.6099086, 0.02982859
160.6, 0.6111726, 0.02935867
160.65, 0.6119625, 0.02920203
160.7, 0.6130685, 0.02982859
160.75, 0.6141745, 0.02935867
160.8, 0.6151224, 0.03045515
160.85, 0.6162284, 0.02967195
160.9, 0.6171764, 0.02951531
160.95, 0.6181244, 0.03061179
161, 0.6192303, 0.03155162
161.05, 0.6201783, 0.03014187
161.1, 0.6211263, 0.03076843
161.15, 0.6222323, 0.03280474
161.2, 0.6231802, 0.03343129
161.25, 0.6242862, 0.03202154
161.3, 0.6252342, 0.03327465
161.35, 0.6263402, 0.03123834
161.4, 0.6272881, 0.03202154
161.45, 0.6282361, 0.03139498
161.5, 0.6290261, 0.03217818
161.55, 0.6299741, 0.03202154
161.6, 0.63108, 0.03327465
161.65, 0.632028, 0.03233482
161.7, 0.6329759, 0.03202154
161.75, 0.6339239, 0.03280474
161.8, 0.634872, 0.03405785
161.85, 0.6359779, 0.03374457
161.9, 0.6369259, 0.0326481
161.95, 0.6380318, 0.03202154
162, 0.6389798, 0.0326481
162.05, 0.6399277, 0.03139498
162.1, 0.6410338, 0.03280474
162.15, 0.6419817, 0.03280474
162.2, 0.6430877, 0.03311801
