Experiment:, Cathode characterisation
Start date:, ?tvrtek 8. prosince 2022
Start time:, 18:53:09 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
227.55, 0.04988105, -0.6300926
227.65, 0.0519489, -0.3974833
227.7, 0.05303808, -0.3227664
227.75, 0.05414303, -0.256508
227.8, 0.05504279, -0.2532186
227.85, 0.05606882, -0.2076365
227.9, 0.05717378, -0.1780317
228, 0.05911535, -0.167067
228.05, 0.06003089, -0.1557889
228.1, 0.06107271, -0.1205451
228.15, 0.06205139, -0.1156893
228.2, 0.06309321, -0.1089538
228.25, 0.06407189, -0.1081706
228.35, 0.0661871, -0.08232512
228.4, 0.06716578, -0.0718303
228.45, 0.06814446, -0.05178047
228.5, 0.06918627, -0.05209375
228.55, 0.07010181, -0.05052736
228.6, 0.0710805, -0.0455149
228.65, 0.07215388, -0.04488834
228.75, 0.07419016, -0.03188728
228.8, 0.07524777, -0.02812794
228.85, 0.07617909, -0.03282712
228.9, 0.07704728, -0.0264049
228.95, 0.07804175, -0.01778975
229, 0.07903621, -0.01497024
229.05, 0.08001488, -0.0140304
229.1, 0.08107249, 0.0008503264
229.2, 0.08314034, 0.001006966
229.25, 0.08421373, 0.001946802
229.3, 0.0850977, 0.0002237698
229.35, 0.08617109, 0.004609668
229.4, 0.08710241, 0.001946802
229.5, 0.08901241, 0.0115018
229.55, 0.09018052, 0.01369475
229.6, 0.09120654, 0.01228499
229.65, 0.09223258, 0.0151045
229.7, 0.09322705, 0.01479122
229.75, 0.09426887, 0.01447794
229.8, 0.09518441, 0.01259827
229.9, 0.09715755, 0.02137007
229.95, 0.09808888, 0.01682753
230, 0.09903598, 0.02121343
230.05, 0.1000462, 0.0143213
230.1, 0.1010407, 0.01682753
230.15, 0.1021456, 0.02324974
230.2, 0.1031243, 0.0187072
230.3, 0.1051922, 0.02528605
230.35, 0.1061077, 0.0223099
230.4, 0.1070864, 0.02152671
230.45, 0.1080177, 0.02450286
230.5, 0.1090438, 0.02043023
230.6, 0.1111116, 0.02215327
230.65, 0.1120587, 0.02512941
230.7, 0.1131637, 0.02544269
230.75, 0.1141108, 0.02262319
230.8, 0.1152315, 0.02606925
230.85, 0.1163207, 0.02951531
230.9, 0.1174415, 0.0266958
230.95, 0.1184517, 0.02857548
231.05, 0.1203775, 0.02685244
231.1, 0.121293, 0.02528605
231.15, 0.1222559, 0.02716572
231.2, 0.1232346, 0.02763564
231.25, 0.1243869, 0.03311801
231.3, 0.1253024, 0.02653916
231.35, 0.1263285, 0.03076843
231.4, 0.1272282, 0.02575597
231.5, 0.1291856, 0.02982859
231.55, 0.1301169, 0.02967195
231.6, 0.1311745, 0.03076843
231.65, 0.1320901, 0.02700908
231.7, 0.1331003, 0.02779228
231.75, 0.134079, 0.02998523
231.85, 0.1361784, 0.03343129
231.9, 0.1371571, 0.02857548
231.95, 0.1381674, 0.0310817
232, 0.139146, 0.02841884
232.05, 0.1400774, 0.02967195
232.1, 0.1410876, 0.02700908
232.15, 0.1420505, 0.02982859
232.2, 0.1430292, 0.027479
232.3, 0.1450023, 0.03014187
232.35, 0.1459021, 0.02810556
232.4, 0.146865, 0.02810556
232.45, 0.1479068, 0.03076843
232.5, 0.1490117, 0.03076843
232.6, 0.1509533, 0.02857548
232.65, 0.1519636, 0.03155162
232.7, 0.1530369, 0.0310817
232.75, 0.1540472, 0.03029851
232.8, 0.1548996, 0.02716572
232.9, 0.1570464, 0.03092507
232.95, 0.1580724, 0.02982859
233, 0.1590353, 0.02857548
233.05, 0.1599351, 0.02794892
233.1, 0.1608506, 0.02857548
233.15, 0.1618766, 0.0290454
233.2, 0.1628711, 0.02685244
233.25, 0.1639603, 0.03139498
233.35, 0.1659808, 0.03076843
233.4, 0.1669437, 0.02481613
233.45, 0.1679223, 0.02810556
233.5, 0.1689326, 0.03014187
233.55, 0.1701165, 0.02888875
233.6, 0.1710005, 0.02685244
233.65, 0.1721054, 0.02982859
233.7, 0.1728947, 0.02528605
233.8, 0.1749625, 0.02528605
233.85, 0.1758465, 0.0266958
233.9, 0.1768567, 0.02794892
233.95, 0.1779617, 0.02763564
234, 0.1789246, 0.02434622
234.1, 0.1810872, 0.02857548
234.15, 0.1821132, 0.02700908
234.2, 0.1830603, 0.02575597
234.25, 0.1841021, 0.02481613
234.3, 0.1850176, 0.02606925
234.35, 0.1859963, 0.02622589
234.4, 0.1869908, 0.02183999
234.45, 0.1879537, 0.02794892
234.55, 0.1900215, 0.0238763
234.6, 0.1910476, 0.02638253
234.65, 0.1921052, 0.02559933
234.7, 0.1931312, 0.02575597
234.75, 0.194031, 0.0238763
234.8, 0.1948991, 0.0230931
234.9, 0.1968881, 0.02544269
234.95, 0.1978983, 0.02356302
235, 0.1989717, 0.02653916
235.05, 0.2000135, 0.02465949
235.1, 0.2009606, 0.02606925
235.15, 0.2019235, 0.0230931
235.2, 0.2029654, 0.02575597
235.3, 0.2049385, 0.02481613
235.4, 0.206959, 0.02465949
235.45, 0.2078272, 0.02356302
235.5, 0.2089637, 0.0266958
235.55, 0.2099266, 0.0230931
235.6, 0.2110158, 0.02591261
235.7, 0.2130836, 0.02324974
235.75, 0.2141097, 0.02638253
235.8, 0.2150884, 0.02591261
235.85, 0.2160986, 0.0238763
235.95, 0.2181507, 0.02544269
236.05, 0.2200765, 0.02277982
236.1, 0.2211025, 0.02544269
236.15, 0.2220812, 0.02559933
236.2, 0.2231072, 0.02183999
236.25, 0.2240385, 0.02403294
236.35, 0.2261222, 0.02450286
236.4, 0.227164, 0.0238763
236.45, 0.2280637, 0.02183999
236.5, 0.2290266, 0.0266958
236.55, 0.2301632, 0.02340638
236.6, 0.2310155, 0.02262319
236.65, 0.2318837, 0.02074351
236.7, 0.2329413, 0.02512941
236.75, 0.2340621, 0.0230931
236.85, 0.2360037, 0.02121343
236.9, 0.2370928, 0.02481613
236.95, 0.2381189, 0.02215327
237, 0.2391291, 0.02293646
237.05, 0.2400762, 0.02168335
237.15, 0.2421914, 0.01980368
237.2, 0.2432175, 0.02215327
237.25, 0.2442119, 0.02090015
237.3, 0.2451117, 0.01917712
237.35, 0.2462798, 0.02152671
237.4, 0.2472585, 0.02043023
237.45, 0.2482687, 0.01855056
237.55, 0.2501629, 0.02121343
237.6, 0.2511258, 0.01980368
237.65, 0.2521676, 0.02090015
237.7, 0.253241, 0.02043023
237.75, 0.2542513, 0.0202736
237.8, 0.2551037, 0.01902048
237.85, 0.2560666, 0.01886384
237.9, 0.2571242, 0.01917712
238, 0.2590973, 0.02011696
238.05, 0.2601076, 0.01886384
238.1, 0.2611021, 0.01917712
238.15, 0.2620333, 0.01776737
238.2, 0.2629963, 0.01980368
238.25, 0.2640539, 0.01667089
238.35, 0.2659007, 0.01855056
238.4, 0.2669426, 0.01980368
238.45, 0.2679212, 0.01682753
238.5, 0.2688999, 0.01917712
238.55, 0.2699259, 0.01729745
238.65, 0.2719306, 0.01808065
238.7, 0.2729093, 0.01620097
238.75, 0.2739827, 0.01259827
238.8, 0.2751035, 0.008369011
238.85, 0.2761295, 0.01212835
238.9, 0.2771398, 0.01557442
238.95, 0.2781816, 0.01604434
239, 0.2791918, 0.01447794
239.05, 0.2800284, 0.01526114
239.15, 0.2821752, 0.01745409
239.2, 0.2831381, 0.01886384
239.25, 0.2841167, 0.02043023
239.3, 0.2850955, 0.01886384
239.35, 0.2860899, 0.01917712
239.4, 0.2870528, 0.01682753
239.45, 0.2880473, 0.01635761
239.55, 0.2900204, 0.01698417
239.6, 0.2909517, 0.01745409
239.65, 0.291962, 0.01604434
239.7, 0.2930038, 0.01385139
239.75, 0.2940141, 0.01604434
239.8, 0.2950085, 0.01792401
239.85, 0.2960345, 0.01886384
239.95, 0.2980393, 0.01557442
240, 0.2990811, 0.01745409
240.05, 0.3001071, 0.01494786
240.1, 0.3011332, 0.01651425
240.15, 0.3021118, 0.0151045
240.2, 0.3030116, 0.01604434
240.3, 0.3052057, 0.01745409
240.35, 0.3062317, 0.01604434
240.4, 0.3073051, 0.0158877
240.45, 0.3083943, 0.01620097
240.5, 0.3092941, 0.01479122
240.55, 0.3102096, 0.01400802
240.6, 0.3112356, 0.01541778
240.7, 0.313193, 0.0158877
240.75, 0.314219, 0.01651425
240.8, 0.3154046, 0.01526114
240.85, 0.3163526, 0.01573106
240.9, 0.3174585, 0.01573106
240.95, 0.3184065, 0.01275491
241.05, 0.3203025, 0.01557442
241.1, 0.3212504, 0.01306819
241.15, 0.3223564, 0.01494786
241.2, 0.3231464, 0.01635761
241.25, 0.3242523, 0.01917712
241.3, 0.3252003, 0.01557442
241.35, 0.3263063, 0.01416466
241.4, 0.3270963, 0.01322483
241.5, 0.3293082, 0.01416466
241.55, 0.3302562, 0.01526114
241.6, 0.3313622, 0.01291155
241.65, 0.3321521, 0.0143213
241.7, 0.3331001, 0.01557442
241.75, 0.3342061, 0.01447794
241.85, 0.336102, 0.01338147
241.9, 0.33705, 0.01322483
241.95, 0.337998, 0.01447794
242, 0.3392619, 0.0143213
242.05, 0.3402099, 0.01416466
242.1, 0.3411579, 0.01400802
242.15, 0.3422638, 0.01369475
242.25, 0.3441598, 0.01447794
242.3, 0.3451078, 0.01291155
242.35, 0.3460557, 0.01385139
242.4, 0.3470037, 0.01275491
242.45, 0.3479517, 0.01228499
242.5, 0.3487417, 0.01275491
242.55, 0.3496896, 0.01604434
242.65, 0.3517436, 0.01416466
242.7, 0.3530076, 0.01526114
242.75, 0.3541135, 0.01244163
242.8, 0.3550615, 0.01322483
242.85, 0.3560095, 0.01338147
242.95, 0.3580634, 0.01291155
243, 0.3590114, 0.01165843
243.05, 0.3599594, 0.01259827
243.1, 0.3610654, 0.01291155
243.15, 0.3620133, 0.01197171
243.2, 0.3629613, 0.01228499
243.25, 0.3639093, 0.01244163
243.3, 0.3646992, 0.0115018
243.4, 0.3669112, 0.01322483
243.45, 0.3678592, 0.01291155
243.5, 0.3689651, 0.01494786
243.55, 0.3699131, 0.01228499
243.6, 0.3710191, 0.01197171
243.65, 0.371809, 0.0115018
243.7, 0.372757, 0.01322483
243.8, 0.374811, 0.01228499
243.85, 0.375917, 0.01353811
243.9, 0.3768649, 0.01181507
243.95, 0.3779709, 0.01338147
244, 0.3789189, 0.01322483
244.1, 0.3809728, 0.01165843
244.15, 0.3819208, 0.01197171
244.2, 0.3828687, 0.01291155
244.25, 0.3838167, 0.01275491
244.3, 0.3847647, 0.01291155
244.35, 0.3857127, 0.01056196
244.4, 0.3866607, 0.01197171
244.45, 0.3877666, 0.01197171
244.5, 0.3887146, 0.01087524
244.6, 0.3906105, 0.01087524
244.65, 0.3917165, 0.01197171
244.7, 0.3926645, 0.0115018
244.75, 0.3936124, 0.01118852
244.8, 0.3945604, 0.0115018
244.9, 0.3966144, 0.01228499
244.95, 0.3975624, 0.0115018
245, 0.3986683, 0.01212835
245.05, 0.3996163, 0.01259827
245.1, 0.4005643, 0.01244163
245.15, 0.4013543, 0.01087524
245.2, 0.4026182, 0.01244163
245.3, 0.4043562, 0.01291155
245.35, 0.4056201, 0.01353811
245.4, 0.4065681, 0.01197171
245.45, 0.4075161, 0.01181507
245.5, 0.408464, 0.01259827
245.55, 0.40957, 0.01181507
245.6, 0.410518, 0.01259827
245.7, 0.4127299, 0.0115018
245.75, 0.4136779, 0.01244163
245.8, 0.4146259, 0.01181507
245.85, 0.4155739, 0.01306819
245.9, 0.4165218, 0.01291155
245.95, 0.4174698, 0.01291155
246.1, 0.4206297, 0.01244163
246.15, 0.4215777, 0.01165843
