Experiment:, Cathode characterisation
Start date:, pond?l? 30. ledna 2023
Start time:, 17:19:35 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
655.55, 0.05033882, -0.5431578
655.65, 0.05250138, -0.4411857
655.7, 0.05344849, -0.4118941
655.75, 0.05444295, -0.3788432
655.8, 0.0554532, -0.3536243
655.85, 0.05641609, -0.3313816
655.9, 0.05723692, -0.3174407
656, 0.05927321, -0.2787508
656.05, 0.06025189, -0.2668462
656.1, 0.06118321, -0.2497725
656.15, 0.06217767, -0.2336387
656.2, 0.06326684, -0.2118658
656.25, 0.0642771, -0.1977683
656.35, 0.06637652, -0.1719228
656.4, 0.06729206, -0.1644041
656.45, 0.06825496, -0.1539093
656.5, 0.06932834, -0.1426312
656.55, 0.0703228, -0.1313532
656.6, 0.07122256, -0.1261841
656.65, 0.07223281, -0.1181955
656.7, 0.07325884, -0.1077007
656.8, 0.07534248, -0.09407307
656.85, 0.07630537, -0.08906061
656.9, 0.07718935, -0.08326496
656.95, 0.07816803, -0.07668611
657, 0.07916249, -0.07042054
657.05, 0.08028323, -0.06337177
657.15, 0.08236687, -0.05585309
657.2, 0.08344027, -0.04974415
657.25, 0.08451365, -0.04614145
657.3, 0.08550812, -0.0431653
657.35, 0.08642365, -0.04003252
657.4, 0.08737076, -0.03658646
657.5, 0.08926497, -0.02969433
657.55, 0.09029101, -0.0271881
657.6, 0.09142754, -0.02311548
657.65, 0.09235886, -0.01935614
657.7, 0.09344804, -0.01622335
657.75, 0.0944425, -0.01575343
657.8, 0.0954054, -0.01324721
657.85, 0.09641565, -0.0112109
657.95, 0.09846772, -0.008704669
658, 0.09943061, -0.005258605
658.05, 0.1003777, -0.005885163
658.1, 0.101388, -0.003848852
658.15, 0.1023666, -0.001655901
658.2, 0.1034243, -0.0002461479
658.3, 0.1055552, 0.003669833
658.35, 0.1064708, 0.002886636
658.4, 0.1074179, 0.003983112
658.45, 0.108365, 0.005079586
658.5, 0.1092174, 0.004609668
658.55, 0.1102276, 0.00648934
658.65, 0.1123744, 0.008369011
658.7, 0.1133373, 0.009465486
658.75, 0.1144265, 0.009622125
658.8, 0.1153894, 0.01197171
658.85, 0.1164154, 0.01056196
658.9, 0.1173625, 0.01103188
658.95, 0.1184201, 0.01369475
659, 0.1193672, 0.01385139
659.05, 0.1203775, 0.01338147
659.15, 0.122398, 0.01479122
659.2, 0.1234556, 0.01416466
659.25, 0.1243711, 0.0151045
659.3, 0.1254445, 0.01635761
659.35, 0.1264706, 0.01745409
659.4, 0.1274334, 0.01620097
659.5, 0.1293435, 0.01729745
659.55, 0.1302748, 0.01792401
659.6, 0.1313797, 0.01792401
659.65, 0.1322953, 0.01855056
659.7, 0.1332266, 0.01839392
659.8, 0.1352313, 0.01917712
659.85, 0.1362731, 0.01917712
659.9, 0.1372992, 0.0187072
659.95, 0.1382621, 0.01902048
660, 0.1391934, 0.01933376
660.05, 0.1402825, 0.01964704
660.1, 0.1413244, 0.01886384
660.15, 0.1421294, 0.02074351
660.25, 0.1442131, 0.02246655
660.3, 0.1452075, 0.02215327
660.35, 0.1460599, 0.01996032
660.4, 0.1470386, 0.02105679
660.45, 0.1481436, 0.02074351
660.5, 0.1492169, 0.02043023
660.6, 0.1511585, 0.02137007
660.65, 0.1522161, 0.02121343
660.7, 0.1532895, 0.02215327
660.75, 0.1543471, 0.0230931
660.8, 0.1553416, 0.02121343
660.85, 0.1563203, 0.02215327
660.95, 0.158325, 0.02183999
661, 0.1592721, 0.02152671
661.1, 0.1613399, 0.02011696
661.15, 0.1623502, 0.02121343
661.2, 0.1634393, 0.02090015
661.25, 0.1645127, 0.02043023
661.35, 0.166407, 0.02105679
661.4, 0.1673383, 0.01917712
661.45, 0.1683012, 0.01980368
661.5, 0.169343, 0.0187072
661.55, 0.1703532, 0.02011696
661.6, 0.1712688, 0.01933376
661.7, 0.1732261, 0.01964704
661.75, 0.1742522, 0.02011696
661.8, 0.1753571, 0.02058687
661.85, 0.1762253, 0.02043023
661.9, 0.1772198, 0.02074351
661.95, 0.178088, 0.01886384
662, 0.1792719, 0.02011696
662.05, 0.1804242, 0.01964704
662.1, 0.1815291, 0.02105679
662.15, 0.1823815, 0.0187072
662.25, 0.1843705, 0.01980368
662.3, 0.1855228, 0.02074351
662.35, 0.1865488, 0.02074351
662.4, 0.1874486, 0.0194904
662.45, 0.1884114, 0.02074351
662.55, 0.1904635, 0.02043023
662.6, 0.1915053, 0.01980368
662.65, 0.192484, 0.0202736
662.7, 0.1934785, 0.01917712
662.75, 0.1944098, 0.01980368
662.85, 0.1963987, 0.02105679
662.9, 0.1972669, 0.01980368
662.95, 0.1982298, 0.02043023
663, 0.1993821, 0.02137007
663.05, 0.2003766, 0.02074351
663.1, 0.2013237, 0.02011696
663.15, 0.2024129, 0.02090015
663.2, 0.2034705, 0.02105679
663.25, 0.2044807, 0.0194904
663.3, 0.2053331, 0.01761073
663.4, 0.2073852, 0.01933376
663.45, 0.2084902, 0.02043023
663.5, 0.2093899, 0.02011696
663.65, 0.2125154, 0.01902048
663.7, 0.2135256, 0.0202736
663.75, 0.2145201, 0.01917712
663.8, 0.2154514, 0.02043023
663.85, 0.2164774, 0.01996032
663.9, 0.2174245, 0.0202736
663.95, 0.2185137, 0.01917712
664, 0.2195082, 0.02121343
664.1, 0.2215445, 0.02090015
664.15, 0.2226021, 0.02043023
664.2, 0.2235018, 0.02090015
664.25, 0.2245279, 0.01996032
664.3, 0.2255223, 0.02105679
664.35, 0.2266431, 0.01996032
664.4, 0.227527, 0.01980368
664.45, 0.2283636, 0.0194904
664.55, 0.2303684, 0.02011696
664.6, 0.2312365, 0.01964704
664.65, 0.2322626, 0.02043023
664.7, 0.2332886, 0.01996032
664.8, 0.2353407, 0.01917712
664.85, 0.2362089, 0.02090015
664.9, 0.2372507, 0.01964704
664.95, 0.2383557, 0.0202736
665, 0.2393343, 0.02074351
665.05, 0.2403446, 0.02043023
665.1, 0.241418, 0.02043023
665.15, 0.2425071, 0.02168335
665.25, 0.2444961, 0.02121343
665.3, 0.2454905, 0.02105679
665.35, 0.246485, 0.01964704
665.4, 0.2475426, 0.02058687
665.45, 0.248616, 0.01917712
665.5, 0.2495947, 0.01980368
665.55, 0.2505575, 0.01980368
665.65, 0.2524991, 0.01917712
665.7, 0.2534147, 0.0194904
665.75, 0.2543933, 0.0202736
665.8, 0.2554036, 0.02105679
665.85, 0.2562402, 0.02199663
665.9, 0.257361, 0.01996032
666, 0.2594288, 0.0238763
666.05, 0.2603917, 0.02152671
666.1, 0.2613546, 0.02105679
666.15, 0.2623017, 0.02121343
666.2, 0.2632646, 0.02074351
666.25, 0.2643695, 0.02137007
666.35, 0.2663269, 0.0194904
666.4, 0.2673529, 0.01980368
666.45, 0.2682843, 0.0202736
666.5, 0.2693103, 0.02215327
666.55, 0.270289, 0.02105679
666.6, 0.2712677, 0.02246655
666.65, 0.2722463, 0.02011696
666.7, 0.2733355, 0.01980368
666.75, 0.2743773, 0.02152671
666.85, 0.2765083, 0.02215327
666.9, 0.2773765, 0.02183999
666.95, 0.2783552, 0.02137007
667, 0.2794128, 0.02074351
667.05, 0.2803915, 0.02152671
667.15, 0.2823804, 0.02215327
667.2, 0.2834064, 0.01933376
667.25, 0.2843062, 0.02183999
667.3, 0.2852691, 0.02152671
667.35, 0.2864372, 0.02074351
667.4, 0.2873685, 0.02183999
667.45, 0.2882998, 0.02090015
667.5, 0.2892785, 0.01964704
667.55, 0.2903045, 0.02058687
667.65, 0.2925144, 0.02121343
667.7, 0.2933826, 0.02074351
667.75, 0.2944245, 0.02043023
667.8, 0.2954189, 0.02011696
667.9, 0.2973763, 0.02011696
667.95, 0.2984339, 0.02152671
668, 0.2994441, 0.02074351
668.05, 0.3003439, 0.02090015
668.1, 0.3013384, 0.02011696
668.15, 0.3022855, 0.0223099
668.2, 0.3032957, 0.02168335
668.3, 0.3052057, 0.02043023
668.35, 0.3063422, 0.02090015
