Experiment:, Cathode characterisation
Start date:, ?tvrtek 9. ?nora 2023
Start time:, 17:00:43 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
626.05, 0.4004063, 0.007272535
626.1, 0.4011963, 0.007899093
626.15, 0.4019862, 0.007429176
626.2, 0.4029342, 0.009778764
626.25, 0.4038822, 0.009778764
626.3, 0.4048302, 0.008995568
626.35, 0.4059362, 0.008995568
626.4, 0.4067261, 0.00868229
626.45, 0.4079901, 0.01040532
626.5, 0.4089381, 0.009308847
626.55, 0.409886, 0.01024868
626.6, 0.410834, 0.008525651
626.65, 0.411782, 0.008525651
626.7, 0.4128879, 0.01056196
626.75, 0.4138359, 0.009465486
626.8, 0.4149419, 0.009308847
626.85, 0.4158899, 0.01040532
626.9, 0.4169958, 0.009935404
626.95, 0.4181018, 0.01087524
627, 0.4190498, 0.01056196
627.05, 0.4199978, 0.009465486
627.1, 0.4209457, 0.01056196
627.15, 0.4218937, 0.01024868
627.2, 0.4229997, 0.01024868
627.25, 0.4239476, 0.01024868
627.3, 0.4248956, 0.01087524
627.35, 0.4258436, 0.009308847
627.4, 0.4269496, 0.01040532
627.45, 0.4278975, 0.01009204
627.5, 0.4288455, 0.01103188
627.55, 0.4299515, 0.01181507
627.6, 0.4308994, 0.0115018
627.65, 0.4320054, 0.01118852
627.7, 0.4329534, 0.01118852
627.75, 0.4340594, 0.009308847
627.8, 0.4350073, 0.01118852
627.85, 0.4359553, 0.009935404
627.9, 0.4370613, 0.01165843
627.95, 0.4378513, 0.0107186
628, 0.4389572, 0.01103188
628.05, 0.4399052, 0.0115018
628.1, 0.4410112, 0.01291155
628.15, 0.4419591, 0.01165843
628.2, 0.4429071, 0.01087524
628.25, 0.4436971, 0.01118852
628.3, 0.4446451, 0.01134516
628.35, 0.4455931, 0.01165843
628.4, 0.446699, 0.01118852
628.45, 0.447647, 0.01275491
628.5, 0.448911, 0.01134516
628.55, 0.4498589, 0.009935404
628.6, 0.4509649, 0.01118852
628.65, 0.4519129, 0.008212372
628.7, 0.4527029, 0.007272535
628.75, 0.4536508, 0.01009204
628.8, 0.4547568, 0.009622125
628.85, 0.4558628, 0.0115018
628.9, 0.4569688, 0.01087524
628.95, 0.4579167, 0.01118852
629, 0.4587067, 0.0115018
629.05, 0.4598127, 0.01228499
629.1, 0.4609186, 0.01322483
629.15, 0.4617086, 0.01275491
629.2, 0.4628146, 0.01369475
629.25, 0.4639205, 0.01259827
629.3, 0.4647105, 0.01385139
629.35, 0.4656585, 0.01385139
629.4, 0.4667645, 0.01400802
629.45, 0.4677125, 0.01228499
629.5, 0.4686604, 0.01165843
629.55, 0.4696084, 0.01259827
629.6, 0.4708724, 0.01291155
629.65, 0.4716623, 0.01244163
629.7, 0.4727683, 0.01353811
629.75, 0.4738743, 0.01306819
629.8, 0.4748223, 0.01385139
629.85, 0.4759282, 0.01275491
629.9, 0.4768762, 0.01369475
629.95, 0.4776662, 0.01322483
630, 0.4786142, 0.01197171
630.05, 0.4795621, 0.01385139
630.1, 0.4806681, 0.01353811
630.15, 0.4816161, 0.01385139
630.2, 0.482722, 0.0143213
630.25, 0.48367, 0.01416466
630.3, 0.484618, 0.01291155
630.35, 0.485566, 0.01526114
630.4, 0.4866719, 0.01416466
630.45, 0.4874619, 0.01197171
630.5, 0.4885679, 0.01400802
630.55, 0.4893579, 0.01369475
630.6, 0.4906218, 0.01620097
630.65, 0.4917278, 0.0151045
630.7, 0.4926758, 0.01385139
630.75, 0.4936238, 0.01463458
630.8, 0.4945717, 0.01385139
630.85, 0.4955197, 0.01557442
630.9, 0.4966257, 0.01557442
630.95, 0.4977316, 0.0158877
631, 0.4986796, 0.01447794
631.05, 0.4996276, 0.01416466
631.1, 0.5007336, 0.01573106
631.15, 0.5016815, 0.01541778
631.2, 0.5026295, 0.0143213
631.25, 0.5035775, 0.0151045
631.3, 0.5046834, 0.01557442
631.35, 0.5054734, 0.01463458
631.4, 0.5065793, 0.0143213
631.45, 0.5075274, 0.01463458
631.5, 0.5084753, 0.01494786
631.55, 0.5094233, 0.01620097
631.6, 0.5105293, 0.01620097
631.65, 0.5116352, 0.01667089
631.7, 0.5125833, 0.0151045
631.75, 0.5140052, 0.01620097
631.8, 0.5152691, 0.01620097
631.85, 0.5168491, 0.01714081
631.9, 0.5179551, 0.01714081
631.95, 0.518903, 0.01635761
632, 0.520009, 0.01682753
632.05, 0.520957, 0.01667089
632.1, 0.5219049, 0.01761073
632.15, 0.5230109, 0.0158877
632.2, 0.5239589, 0.01635761
632.25, 0.5249069, 0.01604434
632.3, 0.5260128, 0.01745409
632.35, 0.5269608, 0.01682753
632.4, 0.5279088, 0.01620097
632.45, 0.5288568, 0.01776737
632.5, 0.5299627, 0.01714081
632.55, 0.5309107, 0.01729745
632.6, 0.5318587, 0.01651425
632.65, 0.5328067, 0.01745409
632.7, 0.5337546, 0.01698417
632.75, 0.5348606, 0.01823729
632.8, 0.5359666, 0.01823729
632.85, 0.5369146, 0.01761073
632.9, 0.5378625, 0.01682753
632.95, 0.5386525, 0.01823729
633, 0.5397585, 0.01886384
633.05, 0.5408645, 0.01855056
633.1, 0.5419704, 0.01792401
633.15, 0.5427604, 0.01714081
633.2, 0.5438664, 0.01761073
633.25, 0.5449724, 0.01823729
633.3, 0.5457623, 0.01714081
633.35, 0.5467103, 0.01823729
633.4, 0.5476583, 0.01917712
633.45, 0.5486063, 0.01855056
633.5, 0.5495542, 0.02011696
633.55, 0.5506602, 0.01917712
633.6, 0.5516082, 0.01886384
633.65, 0.5527142, 0.0194904
633.7, 0.5536621, 0.01980368
633.75, 0.5546101, 0.02043023
633.8, 0.555558, 0.01964704
633.85, 0.556506, 0.01964704
633.9, 0.557612, 0.01964704
633.95, 0.55856, 0.01792401
634, 0.5596659, 0.01980368
634.05, 0.5606139, 0.01933376
634.1, 0.5615619, 0.01980368
634.15, 0.5623519, 0.01839392
634.2, 0.5632998, 0.01886384
634.25, 0.5645638, 0.02011696
634.3, 0.5655118, 0.01792401
634.35, 0.5663018, 0.01808065
634.4, 0.5674078, 0.01917712
634.45, 0.5683557, 0.0194904
634.5, 0.5693037, 0.01902048
634.55, 0.5704097, 0.01980368
634.6, 0.5715156, 0.0187072
634.65, 0.5723056, 0.01729745
634.7, 0.5734116, 0.01792401
634.75, 0.5745175, 0.0194904
634.8, 0.5754655, 0.01839392
634.85, 0.5765715, 0.0194904
634.9, 0.5775194, 0.01823729
634.95, 0.5786254, 0.01808065
635, 0.5795735, 0.0194904
635.05, 0.5805214, 0.01761073
635.1, 0.5816274, 0.0194904
635.15, 0.5825753, 0.0187072
635.2, 0.5835233, 0.01729745
635.25, 0.5846293, 0.01823729
635.3, 0.5855772, 0.01776737
635.35, 0.5866832, 0.01933376
635.4, 0.5876312, 0.01823729
635.45, 0.5885791, 0.01823729
635.5, 0.5895271, 0.0187072
635.55, 0.5906332, 0.01886384
635.6, 0.5914231, 0.01886384
635.65, 0.5925291, 0.02121343
635.7, 0.593477, 0.01855056
635.75, 0.594425, 0.01964704
635.8, 0.595373, 0.01729745
635.85, 0.596637, 0.02011696
635.9, 0.5975849, 0.01823729
