Experiment:, Cathode characterisation
Start date:, p?tek 24. ?nora 2023
Start time:, 13:33:21 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.05106493, -0.60691
1117.65, 0.0532275, -0.4281846
1117.7, 0.05423775, -0.3659989
1117.75, 0.05520064, -0.326839
1117.8, 0.05613197, -0.2962944
1117.85, 0.05714221, -0.2618337
1117.9, 0.05816825, -0.2339519
1118, 0.06018875, -0.1911894
1118.05, 0.06127792, -0.1683201
1118.1, 0.0621461, -0.1642475
1118.15, 0.06315635, -0.1429445
1118.2, 0.06410345, -0.1291603
1118.25, 0.06516106, -0.1072308
1118.35, 0.06729206, -0.07919233
1118.4, 0.06819182, -0.07762595
1118.45, 0.06921785, -0.06634792
1118.5, 0.07010181, -0.06713112
1118.55, 0.07104892, -0.0586726
1118.6, 0.07209074, -0.04426178
1118.65, 0.07305364, -0.03987588
1118.7, 0.07407967, -0.02938105
1118.8, 0.07605281, -0.02311548
1118.85, 0.07699993, -0.01512688
1118.9, 0.07812067, 0.003199915
1118.95, 0.07916249, 0.004296389
1119, 0.08014116, 0.005079586
1119.05, 0.08107249, 0.006019421
1119.15, 0.08314034, 0.01494786
1119.2, 0.08430844, 0.02544269
1119.25, 0.08527134, 0.02090015
1119.3, 0.08621844, 0.02497277
1119.35, 0.08716556, 0.02465949
1119.4, 0.08827052, 0.03797383
1119.45, 0.08935969, 0.037034
1119.55, 0.09131705, 0.03640744
1119.6, 0.09232729, 0.0414199
1119.65, 0.09336912, 0.04533588
1119.7, 0.0943478, 0.04157653
1119.75, 0.09532648, 0.04423941
1119.8, 0.09624201, 0.04188982
1119.9, 0.0981678, 0.0450226
1119.95, 0.09927276, 0.05348112
1120, 0.1003777, 0.05755374
1120.05, 0.1014353, 0.05645727
1120.1, 0.1024614, 0.05348112
1120.15, 0.1033927, 0.05285456
1120.2, 0.1044029, 0.0530112
1120.25, 0.10535, 0.05081825
1120.35, 0.1073074, 0.05160145
1120.4, 0.1083019, 0.05254128
1120.45, 0.109249, 0.05489087
1120.5, 0.1101645, 0.04972177
1120.6, 0.1120429, 0.05128817
1120.65, 0.1131479, 0.05724046
1120.7, 0.1140161, 0.05285456
1120.75, 0.1152, 0.06240956
1120.8, 0.1162102, 0.05708382
1120.85, 0.1172678, 0.05786702
1120.9, 0.1181044, 0.05222801
