Experiment:, Cathode characterisation
Start date:, p?tek 31. b?ezna 2023
Start time:, 18:08:03 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1020.05, 0.4000903, 0.0354676
1020.1, 0.4010383, 0.0354676
1020.15, 0.4019862, 0.03499769
1020.2, 0.4030922, 0.03531097
1020.25, 0.4038822, 0.03437113
1020.3, 0.4049881, 0.0354676
1020.35, 0.4059362, 0.03405785
1020.4, 0.4068841, 0.03484105
1020.45, 0.4079901, 0.03515432
1020.5, 0.4089381, 0.0362508
1020.55, 0.410044, 0.03515432
1020.6, 0.410992, 0.03374457
1020.65, 0.41194, 0.03374457
1020.7, 0.4130459, 0.03531097
1020.75, 0.4139939, 0.03515432
1020.8, 0.4149419, 0.03515432
1020.85, 0.4158899, 0.03609416
1020.9, 0.4169958, 0.03750391
1020.95, 0.4179438, 0.03640744
1021, 0.4188918, 0.03562424
1021.05, 0.4196817, 0.03531097
1021.1, 0.4209457, 0.03672072
1021.15, 0.4218937, 0.0362508
1021.2, 0.4229997, 0.03578088
1021.25, 0.4239476, 0.03609416
1021.3, 0.4248956, 0.03609416
1021.35, 0.4258436, 0.03578088
1021.4, 0.4267915, 0.03640744
1021.45, 0.4277395, 0.03609416
1021.5, 0.4288455, 0.03578088
1021.55, 0.4299515, 0.03499769
1021.6, 0.4310574, 0.03609416
1021.65, 0.4318474, 0.037034
1021.7, 0.4329534, 0.03750391
1021.75, 0.4339013, 0.0354676
1021.8, 0.4348494, 0.03609416
1021.85, 0.4359553, 0.03640744
1021.9, 0.4369033, 0.03609416
1021.95, 0.4380093, 0.03578088
1022, 0.4389572, 0.03640744
1022.05, 0.4400632, 0.03687736
1022.1, 0.4410112, 0.0378172
1022.15, 0.4419591, 0.0362508
1022.2, 0.4429071, 0.03531097
1022.25, 0.4438551, 0.03640744
1022.3, 0.4448031, 0.03578088
1022.35, 0.4459091, 0.03609416
1022.4, 0.446857, 0.03656408
1022.45, 0.447647, 0.03672072
1022.5, 0.448595, 0.03578088
1022.55, 0.4497009, 0.03766055
1022.6, 0.4506489, 0.03609416
1022.65, 0.4515969, 0.03640744
1022.7, 0.4527029, 0.03687736
1022.75, 0.4538088, 0.037034
1022.8, 0.4545988, 0.03640744
1022.85, 0.4557048, 0.03640744
1022.9, 0.4566528, 0.037034
1022.95, 0.4576007, 0.037034
1023, 0.4587067, 0.03640744
1023.05, 0.4596547, 0.03719064
1023.1, 0.4606026, 0.03578088
1023.15, 0.4617086, 0.03750391
1023.2, 0.4628146, 0.037034
1023.25, 0.4637626, 0.03734728
1023.3, 0.4647105, 0.03766055
1023.35, 0.4656585, 0.03766055
1023.4, 0.4666065, 0.03672072
1023.45, 0.4677125, 0.03797383
1023.5, 0.4688184, 0.03797383
1023.55, 0.4699244, 0.03766055
1023.6, 0.4708724, 0.03687736
1023.65, 0.4718203, 0.03891367
1023.7, 0.4729263, 0.03719064
1023.75, 0.4738743, 0.03938359
1023.8, 0.4748223, 0.03750391
1023.85, 0.4759282, 0.03828711
1023.9, 0.4770342, 0.03860039
1023.95, 0.4779822, 0.03734728
1024, 0.4789301, 0.03734728
1024.05, 0.4800361, 0.03797383
1024.1, 0.4808261, 0.03750391
1024.15, 0.4819321, 0.03860039
1024.2, 0.48288, 0.03907031
1024.25, 0.48367, 0.03828711
1024.3, 0.484776, 0.03891367
1024.35, 0.485724, 0.03828711
1024.4, 0.4866719, 0.03813047
1024.45, 0.4876199, 0.03672072
1024.5, 0.4887259, 0.03734728
1024.55, 0.4898318, 0.037034
1024.6, 0.4906218, 0.03609416
1024.65, 0.4917278, 0.03734728
1024.7, 0.4926758, 0.03891367
1024.75, 0.4936238, 0.03609416
1024.8, 0.4947297, 0.037034
1024.85, 0.4958357, 0.03719064
1024.9, 0.4967837, 0.037034
1024.95, 0.4977316, 0.03656408
1025, 0.4988376, 0.03766055
1025.05, 0.4997856, 0.03797383
1025.1, 0.5008915, 0.03828711
1025.15, 0.5018395, 0.03734728
1025.2, 0.5027875, 0.03766055
1025.25, 0.5035775, 0.03609416
1025.3, 0.5045254, 0.03750391
1025.35, 0.5056314, 0.03766055
1025.4, 0.5065793, 0.03609416
1025.45, 0.5075274, 0.03672072
1025.5, 0.5086333, 0.03719064
1025.55, 0.5095813, 0.03828711
1025.6, 0.5106873, 0.03750391
1025.65, 0.5116352, 0.03766055
1025.7, 0.5127412, 0.03813047
1025.75, 0.5138472, 0.03797383
1025.8, 0.5152691, 0.03938359
1025.85, 0.5166911, 0.03797383
1025.9, 0.5177971, 0.03860039
1025.95, 0.518903, 0.03828711
1026, 0.519693, 0.03844375
1026.05, 0.520957, 0.0406367
1026.1, 0.5219049, 0.03891367
1026.15, 0.5228529, 0.03891367
1026.2, 0.5239589, 0.03891367
1026.25, 0.5249069, 0.03750391
1026.3, 0.5258548, 0.03640744
1026.35, 0.5269608, 0.03907031
1026.4, 0.5279088, 0.03844375
1026.45, 0.5288568, 0.03891367
1026.5, 0.5296468, 0.03860039
1026.55, 0.5309107, 0.03860039
1026.6, 0.5318587, 0.03750391
1026.65, 0.5326487, 0.03938359
1026.7, 0.5337546, 0.03907031
1026.75, 0.5348606, 0.03969686
1026.8, 0.5359666, 0.03907031
1026.85, 0.5370725, 0.03891367
1026.9, 0.5378625, 0.03907031
1026.95, 0.5388105, 0.04157653
1027, 0.5397585, 0.03969686
1027.05, 0.5408645, 0.04032342
1027.1, 0.5416544, 0.04157653
1027.15, 0.5426024, 0.03969686
1027.2, 0.5437084, 0.04110662
1027.25, 0.5448143, 0.03954023
1027.3, 0.5457623, 0.04079334
1027.35, 0.5468683, 0.04001015
1027.4, 0.5478163, 0.03938359
1027.45, 0.5486063, 0.0398535
1027.5, 0.5498702, 0.04235973
1027.55, 0.5508182, 0.03938359
1027.6, 0.5517662, 0.0406367
1027.65, 0.5528721, 0.03938359
1027.7, 0.5536621, 0.04235973
1027.75, 0.5546101, 0.04110662
1027.8, 0.555558, 0.0406367
1027.85, 0.556664, 0.04204645
1027.9, 0.557612, 0.04188982
1027.95, 0.55856, 0.04204645
1028, 0.5596659, 0.04157653
1028.05, 0.5606139, 0.04361285
1028.1, 0.5615619, 0.04204645
1028.15, 0.5626679, 0.04204645
1028.2, 0.5636159, 0.04173318
1028.25, 0.5645638, 0.04267301
1028.3, 0.5656698, 0.04282965
1028.35, 0.5669338, 0.04298629
1028.4, 0.5675657, 0.04204645
1028.45, 0.5686717, 0.04267301
1028.5, 0.5696197, 0.04188982
1028.55, 0.5705677, 0.04110662
1028.6, 0.5715156, 0.04267301
1028.65, 0.5724636, 0.04188982
1028.7, 0.5735696, 0.04314293
1028.75, 0.5745175, 0.04079334
1028.8, 0.5754655, 0.04079334
1028.85, 0.5765715, 0.04094998
1028.9, 0.5775194, 0.0414199
1028.95, 0.5784675, 0.04235973
1029, 0.5795735, 0.04282965
1029.05, 0.5805214, 0.04094998
1029.1, 0.5814694, 0.0406367
1029.15, 0.5824173, 0.04188982
1029.2, 0.5835233, 0.04314293
1029.25, 0.5846293, 0.04188982
1029.3, 0.5855772, 0.04079334
1029.35, 0.5865252, 0.04204645
1029.4, 0.5874732, 0.04267301
1029.45, 0.5885791, 0.04188982
1029.5, 0.5893691, 0.04376949
1029.55, 0.5903171, 0.04204645
1029.6, 0.5914231, 0.04251637
1029.65, 0.5925291, 0.04204645
1029.7, 0.593319, 0.04220309
1029.75, 0.594425, 0.04204645
1029.8, 0.595373, 0.04220309
1029.85, 0.5964789, 0.0414199
1029.9, 0.5975849, 0.04173318
1029.95, 0.5985329, 0.04298629
1030, 0.5996388, 0.04235973
1030.05, 0.6004288, 0.04235973
1030.1, 0.6015348, 0.04282965
1030.15, 0.6026408, 0.04188982
1030.2, 0.6035888, 0.04298629
1030.25, 0.6045367, 0.0414199
1030.3, 0.6056427, 0.04204645
1030.35, 0.6065907, 0.04220309
1030.4, 0.6075386, 0.04173318
1030.45, 0.6083286, 0.04094998
1030.5, 0.6094346, 0.04267301
1030.55, 0.6105406, 0.04204645
1030.6, 0.6113305, 0.04220309
1030.65, 0.6124365, 0.04267301
1030.7, 0.6135425, 0.04329957
1030.75, 0.6144904, 0.04298629
1030.8, 0.6154384, 0.04188982
1030.85, 0.6165444, 0.04094998
1030.9, 0.6174924, 0.04110662
1030.95, 0.6182824, 0.04220309
1031, 0.6193883, 0.04282965
1031.05, 0.6204943, 0.04204645
1031.1, 0.6212842, 0.0406367
1031.15, 0.6222323, 0.04329957
1031.2, 0.6234962, 0.04267301
1031.25, 0.6242862, 0.04048006
1031.3, 0.6255502, 0.04204645
1031.35, 0.6264981, 0.04126326
1031.4, 0.6274461, 0.04001015
1031.45, 0.6283941, 0.04204645
1031.5, 0.6295001, 0.04235973
1031.55, 0.630448, 0.04282965
1031.6, 0.631554, 0.04267301
