Experiment:, Cathode characterisation
Start date:, p?tek 21. dubna 2023
Start time:, 13:57:04 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1232.55, 0.05054402, -0.6897722
1232.65, 0.05275394, -0.4264616
1232.7, 0.05374841, -0.370698
1232.75, 0.05475866, -0.3342011
1232.8, 0.05573734, -0.2942581
1232.85, 0.05670023, -0.28298
1232.9, 0.05766312, -0.2461698
1233, 0.05963627, -0.2009011
1233.05, 0.0606623, -0.1781884
1233.1, 0.06171991, -0.1557889
1233.15, 0.06269858, -0.1492101
1233.2, 0.06358255, -0.1354258
1233.25, 0.06446651, -0.1357391
1233.35, 0.06653437, -0.09188012
1233.4, 0.06765512, -0.07605955
1233.45, 0.06861801, -0.07026389
1233.5, 0.06962826, -0.06603464
1233.55, 0.0706543, -0.05585309
1233.6, 0.07164876, -0.03862277
1233.65, 0.07261165, -0.03971925
1233.7, 0.07341669, -0.0455149
1233.8, 0.07551612, -0.01512688
1233.85, 0.07641587, -0.02280221
1233.9, 0.07744191, -0.007921474
1233.95, 0.07838901, -0.0008727057
1234, 0.07938348, -0.002439099
1234.1, 0.08149869, 0.004609668
1234.15, 0.08252472, 0.01839392
1234.2, 0.0835034, 0.009622125
1234.25, 0.08451365, 0.01886384
1234.3, 0.08557125, 0.02293646
1234.35, 0.08656572, 0.02967195
1234.4, 0.08776539, 0.03296138
1234.45, 0.08871249, 0.02732236
1234.55, 0.09063829, 0.03656408
1234.6, 0.09163275, 0.03202154
1234.65, 0.0925325, 0.03374457
1234.7, 0.09362168, 0.04596243
1234.75, 0.09458457, 0.03828711
1234.8, 0.09553168, 0.04627572
1234.85, 0.09654193, 0.04376949
1234.95, 0.0984835, 0.04517924
1235, 0.09946218, 0.05081825
1235.05, 0.1003935, 0.05128817
1235.1, 0.1014669, 0.05160145
1235.15, 0.1023982, 0.05520415
1235.2, 0.10344, 0.05316784
1235.3, 0.1054448, 0.05724046
1235.35, 0.106455, 0.05583071
1235.4, 0.1073863, 0.06005996
1235.45, 0.1082387, 0.05019169
1235.5, 0.1093437, 0.06820521
1235.6, 0.1113168, 0.05724046
1235.65, 0.1124376, 0.06569898
1235.7, 0.1133057, 0.05489087
1235.75, 0.1143791, 0.06726538
1235.8, 0.1154525, 0.06413259
1235.85, 0.1164944, 0.06522907
1235.9, 0.1175204, 0.05974669
1235.95, 0.1183728, 0.06381931
1236, 0.119383, 0.06444587
1236.1, 0.1214982, 0.07227783
1236.15, 0.1224927, 0.06569898
1236.2, 0.1234872, 0.07071144
1236.25, 0.1244343, 0.06413259
1236.3, 0.1252867, 0.06663882
1236.35, 0.1265021, 0.0721212
1236.4, 0.1274177, 0.06789193
1236.5, 0.1294697, 0.07024152
1236.55, 0.1305116, 0.07149464
1236.6, 0.1314429, 0.05959005
1236.65, 0.1325163, 0.07588054
1236.7, 0.1335265, 0.07008488
1236.75, 0.1344894, 0.06381931
1236.85, 0.1363836, 0.071338
1236.9, 0.1374728, 0.07118136
1236.95, 0.1385462, 0.06742202
1237, 0.1393512, 0.06287947
1237.05, 0.1403299, 0.07024152
1237.1, 0.1413875, 0.07243447
1237.15, 0.1424925, 0.06945832
1237.2, 0.1433133, 0.06507242
1237.3, 0.145318, 0.07149464
1237.35, 0.1462335, 0.06413259
1237.4, 0.1471964, 0.06773529
1237.45, 0.1484277, 0.07462742
1237.5, 0.1494379, 0.05880686
1237.55, 0.1503851, 0.06898841
1237.65, 0.1524213, 0.07102472
1237.7, 0.1534947, 0.06444587
1237.75, 0.154505, 0.06945832
1237.8, 0.1554836, 0.06601226
