Experiment:, Cathode characterisation
Start date:, ?ter? 25. dubna 2023
Start time:, 11:15:01 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
940.55, 0.05051246, -0.6056569
940.65, 0.05258031, -0.4360166
940.7, 0.05363791, -0.3796264
940.75, 0.05460081, -0.344226
940.8, 0.05557949, -0.311645
940.85, 0.05652659, -0.2876792
940.9, 0.0574737, -0.2674727
941, 0.05960469, -0.2110826
941.05, 0.06047288, -0.203094
941.1, 0.06138842, -0.1897797
941.15, 0.06247759, -0.1611147
941.2, 0.06350362, -0.1456074
941.25, 0.06446651, -0.1338595
941.35, 0.06651859, -0.1003386
941.4, 0.06752884, -0.09015709
941.45, 0.0685233, -0.07793922
941.5, 0.06951776, -0.06822759
941.55, 0.07051223, -0.05773276
941.6, 0.07155404, -0.04457506
941.65, 0.07261165, -0.0447317
941.7, 0.07366925, -0.03799621
941.8, 0.07567398, -0.02609162
941.85, 0.07666843, -0.01136754
941.9, 0.07759976, -0.007921474
941.95, 0.0785153, -0.007294916
942, 0.07943083, -0.009174587
942.05, 0.08034638, -0.005571885
942.15, 0.08243001, 0.01933376
942.2, 0.08340869, 0.01729745
942.25, 0.08448208, 0.03014187
942.3, 0.08566596, 0.03750391
942.35, 0.08656572, 0.03092507
942.4, 0.08752861, 0.03343129
942.45, 0.08857043, 0.04016678
942.55, 0.09040151, 0.03875703
942.6, 0.09145912, 0.04674564
942.65, 0.0924378, 0.04345621
942.7, 0.09340069, 0.0450226
942.75, 0.09433201, 0.0450226
942.8, 0.09537382, 0.05175809
942.9, 0.09753639, 0.05818029
942.95, 0.09845193, 0.05222801
943, 0.09938325, 0.05050497
943.05, 0.1004724, 0.05990333
943.1, 0.1015143, 0.05974669
943.15, 0.1025087, 0.05833694
943.25, 0.1045134, 0.05583071
943.3, 0.1055552, 0.06475915
943.35, 0.1065813, 0.06319275
943.4, 0.1074337, 0.05598735
943.45, 0.1084281, 0.06084317
943.5, 0.1094542, 0.0625662
943.6, 0.11138, 0.06052989
943.65, 0.1124376, 0.06491579
943.7, 0.1134478, 0.06569898
943.75, 0.1144423, 0.061783
943.8, 0.1154999, 0.06350603
943.85, 0.1164944, 0.06397595
943.9, 0.1174099, 0.06491579
943.95, 0.118578, 0.07306103
944, 0.1195882, 0.06836185
944.05, 0.120709, 0.06945832
944.15, 0.1226505, 0.06162636
944.2, 0.1235187, 0.06037325
944.25, 0.1245763, 0.06914505
944.3, 0.1256971, 0.06663882
944.4, 0.1274492, 0.05927677
944.45, 0.1285858, 0.07039816
944.5, 0.1294855, 0.06303611
944.55, 0.1304642, 0.06366267
944.6, 0.1314587, 0.06413259
944.65, 0.1324373, 0.06710874
944.75, 0.1345999, 0.06773529
944.8, 0.1356259, 0.06554235
944.85, 0.136652, 0.06804857
944.9, 0.1376149, 0.06679546
944.95, 0.1386409, 0.06648218
945, 0.1395722, 0.06272284
945.05, 0.1404878, 0.06413259
945.1, 0.1414664, 0.06287947
945.15, 0.1424609, 0.06569898
945.25, 0.144734, 0.06836185
945.3, 0.1456495, 0.06413259
945.35, 0.1465019, 0.06209628
945.4, 0.1475279, 0.0661689
945.45, 0.1486013, 0.06601226
945.55, 0.1505903, 0.06350603
945.6, 0.1516479, 0.06648218
945.65, 0.1526581, 0.06428923
945.7, 0.1536684, 0.06679546
945.75, 0.1546628, 0.06413259
945.8, 0.1556257, 0.06428923
945.9, 0.1576778, 0.06820521
945.95, 0.1586407, 0.06413259
946, 0.1594615, 0.05990333
946.05, 0.1604402, 0.06914505
946.1, 0.1615451, 0.06804857
946.15, 0.162587, 0.06757865
946.2, 0.1635183, 0.06272284
946.25, 0.1645285, 0.06789193
946.3, 0.1656335, 0.06710874
946.35, 0.166549, 0.06413259
946.45, 0.1684432, 0.0661689
946.5, 0.1693588, 0.06350603
946.55, 0.1703375, 0.06648218
946.6, 0.1713004, 0.06444587
946.7, 0.1732577, 0.06507242
946.75, 0.1743942, 0.07180792
946.8, 0.1754676, 0.06804857
946.85, 0.1764779, 0.06836185
946.9, 0.1774092, 0.06601226
946.95, 0.1784984, 0.06757865
947.05, 0.1805189, 0.06789193
947.1, 0.1815923, 0.0653857
947.15, 0.1825552, 0.06742202
947.2, 0.1835181, 0.06319275
947.25, 0.1843547, 0.0625662
947.3, 0.1853807, 0.06648218
947.35, 0.1863752, 0.06350603
947.4, 0.1872591, 0.06209628
947.45, 0.1883799, 0.071338
947.55, 0.1905898, 0.06663882
947.6, 0.1914422, 0.06068652
947.65, 0.1923262, 0.06350603
947.7, 0.1933364, 0.06648218
947.75, 0.1942993, 0.06381931
947.8, 0.1953411, 0.06554235
947.9, 0.1972038, 0.061783
947.95, 0.1981982, 0.06381931
948, 0.1992874, 0.06319275
948.05, 0.2002977, 0.06366267
948.1, 0.2013237, 0.0633494
948.15, 0.2022708, 0.05943341
948.25, 0.204165, 0.06115644
948.3, 0.2052542, 0.06319275
948.35, 0.2061855, 0.05818029
948.4, 0.2071958, 0.06115644
948.45, 0.2081429, 0.06005996
948.5, 0.209232, 0.06021661
948.55, 0.2103686, 0.06068652
948.65, 0.2124049, 0.05786702
948.7, 0.2133993, 0.05912013
948.75, 0.2143938, 0.05771038
948.8, 0.2155145, 0.05708382
948.85, 0.2164459, 0.0589635
948.9, 0.2174877, 0.05786702
948.95, 0.2184506, 0.05645727
949.05, 0.2203448, 0.05395104
949.1, 0.2213866, 0.05943341
949.15, 0.2223495, 0.05504751
949.2, 0.2233913, 0.05520415
949.3, 0.2255065, 0.05614398
949.4, 0.2275744, 0.05473424
949.45, 0.2285057, 0.0530112
949.5, 0.2295002, 0.05410768
949.55, 0.2304315, 0.05160145
949.6, 0.2314891, 0.05551743
949.65, 0.2325941, 0.05316784
949.7, 0.2335412, 0.05285456
949.75, 0.2345672, 0.0545776
949.8, 0.2355143, 0.05191473
