Experiment:, Cathode characterisation
Start date:, p?tek 5. kv?tna 2023
Start time:, 15:32:09 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.05054402, -0.5950055
1117.65, 0.05270659, -0.2513389
1117.7, 0.05363791, -0.2002745
1117.75, 0.05456924, -0.172706
1117.8, 0.05557949, -0.1263408
1117.85, 0.05657395, -0.1123999
1117.9, 0.05753684, -0.09188012
1118, 0.05954155, -0.06117883
1118.05, 0.06055181, -0.05585309
1118.1, 0.06157784, -0.03032089
1118.15, 0.06254073, -0.03173064
1118.2, 0.06347205, -0.02530843
1118.25, 0.06440338, -0.02186237
1118.3, 0.06550834, 0.008525651
1118.4, 0.0675604, 0.01698417
1118.45, 0.06849173, 0.01479122
1118.5, 0.06959669, 0.0318649
1118.55, 0.07049644, 0.01839392
1118.6, 0.07155404, 0.03343129
1118.65, 0.07246958, 0.03139498
1118.7, 0.07347983, 0.05066161
1118.8, 0.07542141, 0.03875703
1118.85, 0.07644744, 0.05426432
1118.9, 0.07748926, 0.06021661
1118.95, 0.07856265, 0.06554235
1119, 0.07958868, 0.06131308
1119.05, 0.08058315, 0.06240956
1119.15, 0.0825405, 0.07008488
1119.2, 0.08364546, 0.06836185
1119.25, 0.08468729, 0.07556726
1119.3, 0.08587117, 0.08386914
1119.35, 0.08680249, 0.07274775
1119.45, 0.08877563, 0.07823012
1119.5, 0.08969118, 0.07431415
1119.55, 0.09059093, 0.08151954
1119.6, 0.09156961, 0.07963987
1119.65, 0.09259564, 0.0873152
1119.7, 0.09355853, 0.08120627
1119.75, 0.09453721, 0.08418241
1119.8, 0.09553168, 0.08872496
1119.85, 0.09665243, 0.09420733
1119.9, 0.0976311, 0.08292931
1120, 0.09969895, 0.09217101
1120.05, 0.1006145, 0.09420733
1120.1, 0.1015932, 0.09060463
1120.15, 0.1025561, 0.09279758
1120.2, 0.1037084, 0.09937642
1120.25, 0.1045608, 0.08465233
1120.35, 0.1065181, 0.09232766
1120.4, 0.1075757, 0.09859323
1120.45, 0.1085544, 0.09624365
1120.5, 0.10947, 0.0968702
1120.55, 0.1104802, 0.1001596
1120.65, 0.112406, 0.0968702
1120.7, 0.1134636, 0.1020393
1120.75, 0.1145686, 0.1026659
1120.8, 0.1154683, 0.0924843
1120.85, 0.1165101, 0.1029791
1120.9, 0.1175993, 0.1057986
1120.95, 0.1185306, 0.09420733
1121, 0.1194777, 0.1010995
1121.05, 0.1204091, 0.1020393
1121.15, 0.1223506, 0.1006295
1121.2, 0.1235187, 0.1075217
1121.25, 0.1245605, 0.1045455
1121.3, 0.1255077, 0.1051721
1121.4, 0.1275597, 0.1028225
1121.45, 0.1285858, 0.1057986
1121.5, 0.1295802, 0.1043889
1121.55, 0.1306536, 0.107365
1121.6, 0.1316639, 0.1018827
1121.65, 0.1326426, 0.1014127
1121.75, 0.1345841, 0.1040756
1121.8, 0.135405, 0.09640028
1121.85, 0.1363994, 0.1064252
1121.9, 0.1374097, 0.09937642
1121.95, 0.138341, 0.1045455
1122, 0.1392565, 0.09749676
1122.05, 0.1403141, 0.1031358
1122.1, 0.1413086, 0.09984634
1122.15, 0.1424293, 0.1054853
1122.2, 0.1433133, 0.09781004
1122.3, 0.1452707, 0.1018827
1122.35, 0.1462493, 0.1010995
1122.4, 0.1472596, 0.09937642
1122.45, 0.1484593, 0.1087748
1122.5, 0.1494379, 0.09718347
1122.6, 0.1513006, 0.1028225
1122.65, 0.1524055, 0.101726
1122.7, 0.1535263, 0.1059553
1122.75, 0.154426, 0.1004729
1122.8, 0.1554836, 0.1050154
1122.85, 0.156557, 0.1057986
1122.9, 0.1575515, 0.09812331
1123, 0.1596509, 0.1028225
1123.05, 0.1606454, 0.1020393
1123.1, 0.1617188, 0.101726
1123.15, 0.1627132, 0.09827995
1123.2, 0.1635499, 0.09373742
1123.25, 0.1646075, 0.1040756
1123.3, 0.1656019, 0.09655692
1123.4, 0.1675909, 0.1028225
1123.45, 0.1686169, 0.1040756
1123.5, 0.1696429, 0.09781004
1123.55, 0.1705742, 0.1014127
1123.6, 0.171695, 0.09953307
1123.7, 0.1735734, 0.101726
1123.75, 0.1745047, 0.09091791
1123.8, 0.1755308, 0.1007862
1123.85, 0.176541, 0.09859323
1123.9, 0.1775197, 0.08794177
1123.95, 0.1784352, 0.09874986
1124.05, 0.1806609, 0.09640028
1124.1, 0.1814976, 0.08950816
1124.15, 0.1822552, 0.0924843
1124.2, 0.1833918, 0.09812331
1124.25, 0.1845283, 0.09937642
1124.3, 0.1854438, 0.09107454
