Experiment:, Cathode characterisation
Start date:, st?eda 19. dubna 2023
Start time:, 14:26:40 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.05041774, -0.7207868
1117.65, 0.05258031, -0.4101711
1117.7, 0.05341692, -0.3616129
1117.75, 0.05441138, -0.3088255
1117.8, 0.05553213, -0.2569779
1117.85, 0.05644767, -0.2438202
1117.9, 0.05745792, -0.2123357
1118, 0.0594942, -0.1655006
1118.05, 0.06042552, -0.1503066
1118.1, 0.06134106, -0.1476437
1118.15, 0.06241445, -0.1092671
1118.2, 0.06356677, -0.08483136
1118.25, 0.06445073, -0.09548282
1118.35, 0.06647123, -0.06572136
1118.4, 0.06737099, -0.07057718
1118.45, 0.0683181, -0.05491325
1118.5, 0.06935991, -0.03533335
1118.55, 0.07033859, -0.02953769
1118.6, 0.07141198, -0.01559679
1118.65, 0.07242223, -0.01825966
1118.7, 0.07338513, -0.004945328
1118.8, 0.07551612, 0.0107186
1118.85, 0.07651059, 0.01181507
1118.9, 0.07753661, 0.01197171
1118.95, 0.07842059, 0.01353811
1119, 0.07947819, 0.02857548
1119.05, 0.08053579, 0.0326481
1119.1, 0.08146712, 0.02403294
1119.2, 0.08355076, 0.04392612
1119.25, 0.08457679, 0.04188982
1119.3, 0.08558704, 0.04235973
1119.35, 0.08653415, 0.04204645
1119.4, 0.08762332, 0.05285456
1119.5, 0.08973853, 0.05802366
1119.55, 0.09057514, 0.04674564
1119.6, 0.09153803, 0.05724046
1119.65, 0.09246936, 0.05363776
1119.7, 0.09341647, 0.06084317
1119.75, 0.09452143, 0.06648218
1119.8, 0.09548432, 0.06084317
1119.9, 0.09758374, 0.07274775
1119.95, 0.09846772, 0.061783
1120, 0.09938325, 0.07102472
1120.05, 0.1004724, 0.07400087
1120.1, 0.10153, 0.07525398
1120.15, 0.1024614, 0.07039816
1120.25, 0.1044345, 0.07478406
1120.3, 0.1054763, 0.07791685
1120.35, 0.106455, 0.07509734
1120.4, 0.1073074, 0.07823012
1120.45, 0.1084755, 0.08527889
1120.5, 0.1094384, 0.07823012
1120.55, 0.1104013, 0.07791685
1120.65, 0.1123586, 0.08621872
1120.7, 0.1134478, 0.08449569
1120.75, 0.1144107, 0.08339922
1120.8, 0.1154525, 0.07870004
1120.85, 0.1164312, 0.0873152
1120.9, 0.1175046, 0.08950816
1120.95, 0.1185148, 0.08668865
1121.05, 0.1203933, 0.08183283
1121.1, 0.1213088, 0.08480898
1121.15, 0.1223191, 0.08715856
1121.2, 0.1235503, 0.09906314
1121.25, 0.1244974, 0.08339922
1121.3, 0.1254919, 0.08856832
1121.35, 0.1263916, 0.086532
1121.4, 0.1274808, 0.09279758
1121.5, 0.1295329, 0.08982144
1121.55, 0.1305116, 0.08465233
1121.6, 0.1314429, 0.08809839
1121.65, 0.1325636, 0.09655692
1121.75, 0.134663, 0.09201438
1121.8, 0.1354681, 0.0777602
1121.85, 0.1365099, 0.09232766
1121.9, 0.1376464, 0.09107454
1121.95, 0.1385462, 0.08324257
1122.05, 0.1403931, 0.08073635
1122.1, 0.1411981, 0.07916996
1122.15, 0.1421768, 0.09029134
1122.2, 0.1432028, 0.08496562
1122.3, 0.1453338, 0.0968702
1122.35, 0.1463914, 0.08856832
1122.4, 0.1474648, 0.09107454
1122.45, 0.1486171, 0.08559217
1122.5, 0.1495011, 0.08167619
1122.55, 0.1504955, 0.08966479
1122.65, 0.1524529, 0.07979652
1122.7, 0.1533842, 0.08590545
1122.75, 0.1543945, 0.08198947
1122.8, 0.1553416, 0.08559217
1122.9, 0.1573463, 0.08167619
1122.95, 0.1583881, 0.08794177
1123, 0.1593194, 0.08089299
1123.05, 0.1603139, 0.08684529
1123.1, 0.1613399, 0.08559217
1123.15, 0.1624133, 0.0873152
1123.2, 0.1633131, 0.08026644
1123.25, 0.1644654, 0.09154446
1123.3, 0.1654914, 0.08089299
1123.35, 0.166407, 0.08465233
1123.45, 0.1684748, 0.08433905
1123.5, 0.1695324, 0.08762848
1123.55, 0.1705427, 0.07838677
1123.6, 0.1714266, 0.07823012
1123.65, 0.1724053, 0.08292931
1123.7, 0.1732577, 0.07603717
1123.8, 0.1753414, 0.08057971
1123.85, 0.1764305, 0.08449569
1123.9, 0.1774408, 0.07885668
1123.95, 0.178451, 0.08151954
1124.05, 0.1805978, 0.0801098
1124.1, 0.1815765, 0.07713365
1124.15, 0.1825236, 0.07478406
1124.2, 0.1834076, 0.07619382
1124.25, 0.1845125, 0.086532
1124.3, 0.1853649, 0.06992824
1124.35, 0.1863752, 0.07948323
1124.4, 0.1873223, 0.07744693
1124.45, 0.1882852, 0.07337431
1124.55, 0.1903057, 0.07948323
1124.6, 0.1913791, 0.07588054
1124.65, 0.1922946, 0.07729029
1124.7, 0.1933048, 0.07650709
1124.75, 0.1942677, 0.07791685
1124.85, 0.1963672, 0.08214611
1124.9, 0.1975353, 0.07697701
1124.95, 0.1984666, 0.07588054
1125, 0.199461, 0.07572389
1125.05, 0.2003924, 0.07650709
1125.1, 0.2014184, 0.07603717
1125.15, 0.202334, 0.07431415
1125.2, 0.2033126, 0.07713365
1125.3, 0.2053173, 0.07916996
1125.35, 0.2063907, 0.07682038
1125.4, 0.2072747, 0.07337431
1125.45, 0.2082376, 0.07760356
1125.5, 0.2093268, 0.07870004
1125.55, 0.2103844, 0.07807348
1125.6, 0.2115367, 0.07791685
1125.7, 0.2135256, 0.07619382
1125.75, 0.2144569, 0.07368759
1125.8, 0.2155145, 0.07901332
1125.85, 0.216509, 0.07791685
1125.9, 0.217535, 0.07760356
1125.95, 0.2184506, 0.07306103
1126.05, 0.2205026, 0.07729029
1126.1, 0.2215287, 0.0793266
1126.15, 0.22246, 0.07274775
1126.2, 0.2234703, 0.07682038
1126.25, 0.2244016, 0.0721212
1126.3, 0.2255381, 0.08026644
1126.35, 0.226501, 0.07306103
1126.45, 0.2285057, 0.07525398
1126.5, 0.229437, 0.07823012
1126.55, 0.2304315, 0.07337431
1126.6, 0.2313786, 0.07619382
1126.65, 0.232452, 0.07118136
1126.7, 0.2334465, 0.07760356
1126.8, 0.2355459, 0.07713365
1126.85, 0.236493, 0.07274775
1126.9, 0.2374559, 0.07039816
1126.95, 0.2384503, 0.0749407
1127, 0.2395869, 0.07791685
1127.05, 0.2405498, 0.06930169
1127.1, 0.2415758, 0.07603717
1127.2, 0.2436279, 0.07071144
1127.25, 0.2446539, 0.07337431
1127.3, 0.2457273, 0.0741575
1127.35, 0.2466271, 0.0705548
1127.4, 0.2476689, 0.07337431
1127.45, 0.2486002, 0.06914505
1127.5, 0.2495947, 0.07478406
1127.6, 0.2515836, 0.07180792
1127.65, 0.2524675, 0.06444587
1127.7, 0.2534778, 0.07666373
1127.75, 0.2544565, 0.06773529
1127.8, 0.2555141, 0.07039816
1127.85, 0.2565243, 0.06695209
1127.95, 0.2584975, 0.06804857
1128, 0.259492, 0.06992824
1128.05, 0.2604548, 0.06726538
1128.1, 0.2613862, 0.06507242
1128.15, 0.2623648, 0.06648218
1128.2, 0.2633435, 0.06914505
1128.25, 0.2642906, 0.06491579
1128.35, 0.2663585, 0.06742202
1128.4, 0.2674634, 0.06679546
1128.45, 0.2684106, 0.06350603
1128.5, 0.2695155, 0.06460251
1128.55, 0.2704942, 0.0633494
1128.6, 0.2713624, 0.06272284
1128.65, 0.2724042, 0.06632554
1128.75, 0.2743773, 0.06115644
1128.8, 0.2755139, 0.06601226
1128.85, 0.2765872, 0.05974669
1128.9, 0.2775028, 0.06052989
1128.95, 0.2786078, 0.06397595
1129, 0.2795864, 0.06146972
1129.1, 0.2814964, 0.05786702
1129.15, 0.2824751, 0.06209628
1129.2, 0.2835327, 0.06021661
1129.25, 0.2843535, 0.0589635
1129.3, 0.2854901, 0.06084317
1129.35, 0.2865161, 0.05724046
1129.45, 0.2884735, 0.06084317
1129.5, 0.2895153, 0.05551743
1129.55, 0.2903993, 0.06037325
1129.6, 0.2914411, 0.05614398
1129.65, 0.2925144, 0.0589635
1129.7, 0.2936194, 0.05489087
1129.75, 0.2945823, 0.05880686
1129.8, 0.2953558, 0.05191473
1129.85, 0.2964923, 0.06115644
1129.9, 0.2975973, 0.05520415
1130, 0.2996178, 0.05269792
1130.05, 0.3005017, 0.05504751
1130.1, 0.3014331, 0.05520415
1130.15, 0.302538, 0.0566139
1130.25, 0.3045743, 0.05551743
1130.3, 0.3054898, 0.05395104
1130.35, 0.3066422, 0.05426432
1130.4, 0.3077313, 0.05645727
1130.45, 0.3088363, 0.05395104
1130.5, 0.3098465, 0.05285456
1130.55, 0.3107621, 0.05254128
1130.65, 0.3127668, 0.05489087
1130.7, 0.3137139, 0.05316784
1130.75, 0.3154046, 0.05708382
1130.8, 0.3158786, 0.05222801
1130.85, 0.3168266, 0.05395104
1130.9, 0.3176165, 0.05066161
1130.95, 0.3187225, 0.05316784
1131, 0.3196705, 0.05348112
1131.05, 0.3207764, 0.05034833
1131.15, 0.3226724, 0.05175809
1131.2, 0.3236203, 0.05222801
1131.25, 0.3245684, 0.05128817
1131.3, 0.3256743, 0.05254128
1131.35, 0.3266223, 0.04972177
1131.45, 0.3286762, 0.05332448
1131.5, 0.3296242, 0.05285456
1131.55, 0.3305722, 0.05097489
1131.6, 0.3315201, 0.05081825
1131.65, 0.3326261, 0.05144481
1131.75, 0.3346801, 0.05128817
1131.8, 0.335628, 0.05348112
1131.85, 0.336576, 0.05254128
1131.9, 0.337682, 0.04987842
1131.95, 0.33863, 0.05489087
1132, 0.3395779, 0.05222801
1132.05, 0.3406839, 0.05034833
1132.15, 0.3425798, 0.05081825
1132.2, 0.3435278, 0.0486253
1132.3, 0.3454238, 0.05050497
1132.35, 0.3463717, 0.05285456
1132.4, 0.3473197, 0.04925186
1132.45, 0.3484257, 0.05081825
1132.5, 0.3493736, 0.05144481
1132.55, 0.3503217, 0.04956514
1132.65, 0.3523756, 0.04987842
1132.7, 0.3533235, 0.04925186
1132.75, 0.3542715, 0.04925186
1132.8, 0.3553775, 0.05066161
1132.85, 0.3566415, 0.05019169
1132.95, 0.3585374, 0.0486253
1133, 0.3596434, 0.04956514
1133.05, 0.3605914, 0.04925186
1133.1, 0.3615393, 0.04893858
1133.15, 0.3624873, 0.0486253
1133.2, 0.3634353, 0.04846866
1133.25, 0.3643833, 0.04987842
1133.35, 0.3662792, 0.04658899
1133.4, 0.3672272, 0.04893858
1133.45, 0.3681751, 0.04752883
1133.5, 0.3692811, 0.04893858
1133.55, 0.3703871, 0.04846866
1133.6, 0.3713351, 0.04972177
1133.65, 0.372283, 0.04721555
1133.75, 0.374179, 0.04799874
1133.8, 0.375285, 0.04893858
1133.85, 0.3762329, 0.04690227
1133.9, 0.3771809, 0.04799874
1133.95, 0.3782869, 0.04831202
1134, 0.3792349, 0.05003506
1134.05, 0.3801828, 0.04737219
1134.15, 0.3822368, 0.04752883
1134.2, 0.3830267, 0.0478421
1134.25, 0.3841327, 0.05034833
1134.3, 0.3852387, 0.04831202
1134.35, 0.3861867, 0.04721555
1134.4, 0.3872926, 0.05003506
1134.45, 0.3882406, 0.0486253
1134.55, 0.3901366, 0.04674564
1134.6, 0.3912425, 0.04893858
1134.65, 0.3921905, 0.04721555
1134.7, 0.3931385, 0.0486253
1134.75, 0.3939284, 0.04705891
1134.85, 0.3959824, 0.04658899
1134.9, 0.3969304, 0.05003506
1134.95, 0.3978783, 0.04893858
1135, 0.3989843, 0.04878194
1135.05, 0.4002483, 0.0478421
1135.1, 0.4011963, 0.0486253
1135.15, 0.4021442, 0.0478421
1135.2, 0.4030922, 0.04799874
1135.3, 0.4049881, 0.04831202
