Experiment:, Cathode characterisation
Start date:, ?ter? 23. kv?tna 2023
Start time:, 14:43:26 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1232.55, 0.05082816, -0.5771486
1232.65, 0.05289601, -0.2937881
1232.7, 0.05400097, -0.20701
1232.75, 0.05505858, -0.1725494
1232.8, 0.05605304, -0.1351126
1232.85, 0.05706329, -0.14968
1232.9, 0.05797883, -0.1515597
1233, 0.06006246, -0.1022183
1233.05, 0.06107271, -0.08906061
1233.1, 0.06211453, -0.07230021
1233.15, 0.06306164, -0.06775767
1233.2, 0.06419817, -0.05272031
1233.25, 0.065019, -0.05898588
1233.35, 0.06708685, -0.02938105
1233.4, 0.06801818, -0.03987588
1233.45, 0.06891792, -0.0375263
1233.5, 0.06988082, -0.0264049
1233.55, 0.07092264, -0.01434368
1233.6, 0.0719329, -0.01559679
1233.65, 0.07288, -0.007608194
1233.7, 0.07398496, -0.001655901
1233.75, 0.07497942, 0.002260081
1233.85, 0.07676315, -0.003692212
1233.9, 0.07788389, 0.01259827
1233.95, 0.07897307, 0.01839392
1234, 0.07990438, 0.008212372
1234.05, 0.08094621, 0.01353811
1234.1, 0.08197224, 0.02183999
1234.2, 0.08391381, 0.01761073
1234.25, 0.08495564, 0.02246655
1234.3, 0.08587117, 0.02152671
1234.35, 0.08683407, 0.02340638
1234.4, 0.08784432, 0.02606925
1234.5, 0.08983324, 0.03358793
1234.55, 0.09092242, 0.03202154
1234.6, 0.09201159, 0.0378172
1234.65, 0.0929587, 0.02920203
1234.7, 0.09385845, 0.03327465
1234.75, 0.09475821, 0.03405785
1234.8, 0.09578424, 0.03938359
1234.9, 0.09789945, 0.03687736
1234.95, 0.09886234, 0.03938359
1235, 0.1000462, 0.04282965
1235.05, 0.1008828, 0.03750391
1235.1, 0.1018931, 0.0406367
1235.15, 0.1029191, 0.04298629
1235.2, 0.1040083, 0.04329957
1235.3, 0.1058709, 0.04392612
1235.35, 0.1069128, 0.04423941
1235.4, 0.1079546, 0.04204645
1235.45, 0.1087596, 0.04329957
1235.5, 0.109833, 0.04627572
1235.6, 0.1118062, 0.04329957
1235.65, 0.1127533, 0.04831202
1235.7, 0.1137004, 0.0450226
1235.75, 0.1146001, 0.04094998
1235.8, 0.1155946, 0.04564916
1235.85, 0.1167785, 0.0478421
1235.9, 0.1178361, 0.04705891
1235.95, 0.1189095, 0.04799874
1236.05, 0.12093, 0.04611908
1236.1, 0.1220034, 0.04690227
1236.15, 0.1230452, 0.04893858
1236.2, 0.1241501, 0.04596243
1236.25, 0.1251446, 0.04752883
1236.3, 0.125997, 0.04705891
1236.35, 0.1270072, 0.0478421
1236.45, 0.1288383, 0.04470932
1236.5, 0.129817, 0.04690227
1236.55, 0.1307799, 0.04768547
1236.6, 0.131727, 0.04893858
1236.65, 0.1328162, 0.05050497
1236.75, 0.1348051, 0.04611908
1236.8, 0.1359259, 0.04987842
1236.85, 0.1369519, 0.04815539
1236.9, 0.1378359, 0.0478421
1236.95, 0.1387988, 0.04972177
1237, 0.139809, 0.0478421
1237.05, 0.1408982, 0.04925186
1237.15, 0.1429029, 0.0458058
1237.2, 0.1438974, 0.04831202
1237.3, 0.1457284, 0.04423941
1237.35, 0.1468176, 0.04878194
1237.4, 0.1479226, 0.04658899
1237.45, 0.148917, 0.04596243
1237.55, 0.1510322, 0.04909522
1237.6, 0.1520425, 0.04643235
1237.65, 0.1531632, 0.04752883
1237.7, 0.154063, 0.04690227
1237.75, 0.1550574, 0.04643235
1237.8, 0.1560203, 0.04752883
1237.85, 0.1570148, 0.04690227
1237.95, 0.1588459, 0.04596243
1238, 0.1598246, 0.04705891
1238.05, 0.1608664, 0.04611908
1238.1, 0.1617188, 0.04831202
1238.15, 0.1629027, 0.04564916
1238.2, 0.1639129, 0.04799874
1238.25, 0.1650337, 0.04643235
1238.35, 0.1668805, 0.04721555
1238.4, 0.1678276, 0.04533588
1238.45, 0.1687116, 0.04752883
1238.5, 0.169785, 0.04721555
1238.55, 0.1707952, 0.04627572
1238.6, 0.1718055, 0.04878194
1238.65, 0.1729578, 0.04690227
1238.7, 0.1740154, 0.04721555
1238.8, 0.1757676, 0.04549251
1238.85, 0.1768252, 0.04674564
1238.9, 0.1779617, 0.0478421
1238.95, 0.1789719, 0.04627572
1239.05, 0.1811503, 0.04674564
1239.1, 0.1822079, 0.04533588
1239.15, 0.1832181, 0.0458058
1239.2, 0.1841179, 0.04408276
1239.25, 0.1850808, 0.04596243
