Experiment:, Cathode characterisation
Start date:, st?eda 21. ?ervna 2023
Start time:, 13:44:18 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1347.55, 0.05104915, -0.5508332
1347.65, 0.05308544, -0.2748348
1347.7, 0.05417461, -0.1833575
1347.75, 0.05520064, -0.1351126
1347.8, 0.05614775, -0.1062909
1347.85, 0.05725271, -0.06932407
1347.9, 0.05812089, -0.07214358
1348, 0.06001511, -0.03063417
1348.05, 0.06093065, -0.02264556
1348.1, 0.06186197, -0.008234751
1348.15, 0.06287222, 0.01494786
1348.2, 0.06396139, 0.03640744
1348.25, 0.06495586, 0.03954023
1348.3, 0.06610817, 0.06084317
1348.4, 0.06806553, 0.07102472
1348.45, 0.06912313, 0.07823012
1348.5, 0.06997553, 0.06491579
1348.55, 0.07097, 0.07807348
1348.6, 0.07188553, 0.06601226
1348.65, 0.07270636, 0.06742202
1348.7, 0.07382711, 0.0924843
1348.8, 0.07597388, 0.1037623
1348.85, 0.07695256, 0.1053287
1348.9, 0.07789968, 0.1031358
1348.95, 0.07881521, 0.1023526
1349, 0.0799991, 0.1202094
1349.1, 0.08200381, 0.1147271
1349.15, 0.08314034, 0.1249086
1349.2, 0.0841348, 0.1198962
1349.25, 0.08519241, 0.1238122
1349.3, 0.08617109, 0.1213059
1349.35, 0.08707084, 0.1249086
1349.4, 0.08820737, 0.1318008
1349.5, 0.08995952, 0.1198962
1349.55, 0.09103291, 0.1350902
1349.6, 0.09202737, 0.1308609
1349.65, 0.09292713, 0.1281981
1349.7, 0.09400052, 0.1344636
1349.75, 0.09499498, 0.1338371
1349.8, 0.09595788, 0.1318008
1349.9, 0.09797837, 0.1408858
1349.95, 0.09894127, 0.132114
1350, 0.09988838, 0.1410425
1350.05, 0.1009776, 0.1418257
1350.1, 0.1019247, 0.1396327
1350.15, 0.1029823, 0.1435487
1350.2, 0.1040557, 0.1433921
1350.3, 0.1059814, 0.1352468
1350.35, 0.1069759, 0.1444885
