Experiment:, Cathode characterisation
Start date:, ?tvrtek 5. ??jna 2023
Start time:, 16:11:39 +02:00
Time (s), Current Density (A/cm2)
11, -0.168535
12, 0.07102472
13, 0.06930169
14, 0.06773529
15, 0.06710874
16, 0.06554235
17, 0.06413259
18, 0.0625662
19, 0.06162636
20, 0.06162636
21, 0.06021661
22, 0.06209628
23, 0.06428923
24, 0.06945832
25, 0.07368759
26, 0.07509734
27, 0.07478406
28, 0.07368759
29, 0.07227783
30, 0.0705548
31, 0.06914505
32, 0.06726538
33, 0.0661689
34, 0.06475915
35, 0.06397595
36, 0.06272284
37, 0.06146972
38, 0.05974669
39, 0.06021661
40, 0.05880686
41, 0.05880686
42, 0.05943341
43, 0.0625662
44, 0.06820521
45, 0.07290439
46, 0.0741575
47, 0.07384422
48, 0.07353094
49, 0.0721212
50, 0.0697716
51, 0.06773529
52, 0.06632554
53, 0.06522907
54, 0.06428923
55, 0.06272284
56, 0.061783
57, 0.06068652
58, 0.06005996
59, 0.05943341
60, 0.05802366
61, 0.05771038
62, 0.05943341
63, 0.06240956
64, 0.06695209
65, 0.071338
66, 0.07290439
67, 0.07227783
68, 0.07196455
69, 0.071338
70, 0.06898841
71, 0.06804857
72, 0.06679546
73, 0.06569898
74, 0.06491579
75, 0.06366267
76, 0.0625662
77, 0.06115644
78, 0.06037325
79, 0.05990333
80, 0.0589635
81, 0.05865022
82, 0.05974669
83, 0.06381931
84, 0.06742202
85, 0.07149464
86, 0.07321767
87, 0.07196455
88, 0.07086808
89, 0.06945832
90, 0.06804857
91, 0.06679546
92, 0.0653857
93, 0.06444587
94, 0.06287947
95, 0.06225292
96, 0.06084317
97, 0.06052989
98, 0.05927677
99, 0.05849357
100, 0.05755374
101, 0.05802366
102, 0.06005996
103, 0.06475915
104, 0.06851849
105, 0.07259111
106, 0.07306103
107, 0.07259111
108, 0.0721212
109, 0.07102472
110, 0.06992824
111, 0.06851849
112, 0.06742202
113, 0.06585562
114, 0.06491579
115, 0.06287947
116, 0.06146972
117, 0.06115644
118, 0.06021661
119, 0.05880686
120, 0.05833694
121, 0.05786702
122, 0.05974669
123, 0.06366267
124, 0.06930169
125, 0.07227783
126, 0.07368759
127, 0.07368759
128, 0.07259111
129, 0.07118136
130, 0.0697716
