Experiment:, Cathode characterisation
Start date:, st?eda 4. ??jna 2023
Start time:, 18:00:37 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
332.05, 0.4000903, 0.1131607
332.1, 0.4008803, 0.1139439
332.15, 0.4019862, 0.1161368
332.2, 0.4029342, 0.1139439
332.25, 0.4038822, 0.1144138
332.3, 0.4048302, 0.1150403
332.35, 0.4057781, 0.1158236
332.4, 0.4067261, 0.1150403
332.45, 0.4078321, 0.1156669
332.5, 0.4089381, 0.1153536
332.55, 0.409886, 0.1164501
332.6, 0.410992, 0.1156669
332.65, 0.41194, 0.1162935
332.7, 0.4128879, 0.1162935
332.75, 0.4138359, 0.1158236
332.8, 0.4149419, 0.1175466
332.85, 0.4158899, 0.1175466
332.9, 0.4169958, 0.1164501
332.95, 0.4179438, 0.1178599
333, 0.4190498, 0.1173899
333.05, 0.4199978, 0.1172333
333.1, 0.4209457, 0.1181731
333.15, 0.4220517, 0.1167634
333.2, 0.4229997, 0.1178599
333.25, 0.4239476, 0.1181731
333.3, 0.4247376, 0.1194263
333.35, 0.4256856, 0.1189563
333.4, 0.4267915, 0.1192696
333.45, 0.4277395, 0.119113
333.5, 0.4286875, 0.1183298
333.55, 0.4296355, 0.1189563
333.6, 0.4307414, 0.1192696
333.65, 0.4316894, 0.1211493
333.7, 0.4327954, 0.1194263
333.75, 0.4337434, 0.1194263
333.8, 0.4346913, 0.1202094
333.85, 0.4359553, 0.1205227
333.9, 0.4369033, 0.122559
333.95, 0.4378513, 0.1213059
334, 0.4389572, 0.1219325
334.05, 0.4399052, 0.1222458
334.1, 0.4406952, 0.1219325
334.15, 0.4418011, 0.1209926
334.2, 0.4429071, 0.1222458
334.25, 0.4438551, 0.1209926
334.3, 0.4446451, 0.1213059
334.35, 0.4455931, 0.1219325
334.4, 0.446541, 0.1222458
334.45, 0.447647, 0.1216192
334.5, 0.448595, 0.122559
334.55, 0.4495429, 0.1238122
334.6, 0.4506489, 0.1236555
334.65, 0.4515969, 0.1236555
334.7, 0.4527029, 0.1249086
334.75, 0.4536508, 0.1239688
334.8, 0.4547568, 0.1255352
334.85, 0.4557048, 0.1244387
334.9, 0.4568107, 0.1253785
334.95, 0.4579167, 0.1245953
335, 0.4587067, 0.1242821
335.05, 0.4596547, 0.1249086
335.1, 0.4606026, 0.1263184
335.15, 0.4617086, 0.1258485
335.2, 0.4626566, 0.1252219
335.25, 0.4637626, 0.1266317
335.3, 0.4647105, 0.1266317
335.35, 0.4656585, 0.1260051
335.4, 0.4666065, 0.1253785
335.45, 0.4675545, 0.1266317
335.5, 0.4685024, 0.1261617
335.55, 0.4692924, 0.1278848
335.6, 0.4705564, 0.1285113
335.65, 0.4716623, 0.1274149
335.7, 0.4726103, 0.1275715
335.75, 0.4737163, 0.1288246
335.8, 0.4746643, 0.1285113
335.85, 0.4756122, 0.1292945
335.9, 0.4767182, 0.1291379
335.95, 0.4775082, 0.1291379
336, 0.4786142, 0.1281981
336.05, 0.4795621, 0.1291379
336.1, 0.4806681, 0.1285113
336.15, 0.4816161, 0.1302344
336.2, 0.4825641, 0.1305476
336.25, 0.483512, 0.1305476
336.3, 0.484618, 0.132114
336.35, 0.485566, 0.1318008
336.4, 0.4865139, 0.1311742
336.45, 0.4876199, 0.1314875
336.5, 0.4885679, 0.1314875
336.55, 0.4893579, 0.1327406
336.6, 0.4904639, 0.1316441
336.65, 0.4914118, 0.132114
336.7, 0.4923598, 0.1332105
336.75, 0.4934658, 0.1332105
336.8, 0.4944137, 0.1338371
336.85, 0.4955197, 0.1339937
336.9, 0.4966257, 0.1332105
336.95, 0.4975736, 0.132114
337, 0.4986796, 0.1335238
337.05, 0.4997856, 0.1339937
337.1, 0.5007336, 0.1344636
337.15, 0.5016815, 0.134307
337.2, 0.5026295, 0.1361867
337.25, 0.5037354, 0.1352468
337.3, 0.5045254, 0.1368132
337.35, 0.5056314, 0.1364999
337.4, 0.5065793, 0.1358734
337.45, 0.5076854, 0.1363433
337.5, 0.5086333, 0.1368132
337.55, 0.5095813, 0.1374398
337.6, 0.5105293, 0.1371265
337.65, 0.5114772, 0.1372831
337.7, 0.5125833, 0.1369698
337.75, 0.5136892, 0.1368132
337.8, 0.5151111, 0.137753
337.85, 0.5166911, 0.1374398
337.9, 0.5179551, 0.1388495
337.95, 0.519219, 0.1404159
338, 0.520009, 0.1386929
338.05, 0.520957, 0.137753
338.1, 0.5219049, 0.1383796
338.15, 0.5228529, 0.1383796
338.2, 0.5239589, 0.1388495
338.25, 0.5249069, 0.1390062
338.3, 0.5260128, 0.139946
338.35, 0.5269608, 0.1394761
338.4, 0.5279088, 0.1388495
338.45, 0.5290148, 0.1402593
338.5, 0.5298048, 0.1388495
338.55, 0.5309107, 0.1413558
338.6, 0.5318587, 0.1397894
338.65, 0.5328067, 0.1418257
338.7, 0.5337546, 0.1407292
338.75, 0.5348606, 0.1421389
338.8, 0.5358086, 0.1422956
338.85, 0.5369146, 0.1433921
338.9, 0.5378625, 0.1427655
338.95, 0.5389685, 0.1429221
339, 0.5399165, 0.1430788
339.05, 0.5408645, 0.1440186
339.1, 0.5418124, 0.1433921
339.15, 0.5429184, 0.1449585
339.2, 0.5440243, 0.1446452
339.25, 0.5449724, 0.1433921
339.3, 0.5459203, 0.1433921
339.35, 0.5468683, 0.1440186
339.4, 0.5476583, 0.1446452
339.45, 0.5487642, 0.1449585
339.5, 0.5497122, 0.1454284
339.55, 0.5506602, 0.1451151
339.6, 0.5516082, 0.1457417
339.65, 0.5527142, 0.1448018
339.7, 0.5538201, 0.1458983
339.75, 0.554926, 0.147308
339.8, 0.556032, 0.1454284
339.85, 0.557138, 0.1457417
339.9, 0.557928, 0.1474647
339.95, 0.559034, 0.147308
340, 0.5599819, 0.1480912
340.05, 0.5609299, 0.1471514
340.1, 0.5618779, 0.1480912
340.15, 0.5628259, 0.1474647
340.2, 0.5639318, 0.1488744
340.25, 0.5648798, 0.1493444
340.3, 0.5659857, 0.1487178
340.35, 0.5669338, 0.1491877
340.4, 0.5678818, 0.1491877
340.45, 0.5686717, 0.149501
340.5, 0.5696197, 0.1504408
340.55, 0.5705677, 0.1502842
340.6, 0.5715156, 0.1502842
340.65, 0.5726216, 0.1515373
340.7, 0.5737276, 0.1507541
340.75, 0.5746756, 0.1535736
340.8, 0.5757815, 0.1518506
340.85, 0.5768875, 0.1510674
340.9, 0.5776774, 0.1535736
340.95, 0.5787835, 0.1513807
341, 0.5797314, 0.1520072
341.05, 0.5806794, 0.1538869
341.1, 0.5816274, 0.1537303
341.15, 0.5827333, 0.1529471
341.2, 0.5838392, 0.1538869
341.25, 0.5846293, 0.1535736
341.3, 0.5857353, 0.1538869
341.35, 0.5866832, 0.1540435
341.4, 0.5876312, 0.1552967
341.45, 0.5885791, 0.1535736
341.5, 0.5896851, 0.1542002
341.55, 0.5906332, 0.1548267
341.6, 0.5915811, 0.1570197
341.65, 0.5926871, 0.1557666
341.7, 0.593793, 0.1563931
341.75, 0.594741, 0.1562365
341.8, 0.595847, 0.1562365
341.85, 0.596953, 0.1565498
341.9, 0.5979009, 0.1571763
341.95, 0.5988489, 0.1578029
342, 0.5999548, 0.1574896
342.05, 0.6009029, 0.1574896
342.1, 0.6018508, 0.1570197
342.15, 0.6027988, 0.1576462
342.2, 0.6039047, 0.1573329
342.25, 0.6048527, 0.1582728
342.3, 0.6056427, 0.1576462
342.35, 0.6067487, 0.1584294
342.4, 0.6078547, 0.1609357
342.45, 0.6088026, 0.1588994
342.5, 0.6095926, 0.1585861
342.55, 0.6105406, 0.1588994
342.6, 0.6114885, 0.1603091
342.65, 0.6124365, 0.1599958
342.7, 0.6135425, 0.1618755
342.75, 0.6146485, 0.1609357
342.8, 0.6155964, 0.1615622
342.85, 0.6167024, 0.1612489
342.9, 0.6176503, 0.1618755
342.95, 0.6185983, 0.1618755
343, 0.6197043, 0.162502
343.05, 0.6208103, 0.1621888
343.1, 0.6217582, 0.1615622
343.15, 0.6227062, 0.162502
343.2, 0.6236542, 0.1621888
343.25, 0.6247602, 0.162972
343.3, 0.6255502, 0.1623454
343.35, 0.6266561, 0.164695
343.4, 0.6276041, 0.1635985
343.45, 0.62871, 0.1642251
343.5, 0.629658, 0.162972
343.55, 0.6306061, 0.1643817
343.6, 0.631554, 0.164695
343.65, 0.63266, 0.1651649
343.7, 0.6336079, 0.1645384
343.75, 0.6345559, 0.1650083
343.8, 0.6356619, 0.1645384
343.85, 0.6366099, 0.1654782
343.9, 0.6375578, 0.1648516
343.95, 0.6386638, 0.1672012
344, 0.6396118, 0.166888
344.05, 0.6405598, 0.1678278
344.1, 0.6415077, 0.1673579
344.15, 0.6424557, 0.1679844
344.2, 0.6435617, 0.1681411
344.25, 0.6445096, 0.1670446
344.3, 0.6454576, 0.1692375
344.35, 0.6465636, 0.1681411
344.4, 0.6475116, 0.1684543
344.45, 0.6484596, 0.1695508
344.5, 0.6495655, 0.1692375
344.55, 0.6505135, 0.1679844
344.6, 0.6514615, 0.1684543
344.65, 0.6525674, 0.1684543
344.7, 0.6535154, 0.1700207
344.75, 0.6546214, 0.170334
344.8, 0.6555693, 0.170334
344.85, 0.6566753, 0.1693942
344.9, 0.6576233, 0.1695508
344.95, 0.6585713, 0.170334
345, 0.6595193, 0.1704907
345.05, 0.6606252, 0.1708039
345.1, 0.6615732, 0.1704907
345.15, 0.6625211, 0.1711172
345.2, 0.6636271, 0.1717438
345.25, 0.6645751, 0.1715871
345.3, 0.6656811, 0.1729969
345.35, 0.666629, 0.1734668
345.4, 0.667577, 0.1722137
345.45, 0.668525, 0.1728403
345.5, 0.669315, 0.1726836
345.55, 0.6702629, 0.1731535
345.6, 0.6713689, 0.1736234
345.65, 0.6723168, 0.17425
345.7, 0.6732649, 0.1737801
345.75, 0.6742129, 0.1747199
345.8, 0.6753188, 0.1755031
345.85, 0.6762668, 0.1762863
345.9, 0.6772147, 0.1740934
345.95, 0.6783207, 0.1734668
346, 0.6792687, 0.1753465
346.05, 0.6802167, 0.1761297
346.1, 0.6813226, 0.1761297
346.15, 0.6824286, 0.1767562
346.2, 0.6833766, 0.1772261
346.25, 0.6844825, 0.1751898
346.3, 0.6852726, 0.1762863
346.35, 0.6862205, 0.1767562
346.4, 0.6871685, 0.1770695
346.45, 0.6882744, 0.178166
346.5, 0.6892224, 0.1770695
346.55, 0.6901703, 0.1784793
346.6, 0.6911184, 0.1767562
346.65, 0.6922244, 0.178166
346.7, 0.6931723, 0.1784793
346.75, 0.6939623, 0.178166
346.8, 0.6950682, 0.1791058
346.85, 0.6961742, 0.1800456
346.9, 0.6972802, 0.1780093
346.95, 0.6982282, 0.1792625
347, 0.6991761, 0.1792625
347.05, 0.7002821, 0.1794191
347.1, 0.70123, 0.1803589
347.15, 0.7021781, 0.1800456
347.2, 0.7032841, 0.1800456
347.25, 0.704074, 0.1805156
347.3, 0.70518, 0.1803589
347.35, 0.7061279, 0.1814554
347.4, 0.7072339, 0.182082
347.45, 0.7081819, 0.1823952
347.5, 0.7091299, 0.1823952
347.55, 0.7102358, 0.1834917
347.6, 0.7111838, 0.1827085
347.65, 0.7121318, 0.1825519
347.7, 0.7130798, 0.1823952
347.75, 0.7140278, 0.1828652
347.8, 0.7149757, 0.1827085
347.85, 0.7160817, 0.183805
347.9, 0.7170296, 0.183805
347.95, 0.7181356, 0.1842749
348, 0.7190837, 0.1844316
348.05, 0.7201896, 0.1847448
348.1, 0.7211376, 0.1842749
348.15, 0.7219275, 0.1847448
348.2, 0.7230335, 0.1864679
348.25, 0.7239814, 0.1859979
348.3, 0.7249295, 0.185528
348.35, 0.7258775, 0.1863112
348.4, 0.7268254, 0.185528
348.45, 0.7277734, 0.187721
348.5, 0.7288793, 0.1866245
348.55, 0.7298273, 0.1866245
348.6, 0.7307753, 0.1864679
348.65, 0.7318813, 0.1864679
348.7, 0.7328292, 0.1875643
348.75, 0.7339352, 0.187721
348.8, 0.7348832, 0.1880343
348.85, 0.7359892, 0.1881909
348.9, 0.7369372, 0.1886608
348.95, 0.7378851, 0.1892874
349, 0.7389911, 0.1891307
349.05, 0.739939, 0.1903838
349.1, 0.741045, 0.1896006
349.15, 0.741993, 0.1905405
