Experiment:, Cathode characterisation
Start date:, ?ter? 19. z??? 2023
Start time:, 13:55:27 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1020.05, 0.3993003, 0.07697701
1020.1, 0.4002483, 0.07541062
1020.15, 0.4011963, 0.07682038
1020.2, 0.4023022, 0.07666373
1020.25, 0.4034082, 0.0749407
1020.3, 0.4043562, 0.07572389
1020.35, 0.4053041, 0.07666373
1020.4, 0.4062521, 0.07650709
1020.45, 0.4072001, 0.07697701
1020.5, 0.4083061, 0.07572389
1020.55, 0.409254, 0.07556726
1020.6, 0.410202, 0.07588054
1020.65, 0.41115, 0.07744693
1020.7, 0.412256, 0.07901332
1020.75, 0.4130459, 0.07447078
1020.8, 0.4143099, 0.0777602
1020.85, 0.4152579, 0.07666373
1020.9, 0.4163638, 0.07666373
1020.95, 0.4173118, 0.07901332
1021, 0.4184178, 0.07635045
1021.05, 0.4193658, 0.07744693
1021.1, 0.4204717, 0.07682038
1021.15, 0.4214197, 0.0777602
1021.2, 0.4225257, 0.07713365
1021.25, 0.4234737, 0.07791685
1021.3, 0.4245796, 0.0785434
1021.35, 0.4253696, 0.07682038
1021.4, 0.4263176, 0.07635045
1021.45, 0.4274235, 0.07603717
1021.5, 0.4283715, 0.07682038
1021.55, 0.4293195, 0.07729029
1021.6, 0.4304255, 0.07870004
1021.65, 0.4313734, 0.07963987
1021.7, 0.4324794, 0.07885668
1021.75, 0.4334274, 0.07713365
1021.8, 0.4343754, 0.07838677
1021.85, 0.4354813, 0.07697701
1021.9, 0.4365873, 0.07713365
1021.95, 0.4375353, 0.07697701
1022, 0.4383253, 0.07603717
1022.05, 0.4392732, 0.0793266
1022.1, 0.4403792, 0.07744693
1022.15, 0.4413272, 0.07760356
1022.2, 0.4422751, 0.07760356
1022.25, 0.4432231, 0.07729029
1022.3, 0.4441711, 0.07885668
1022.35, 0.4452771, 0.07870004
1022.4, 0.446225, 0.07823012
1022.45, 0.447173, 0.07807348
1022.5, 0.448121, 0.07807348
1022.55, 0.4492269, 0.07995315
1022.6, 0.4501749, 0.07791685
1022.65, 0.4512809, 0.07838677
1022.7, 0.4520709, 0.07760356
1022.75, 0.4530188, 0.07838677
1022.8, 0.4541248, 0.07948323
1022.85, 0.4552308, 0.07838677
1022.9, 0.4563367, 0.07729029
1022.95, 0.4571267, 0.07838677
1023, 0.4582327, 0.07916996
1023.05, 0.4591807, 0.07838677
1023.1, 0.4601287, 0.0793266
1023.15, 0.4612346, 0.07963987
1023.2, 0.4623406, 0.0785434
1023.25, 0.4631306, 0.07948323
1023.3, 0.4640785, 0.07916996
1023.35, 0.4650265, 0.0785434
1023.4, 0.4659745, 0.07838677
1023.45, 0.4670804, 0.07823012
1023.5, 0.4680285, 0.08026644
1023.55, 0.4692924, 0.0793266
1023.6, 0.4702404, 0.0801098
1023.65, 0.4710304, 0.0793266
1023.7, 0.4721363, 0.08104963
1023.75, 0.4730843, 0.0801098
1023.8, 0.4740323, 0.08198947
1023.85, 0.4751382, 0.0813629
1023.9, 0.4760862, 0.08120627
1023.95, 0.4770342, 0.08042307
1024, 0.4779822, 0.08042307
1024.05, 0.4790882, 0.08073635
1024.1, 0.4800361, 0.08089299
1024.15, 0.4811421, 0.08214611
1024.2, 0.4822481, 0.08089299
1024.25, 0.483038, 0.08026644
1024.3, 0.483986, 0.07885668
1024.35, 0.484934, 0.07963987
1024.4, 0.4860399, 0.07995315
1024.45, 0.4869879, 0.08026644
1024.5, 0.4879359, 0.08057971
1024.55, 0.4890419, 0.08026644
1024.6, 0.4899898, 0.08057971
1024.65, 0.4909378, 0.07979652
1024.7, 0.4918858, 0.08026644
1024.75, 0.4929918, 0.08026644
1024.8, 0.4939397, 0.07963987
