Experiment:, Cathode characterisation
Start date:, ?tvrtek 26. ??jna 2023
Start time:, 13:53:55 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1117.55, 0.0507808, -0.5542793
1117.65, 0.05281708, -0.3595766
1117.7, 0.05387469, -0.2881491
1117.75, 0.05491651, -0.2377113
1117.8, 0.05594254, -0.1932257
1117.85, 0.05693701, -0.1595483
1117.9, 0.05793147, -0.1299435
1118, 0.05987304, -0.09156685
1118.05, 0.06086751, -0.07339668
1118.1, 0.06186197, -0.05773276
1118.15, 0.06282486, -0.04426178
1118.2, 0.06389825, -0.02812794
1118.25, 0.06486114, -0.01982606
1118.35, 0.06686586, 0.002573358
1118.4, 0.06774983, 0.0008503264
1118.45, 0.0689495, 0.02324974
1118.5, 0.06973875, 0.01181507
1118.55, 0.07068587, 0.01933376
1118.6, 0.07168032, 0.02606925
1118.65, 0.07254851, 0.02450286
1118.7, 0.07354297, 0.03374457
1118.8, 0.07557926, 0.04752883
1118.85, 0.07657372, 0.04956514
1118.9, 0.0775524, 0.05238464
1118.95, 0.07848372, 0.05081825
1119, 0.07955712, 0.05786702
1119.05, 0.08042529, 0.05285456
1119.15, 0.08246158, 0.06146972
1119.2, 0.08347183, 0.0609998
1119.25, 0.08449787, 0.06632554
1119.3, 0.08566596, 0.07447078
1119.35, 0.08661307, 0.06945832
1119.45, 0.08855465, 0.07384422
1119.5, 0.08950175, 0.06851849
1119.55, 0.09059093, 0.0777602
1119.6, 0.0916801, 0.0785434
1119.65, 0.09262721, 0.07588054
1119.7, 0.09355853, 0.07541062
1119.75, 0.09452143, 0.07760356
1119.8, 0.09559482, 0.08104963
1119.9, 0.09744168, 0.07713365
1119.95, 0.09843614, 0.07870004
1120, 0.09952532, 0.08590545
1120.05, 0.1003777, 0.07666373
1120.1, 0.1013722, 0.08198947
1120.2, 0.1033295, 0.08355586
1120.3, 0.10535, 0.08590545
1120.35, 0.1062971, 0.08324257
1120.4, 0.1073863, 0.0888816
1120.45, 0.1084439, 0.08496562
1120.5, 0.1093437, 0.08230274
1120.6, 0.11138, 0.08590545
1120.65, 0.1124691, 0.08903823
1120.7, 0.1134636, 0.08433905
1120.75, 0.1144423, 0.08684529
1120.8, 0.1155315, 0.08621872
1120.85, 0.1165733, 0.0873152
1120.9, 0.1174572, 0.08496562
1120.95, 0.1183886, 0.08621872
1121, 0.1194777, 0.08856832
1121.05, 0.1205196, 0.08919487
1121.15, 0.1225558, 0.09217101
1121.2, 0.1235819, 0.09029134
1121.25, 0.124529, 0.08715856
1121.3, 0.1256182, 0.09279758
1121.4, 0.1274808, 0.08841167
1121.45, 0.1284753, 0.09154446
1121.5, 0.1294382, 0.08872496
1121.55, 0.1304642, 0.08982144
1121.6, 0.1314745, 0.09185775
1121.65, 0.1324531, 0.09060463
1121.7, 0.1334318, 0.0888816
1121.75, 0.1345052, 0.09342413
1121.85, 0.1364783, 0.09029134
1121.9, 0.1374728, 0.09044799
1121.95, 0.1384357, 0.09013471
1122, 0.1394144, 0.08919487
1122.05, 0.1403615, 0.08747184
1122.1, 0.1414033, 0.09060463
1122.15, 0.1424609, 0.09123117
1122.25, 0.1444656, 0.08825504
1122.3, 0.1453338, 0.08465233
1122.35, 0.1463598, 0.08825504
1122.4, 0.1474964, 0.09044799
1122.45, 0.148475, 0.08668865
1122.5, 0.1495326, 0.08574881
1122.55, 0.1505271, 0.08997807
1122.65, 0.1524055, 0.08606208
1122.7, 0.1533211, 0.08543553
1122.75, 0.1543787, 0.09029134
1122.8, 0.1553889, 0.08715856
1122.85, 0.1562413, 0.08668865
1122.9, 0.1573305, 0.0888816
1123, 0.1593194, 0.08950816
1123.05, 0.1604402, 0.08794177
1123.1, 0.1614031, 0.08621872
1123.15, 0.1624133, 0.08872496
1123.2, 0.1634393, 0.08841167
1123.25, 0.1644654, 0.08637536
1123.35, 0.1664385, 0.08496562
1123.4, 0.1674646, 0.08919487
1123.45, 0.168538, 0.08684529
1123.5, 0.1695008, 0.08465233
1123.55, 0.1704795, 0.08856832
1123.6, 0.1713161, 0.08198947
1123.65, 0.1723422, 0.08856832
1123.7, 0.1733682, 0.08637536
1123.8, 0.1753887, 0.08433905
1123.85, 0.1763674, 0.08590545
1123.9, 0.1774092, 0.08480898
1123.95, 0.1784668, 0.08809839
1124.05, 0.1805505, 0.08230274
