Experiment:, Cathode characterisation
Start date:, p?tek 27. ??jna 2023
Start time:, 13:32:07 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
623.55, 0.05051246, -0.3531544
623.65, 0.05258031, -0.2955112
623.7, 0.05349585, -0.2742082
623.75, 0.05441138, -0.2608939
623.8, 0.05537428, -0.2422538
623.85, 0.05633717, -0.2298793
623.9, 0.05736321, -0.2093596
624, 0.05941527, -0.1810078
624.05, 0.06045709, -0.1697298
624.1, 0.06156205, -0.1532827
624.15, 0.06255652, -0.1462339
624.2, 0.06348784, -0.1354258
624.25, 0.0645928, -0.124931
624.35, 0.06653437, -0.1073874
624.4, 0.06762355, -0.09689257
624.45, 0.06857066, -0.08890398
624.5, 0.06956512, -0.08060209
624.55, 0.07062273, -0.06995063
624.6, 0.07155404, -0.06540807
624.65, 0.07264322, -0.0571062
624.7, 0.07354297, -0.05506989
624.8, 0.07561083, -0.04144228
624.85, 0.07655793, -0.03768294
624.9, 0.07752083, -0.02765802
624.95, 0.07857844, -0.02295884
625, 0.07965183, -0.01544016
625.05, 0.08058315, -0.01262065
625.15, 0.082651, -0.003848852
625.2, 0.08377175, 0.005392865
625.25, 0.08497141, 0.007742454
625.3, 0.08595009, 0.01197171
625.35, 0.08697613, 0.01291155
625.4, 0.08778118, 0.009465486
625.5, 0.08962803, 0.01745409
625.55, 0.09059093, 0.01980368
625.6, 0.09164853, 0.02685244
625.65, 0.092643, 0.02888875
625.7, 0.09365325, 0.03092507
625.75, 0.094553, 0.02716572
625.8, 0.09551589, 0.03374457
625.9, 0.09753639, 0.03562424
625.95, 0.09849929, 0.04001015
626, 0.09958846, 0.04094998
626.05, 0.1005829, 0.04235973
626.1, 0.1016563, 0.04329957
626.15, 0.102635, 0.04643235
626.2, 0.1036137, 0.04392612
626.3, 0.1056026, 0.04658899
626.35, 0.1065181, 0.04831202
626.4, 0.1075126, 0.04799874
626.45, 0.1085702, 0.04925186
626.5, 0.109612, 0.05269792
626.55, 0.1105907, 0.05066161
626.65, 0.1125007, 0.05222801
626.7, 0.113511, 0.05677054
626.75, 0.1146475, 0.0545776
626.8, 0.115642, 0.05207136
626.85, 0.1165417, 0.05755374
626.9, 0.1175677, 0.05348112
626.95, 0.1183254, 0.05066161
627, 0.1193672, 0.05943341
627.05, 0.1203933, 0.05677054
627.15, 0.1225243, 0.06162636
627.2, 0.1235187, 0.05833694
627.25, 0.1244658, 0.05771038
627.3, 0.1254603, 0.05880686
627.35, 0.1265021, 0.05912013
627.4, 0.1275597, 0.05974669
627.5, 0.129596, 0.05912013
627.55, 0.1306536, 0.06115644
627.6, 0.1316323, 0.05959005
627.65, 0.132532, 0.05645727
627.75, 0.1345368, 0.06146972
627.8, 0.1354523, 0.05974669
627.85, 0.1365099, 0.06068652
627.9, 0.1374412, 0.05598735
627.95, 0.1385146, 0.0633494
628, 0.1395564, 0.05943341
628.05, 0.1404246, 0.05786702
628.1, 0.1413244, 0.0609998
628.15, 0.1422715, 0.05943341
628.25, 0.1443709, 0.061783
628.3, 0.1454917, 0.06162636
628.35, 0.1465177, 0.0609998
628.4, 0.1474648, 0.05833694
628.45, 0.1485224, 0.05959005
628.5, 0.1495642, 0.06005996
628.6, 0.1515374, 0.05755374
628.65, 0.1525003, 0.05990333
628.7, 0.1535263, 0.05927677
628.75, 0.1545523, 0.06052989
628.8, 0.1556099, 0.05818029
628.9, 0.1576462, 0.06052989
628.95, 0.1586565, 0.06115644
629, 0.1596509, 0.0589635
629.05, 0.1604875, 0.05974669
629.1, 0.1614504, 0.05865022
629.15, 0.1625554, 0.06052989
629.2, 0.1635656, 0.05974669
629.25, 0.164639, 0.06350603
629.3, 0.1656966, 0.06209628
629.4, 0.1675751, 0.0573971
629.45, 0.1684275, 0.05677054
629.5, 0.1695008, 0.061783
629.55, 0.1704953, 0.05755374
629.6, 0.1716318, 0.05974669
629.65, 0.1725474, 0.06240956
629.7, 0.1735576, 0.05755374
629.8, 0.1756255, 0.06131308
629.85, 0.1766831, 0.05786702
629.9, 0.1775671, 0.05755374
629.95, 0.1785615, 0.05708382
630, 0.1795402, 0.0566139
630.1, 0.1816238, 0.06209628
630.15, 0.1826183, 0.06037325
630.2, 0.1836917, 0.05990333
630.25, 0.1847651, 0.05724046
630.3, 0.1857596, 0.06037325
630.35, 0.1866435, 0.05473424
630.4, 0.1876064, 0.05677054
630.5, 0.1896427, 0.05880686
630.55, 0.1905266, 0.05708382
630.6, 0.1915053, 0.05755374
630.65, 0.1926103, 0.06146972
630.7, 0.1934469, 0.0537944
630.75, 0.1943782, 0.0589635
630.8, 0.1955305, 0.06037325
630.85, 0.196525, 0.05583071
630.95, 0.1984192, 0.05677054
631, 0.1993506, 0.06131308
631.05, 0.2004397, 0.05849357
631.1, 0.2014184, 0.05880686
631.15, 0.2024129, 0.05708382
631.2, 0.20336, 0.05974669
631.3, 0.2054594, 0.05724046
631.35, 0.2064381, 0.05677054
631.4, 0.207401, 0.05677054
631.45, 0.2083639, 0.0566139
631.5, 0.2092952, 0.05927677
631.55, 0.2104475, 0.05959005
631.6, 0.2115209, 0.05959005
631.7, 0.2136203, 0.05755374
631.75, 0.2145832, 0.05802366
631.8, 0.2156408, 0.06005996
631.85, 0.2165248, 0.05943341
631.9, 0.2175035, 0.05959005
632, 0.2195871, 0.05912013
632.05, 0.22055, 0.06052989
632.1, 0.221576, 0.06381931
632.15, 0.2225547, 0.06131308
632.2, 0.2235018, 0.06350603
632.25, 0.2245121, 0.061783
632.35, 0.2264694, 0.06146972
632.4, 0.2275744, 0.06585562
632.45, 0.2285057, 0.06193964
632.5, 0.2294686, 0.06350603
632.55, 0.2306367, 0.06381931
632.6, 0.2315996, 0.06240956
632.65, 0.2325625, 0.06491579
632.7, 0.2335728, 0.06131308
632.8, 0.2354512, 0.06475915
632.85, 0.2363509, 0.06131308
632.9, 0.2373928, 0.06475915
632.95, 0.2385293, 0.06366267
633, 0.23965, 0.06272284
633.05, 0.2406603, 0.06209628
633.1, 0.2416863, 0.0609998
633.15, 0.2427123, 0.06193964
633.25, 0.2446855, 0.05880686
633.3, 0.2457273, 0.06115644
633.35, 0.2466744, 0.05880686
633.4, 0.2476373, 0.05912013
633.45, 0.2485686, 0.05614398
633.5, 0.2495157, 0.05943341
633.6, 0.2516309, 0.05724046
633.65, 0.2527043, 0.0573971
633.7, 0.2537777, 0.05755374
633.75, 0.2546933, 0.05583071
633.8, 0.2556877, 0.05598735
633.85, 0.2567769, 0.05692719
633.95, 0.2586553, 0.05645727
634, 0.2596024, 0.05410768
634.05, 0.2606285, 0.05551743
634.15, 0.2625227, 0.05504751
634.2, 0.2635645, 0.05598735
634.25, 0.2647168, 0.05630063
634.35, 0.2665953, 0.05207136
634.4, 0.2676055, 0.05222801
634.45, 0.2686473, 0.05395104
634.5, 0.2696733, 0.05316784
634.55, 0.270652, 0.05191473
634.6, 0.2716465, 0.05285456
634.65, 0.2726094, 0.05050497
634.75, 0.274551, 0.05050497
634.8, 0.275577, 0.04956514
634.85, 0.276603, 0.05019169
634.9, 0.2775817, 0.05081825
634.95, 0.2786078, 0.05019169
635, 0.2796654, 0.04987842
635.05, 0.2807545, 0.05003506
635.15, 0.2828382, 0.05081825
635.2, 0.2836906, 0.0478421
635.25, 0.2847798, 0.05050497
635.3, 0.2857111, 0.04956514
635.35, 0.2867371, 0.05019169
635.45, 0.2887102, 0.04831202
635.5, 0.2896574, 0.0486253
635.55, 0.2906834, 0.04956514
635.6, 0.2918199, 0.04987842
635.65, 0.2928459, 0.0486253
635.7, 0.2938088, 0.04831202
635.75, 0.294677, 0.04799874
635.8, 0.2956715, 0.04768547
635.9, 0.2976131, 0.04956514
635.95, 0.2986075, 0.04846866
