Experiment:, Cathode characterisation
Start date:, ?ter? 31. ??jna 2023
Start time:, 14:32:40 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1232.55, 0.05048088, -0.5249877
1232.65, 0.05251717, -0.2690391
1232.7, 0.05359055, -0.2021542
1232.75, 0.05441138, -0.1932257
1232.8, 0.05531114, -0.1806946
1232.85, 0.05633717, -0.1398117
1232.9, 0.05737899, -0.1109901
1233, 0.05927321, -0.07558964
1233.05, 0.06017296, -0.07825251
1233.1, 0.06119899, -0.05021407
1233.15, 0.06235131, -0.02922441
1233.2, 0.06332999, -0.02452523
1233.25, 0.06435602, -0.00651172
1233.35, 0.06639231, 0.003199915
1233.4, 0.06741834, 0.01228499
1233.45, 0.06842859, 0.01526114
1233.5, 0.06948619, 0.03311801
1233.55, 0.07044908, 0.0406367
1233.6, 0.07149091, 0.04737219
1233.65, 0.07259587, 0.04361285
1233.7, 0.07351141, 0.04048006
1233.8, 0.07543719, 0.06037325
1233.85, 0.07643165, 0.06005996
1233.9, 0.07737876, 0.06209628
1233.95, 0.07831009, 0.07086808
1234, 0.07927299, 0.06836185
1234.05, 0.08014116, 0.06851849
1234.1, 0.08134084, 0.09279758
1234.2, 0.08331398, 0.08543553
1234.25, 0.08438737, 0.09311084
1234.3, 0.08549233, 0.09749676
1234.35, 0.08634473, 0.08747184
1234.4, 0.08726026, 0.0932675
1234.5, 0.08932812, 0.1087748
1234.55, 0.09036993, 0.1050154
1234.6, 0.09141175, 0.1020393
1234.65, 0.0924378, 0.1136306
1234.7, 0.09351118, 0.1087748
1234.75, 0.09425308, 0.1001596
1234.8, 0.09534226, 0.1186431
1234.85, 0.09638408, 0.1189563
1234.95, 0.09856243, 0.1267883
1235, 0.09955689, 0.1156669
1235.05, 0.100504, 0.1278848
1235.1, 0.101609, 0.123029
1235.15, 0.1025561, 0.1255352
1235.25, 0.1044503, 0.1224024
1235.3, 0.1054448, 0.1278848
1235.35, 0.1065813, 0.1346203
1235.4, 0.1074495, 0.126475
1235.45, 0.1083334, 0.1271016
1235.5, 0.1092963, 0.1294512
1235.55, 0.1104013, 0.1448018
1235.6, 0.1114115, 0.1327406
1235.7, 0.1133847, 0.1358734
1235.75, 0.1143318, 0.1401026
1235.8, 0.1152789, 0.1300777
1235.85, 0.1163049, 0.1397894
1235.9, 0.1173783, 0.1463682
1235.95, 0.1184675, 0.1446452
1236, 0.119383, 0.1352468
1236.05, 0.1203775, 0.1452717
1236.15, 0.1225085, 0.1449585
1236.2, 0.1233925, 0.1383796
1236.25, 0.1243238, 0.147308
1236.3, 0.1254287, 0.1466815
1236.35, 0.126439, 0.1469948
1236.45, 0.128349, 0.1426089
1236.5, 0.1292961, 0.1504408
1236.55, 0.1303379, 0.1479346
1236.6, 0.131285, 0.1471514
1236.65, 0.1323584, 0.1502842
1236.7, 0.133274, 0.1487178
1236.8, 0.135405, 0.1510674
1236.85, 0.1363205, 0.1476213
1236.9, 0.1372992, 0.1535736
1236.95, 0.1382778, 0.1457417
1237, 0.1393512, 0.1557666
1237.05, 0.1403773, 0.1504408
1237.1, 0.1412454, 0.1457417
1237.15, 0.1421768, 0.1520072
1237.2, 0.1433607, 0.1609357
1237.3, 0.1454443, 0.1543568
1237.35, 0.1464703, 0.1523205
1237.4, 0.1474174, 0.1493444
1237.45, 0.1484908, 0.1523205
1237.5, 0.1495169, 0.1563931
1237.55, 0.1505271, 0.1513807
1237.65, 0.1524687, 0.1529471
1237.7, 0.1534474, 0.1516939
1237.75, 0.1544576, 0.1578029
1237.8, 0.1554836, 0.1532603
1237.9, 0.1573621, 0.156863
1237.95, 0.158325, 0.1502842
1238, 0.1592405, 0.1543568
1238.05, 0.1602508, 0.1609357
1238.1, 0.1612137, 0.1510674
1238.15, 0.162287, 0.1604657
1238.2, 0.1632973, 0.1540435
1238.25, 0.1642444, 0.1562365
1238.35, 0.1662807, 0.1585861
1238.4, 0.1672751, 0.1549834
1238.45, 0.168238, 0.1526338
1238.5, 0.1692641, 0.1603091
1238.55, 0.1702743, 0.1546701
1238.6, 0.1713635, 0.1562365
1238.65, 0.1722632, 0.1535736
1238.75, 0.1743785, 0.1596825
1238.8, 0.1753414, 0.1570197
1238.85, 0.1763674, 0.1520072
1238.9, 0.1772671, 0.153417
1238.95, 0.1784352, 0.1618755
1239, 0.1794455, 0.1565498
1239.05, 0.1805505, 0.1596825
1239.15, 0.1824289, 0.1567064
1239.2, 0.1835338, 0.1606224
1239.25, 0.1845441, 0.1598392
1239.3, 0.1855228, 0.1516939
1239.35, 0.1864857, 0.160779
1239.4, 0.1875591, 0.1612489
1239.45, 0.188443, 0.1570197
1239.5, 0.1895164, 0.1620321
1239.6, 0.1914106, 0.160779
1239.65, 0.192342, 0.1576462
1239.7, 0.1932891, 0.1592126
1239.75, 0.1942046, 0.162972
1239.85, 0.196525, 0.1645384
1239.9, 0.1975668, 0.1656348
1239.95, 0.1985613, 0.1606224
1240, 0.1994926, 0.1661048
1240.05, 0.200566, 0.1612489
1240.1, 0.2014342, 0.1621888
1240.15, 0.2025076, 0.162972
