Experiment:, Cathode characterisation
Start date:, ?ter? 30. ledna 2024
Start time:, 14:12:18 +01:00
Time (s), Voltage (V), Current Density (A/cm2)
1085.55, 0.0506703, -0.6831933
1085.65, 0.0525961, -0.3578536
1085.7, 0.05359055, -0.2577611
1085.75, 0.05458502, -0.2431936
1085.8, 0.05553213, -0.2283129
1085.85, 0.05647923, -0.2027807
1085.9, 0.05755263, -0.1681634
1086, 0.05958891, -0.1238345
1086.05, 0.06059916, -0.09877224
1086.1, 0.06165677, -0.08326496
1086.15, 0.06266701, -0.08107201
1086.2, 0.06369305, -0.06243194
1086.25, 0.06470329, -0.05146719
1086.3, 0.06566619, -0.05851596
1086.4, 0.06749727, -0.05005743
1086.45, 0.06838124, -0.05366014
1086.5, 0.06951776, -0.03047753
1086.55, 0.07049644, -0.02452523
1086.6, 0.07152248, -0.006981638
1086.65, 0.07262744, -0.001342623
1086.7, 0.07368504, 0.01228499
1086.8, 0.0756424, -0.003692212
1086.85, 0.07671579, 0.008212372
1086.9, 0.0778681, 0.02497277
1086.95, 0.0787205, 0.008369011
1087, 0.07985703, 0.02606925
1087.05, 0.08078836, 0.01792401
1087.15, 0.08263522, 0.02246655
1087.2, 0.08356655, 0.0223099
1087.25, 0.0846715, 0.03390121
1087.3, 0.08577646, 0.03343129
1087.35, 0.08661307, 0.02982859
1087.4, 0.08765489, 0.0362508
1087.45, 0.08874407, 0.04423941
1087.55, 0.09066986, 0.03405785
1087.6, 0.09166431, 0.04533588
1087.65, 0.09259564, 0.0378172
1087.7, 0.0937006, 0.04831202
1087.75, 0.09467928, 0.04893858
1087.8, 0.09568953, 0.04643235
1087.85, 0.09677871, 0.05066161
1087.95, 0.09872027, 0.04658899
1088, 0.09980945, 0.05426432
1088.05, 0.1008513, 0.05254128
1088.1, 0.1017037, 0.04690227
1088.15, 0.1027613, 0.05880686
1088.2, 0.1036926, 0.0478421
1088.3, 0.1055395, 0.05285456
1088.35, 0.1065813, 0.05818029
1088.4, 0.1076547, 0.0589635
1088.45, 0.1087123, 0.05755374
1088.5, 0.1096436, 0.05645727
1088.55, 0.1107328, 0.05645727
1088.6, 0.1117114, 0.06084317
1088.7, 0.1136688, 0.05771038
1088.75, 0.1146001, 0.05504751
1088.8, 0.115642, 0.05943341
1088.85, 0.1167469, 0.06240956
1088.9, 0.1177414, 0.061783
1089.05, 0.1205985, 0.05645727
1089.1, 0.1216877, 0.06209628
1089.15, 0.1226032, 0.06052989
1089.2, 0.1235977, 0.05912013
1089.25, 0.1245605, 0.06021661
1089.3, 0.1256182, 0.06084317
1089.35, 0.126581, 0.0589635
1089.4, 0.1276229, 0.06366267
1089.5, 0.1297223, 0.05974669
1089.55, 0.1306536, 0.06397595
1089.6, 0.1316323, 0.06005996
1089.65, 0.1327373, 0.06381931
1089.7, 0.1336054, 0.05880686
1089.75, 0.1346473, 0.06381931
1089.85, 0.1366678, 0.06052989
1089.9, 0.1377885, 0.06428923
1089.95, 0.1387514, 0.061783
1090, 0.139809, 0.06193964
1090.05, 0.1408192, 0.06413259
1090.1, 0.1418295, 0.05583071
1090.15, 0.1428397, 0.06366267
1090.2, 0.1438658, 0.05974669
1090.3, 0.1457916, 0.05489087
1090.35, 0.1467703, 0.06021661
1090.4, 0.1476858, 0.06068652
1090.45, 0.1487118, 0.06052989
1090.5, 0.1498641, 0.06193964
1090.6, 0.1517899, 0.05849357
1090.65, 0.152958, 0.06507242
1090.7, 0.1539209, 0.05426432
1090.75, 0.1548365, 0.05959005
1090.8, 0.1558625, 0.05943341
