Experiment:, EIS
Start date:, ?tvrtek 15. z??? 2022
Start time:, 16:24:05 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1424.0,25118.85,0.003312683,0.002399874
1425.0,17782.79,0.003225998,-0.0009308663
1425.0,15848.92,0.003888056,-2.183243e-05
1425.0,14125.37,0.002807795,-0.0004539411
1425.0,12589.25,0.004153399,-0.000704942
1426.0,11220.18,0.004091412,-0.0008464513
1426.0,9999.993,0.004396398,-0.0006776722
1426.0,8912.503,0.004579953,-0.0002637493
1426.0,7943.276,0.00434911,-0.0006293712
1427.0,7079.452,0.004267448,-0.0006492927
1427.0,6309.568,0.004468288,-0.0006520703
1427.0,5623.409,0.004300009,-0.0007869287
1427.0,5011.868,0.004470103,-0.0006201909
1428.0,4466.832,0.004451675,-0.0007642402
1428.0,3981.068,0.004410148,-0.0008599065
1428.0,3548.131,0.004405633,-0.0008884736
1428.0,3162.275,0.004548403,-0.0009169637
1429.0,2818.38,0.004501918,-0.0009772377
1429.0,2511.884,0.004560725,-0.001053973
1429.0,2238.719,0.004612505,-0.00114622
1429.0,1995.26,0.004761241,-0.001208929
1430.0,1778.277,0.00469386,-0.001347445
1430.0,1584.891,0.00472467,-0.001444526
1430.0,1412.536,0.004765943,-0.001621744
1430.0,1258.924,0.004869181,-0.001719399
1431.0,1122.017,0.004913643,-0.00186965
1431.0,999.9988,0.005107429,-0.002169371
1431.0,891.2498,0.005110883,-0.002287279
1431.0,794.3272,0.005191698,-0.002543583
1431.0,707.9448,0.005327426,-0.002773851
1431.0,630.9565,0.005485208,-0.003019704
1432.0,562.3405,0.005699186,-0.003280304
1432.0,501.1865,0.005966432,-0.003510972
1432.0,446.6829,0.006121286,-0.003904891
1432.0,398.1066,0.006495257,-0.004282832
1432.0,354.8128,0.00674296,-0.004530168
1432.0,316.2273,0.007096722,-0.004865604
1432.0,281.8378,0.007522773,-0.00519351
1433.0,251.1882,0.008038143,-0.005499499
1433.0,223.8717,0.008569708,-0.005814612
1433.0,199.5259,0.009119481,-0.006233823
1433.0,177.8276,0.009772837,-0.006299043
1433.0,158.489,0.0104583,-0.00637632
1433.0,141.2535,0.01113381,-0.006534214
1433.0,125.8923,0.01193212,-0.0065548
1434.0,112.2016,0.01258034,-0.006463886
1434.0,99.9998,0.01320774,-0.006418746
1434.0,89.12492,0.01389967,-0.006283606
1434.0,79.43266,0.01452446,-0.005959766
1434.0,70.79443,0.01515058,-0.005770975
1434.0,63.0956,0.01551774,-0.005298038
1435.0,56.23401,0.01595526,-0.00494811
1435.0,50.11861,0.01646211,-0.004956266
1435.0,44.66826,0.01678034,-0.004314509
1435.0,39.81063,0.01723058,-0.004256756
1435.0,35.48126,0.01737132,-0.003871672
1435.0,31.6227,0.01765545,-0.003631676
1435.0,28.18376,0.01764836,-0.003108133
1436.0,25.11881,0.0181977,-0.003181512
1436.0,22.38716,0.01784108,-0.003034508
1436.0,19.95257,0.0181624,-0.002439493
1436.0,17.78275,0.01852009,-0.002386131
1436.0,15.84889,0.01862458,-0.002224109
1436.0,14.12534,0.01860409,-0.002055828
1437.0,12.58922,0.01883926,-0.001873638
1437.0,11.22016,0.01869875,-0.001612327
1437.0,9.999973,0.01861829,-0.001658215
1437.0,8.912485,0.01869821,-0.001566755
1437.0,7.943261,0.01882276,-0.0008263629
1438.0,7.079438,0.01908703,-0.001286503
1438.0,6.309556,0.01890887,-0.001048545
1438.0,5.623397,0.01895959,-0.001168661
1438.0,5.011858,0.01910836,-0.001223069
1439.0,4.466823,0.0191054,-0.001088278
1439.0,3.98106,0.0191715,-0.001016403
1439.0,3.548123,0.01908084,-0.00111652
1440.0,3.162268,0.01930803,-0.001168479
1440.0,2.818374,0.01948855,-0.001128111
1441.0,2.511878,0.01939839,-0.001095783
1441.0,2.238714,0.01968614,-0.001013758
1442.0,1.995256,0.01940545,-0.001092282
1442.0,1.778274,0.0198543,-0.001075423
1443.0,1.584888,0.01964918,-0.0007361987
1444.0,1.412533,0.01952891,-0.0008667454
1444.0,1.258921,0.01955593,-0.001336018
1445.0,1.122015,0.02012528,-0.001573788
1446.0,0.999997,0.01986605,-0.001290425
1448.0,0.891248,0.02038827,-0.001206852
1449.0,0.794325,0.02024762,-0.001283108
1450.0,0.707943,0.01991161,-0.0004919164
1452.0,0.630955,0.02031834,-0.001738245
1454.0,0.562339,0.02106805,-0.001065587
1456.0,0.501185,0.02106537,-0.001173022
1458.0,0.446682,0.01987832,-0.0009114682
1461.0,0.398106,0.02117726,-0.000488642
1464.0,0.354812,0.02127479,-0.0009832254
1467.0,0.316227,0.02065578,0.000153488
1470.0,0.281837,0.02174318,0.0003152413
1474.0,0.251188,0.02174381,-0.0005759483
1479.0,0.223871,0.02069892,-0.001196691
1484.0,0.199525,0.02107299,-0.0002653695
1490.0,0.177827,0.02110482,-0.0003806414
1503.0,0.141253,0.02220748,-9.470054e-05
1511.0,0.125892,0.02231135,-0.000551327
1520.0,0.112201,0.02238505,-0.0007736789
1530.0,0.1,0.02165588,0.0001693044
