Experiment:, EIS
Start date:, ?tvrtek 1. z??? 2022
Start time:, 11:36:52 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
272.0,44668.35,0.005032456,0.0003902525
273.0,35481.33,0.002880997,-0.0006169854
273.0,31622.77,0.004006385,-0.0007770822
273.0,28183.82,0.003663757,-0.000765667
274.0,25118.85,0.003764736,-0.0009474145
274.0,22387.2,0.003797317,-0.0002617159
274.0,19952.61,0.004265028,-0.0004581559
274.0,17782.79,0.004304516,-0.0004010645
275.0,15848.92,0.004187898,-0.0005548744
275.0,14125.37,0.004267761,-0.0005830351
275.0,12589.25,0.004366412,-0.000606892
275.0,11220.18,0.004411561,-0.0005750706
276.0,9999.993,0.004451364,-0.00053961
276.0,8912.503,0.004489581,-0.0005872842
276.0,7943.276,0.004511039,-0.0005859077
276.0,7079.452,0.004568371,-0.0006171724
277.0,6309.568,0.004592788,-0.0006241951
277.0,5623.409,0.004631895,-0.0006345536
277.0,5011.868,0.004672321,-0.0006565612
277.0,4466.832,0.004702458,-0.0006889594
278.0,3981.068,0.004750438,-0.0007159353
278.0,3548.131,0.004776452,-0.0007532249
278.0,3162.275,0.004807661,-0.0007890536
278.0,2818.38,0.004838789,-0.0008402694
279.0,2511.884,0.004869546,-0.0008897941
279.0,2238.719,0.004904462,-0.0009512559
279.0,1995.26,0.004943169,-0.001015381
279.0,1778.277,0.0049744,-0.001095193
280.0,1584.891,0.005018361,-0.001179279
280.0,1412.536,0.005062227,-0.001278637
280.0,1258.924,0.005110071,-0.001385378
280.0,1122.017,0.005160889,-0.001503649
281.0,999.9988,0.00523159,-0.001648449
281.0,891.2498,0.005286613,-0.001782118
281.0,794.3272,0.005360082,-0.001938611
281.0,707.9448,0.005447326,-0.002127472
281.0,630.9565,0.005558867,-0.00231677
281.0,562.3405,0.005670365,-0.002525156
282.0,501.1865,0.00582715,-0.002733522
282.0,446.6829,0.005960999,-0.002992069
282.0,398.1066,0.006134424,-0.003274443
282.0,354.8128,0.0063361,-0.003523872
282.0,316.2273,0.006573293,-0.003819426
282.0,281.8378,0.006827994,-0.004117509
282.0,251.1882,0.007135654,-0.004443744
283.0,223.8717,0.007472264,-0.004764771
283.0,199.5259,0.007879997,-0.005078395
283.0,177.8276,0.008289259,-0.005420256
283.0,158.489,0.008779131,-0.005730882
283.0,141.2535,0.009308071,-0.00602701
283.0,125.8923,0.009886913,-0.006295354
283.0,112.2016,0.01051898,-0.006533393
284.0,99.9998,0.01121166,-0.006749196
284.0,89.12492,0.01190407,-0.006840222
284.0,79.43266,0.01261302,-0.006916316
284.0,70.79443,0.01332542,-0.006917066
284.0,63.0956,0.0140753,-0.006853744
284.0,56.23401,0.01481361,-0.006741195
285.0,50.11861,0.01545996,-0.006550437
285.0,44.66826,0.01613679,-0.006356305
285.0,39.81063,0.01675257,-0.006076854
285.0,35.48126,0.01731059,-0.005735696
285.0,31.6227,0.01780308,-0.005422086
285.0,28.18376,0.01830147,-0.005073147
286.0,25.11881,0.01865097,-0.004712577
286.0,22.38716,0.01902567,-0.004324805
286.0,19.95257,0.01930149,-0.003948157
286.0,17.78275,0.01955256,-0.003617389
286.0,15.84889,0.01977262,-0.003237882
286.0,14.12534,0.01993831,-0.002912658
287.0,12.58922,0.02009015,-0.002638774
287.0,11.22016,0.02020409,-0.00239197
287.0,9.999973,0.02031388,-0.0020982
287.0,8.912485,0.02039208,-0.00191256
287.0,7.943261,0.02043587,-0.00162344
288.0,7.079438,0.02051926,-0.001445391
288.0,6.309556,0.02048324,-0.001312044
288.0,5.623397,0.02052225,-0.001078348
288.0,5.011858,0.02053126,-0.0009488349
288.0,4.466823,0.02055676,-0.0007951897
289.0,3.98106,0.02054456,-0.0006973459
289.0,3.548123,0.020542,-0.0005686424
290.0,3.162268,0.0205227,-0.0004575014
290.0,2.818374,0.02053246,-0.0003797052
290.0,2.511878,0.02052726,-0.0003217866
291.0,2.238714,0.02049221,-0.0002666696
291.0,1.995256,0.02046678,-0.000215459
292.0,1.778274,0.02045274,-0.0001496042
293.0,1.584888,0.02041728,-9.177437e-05
294.0,1.412533,0.02039731,-4.051971e-05
294.0,1.258921,0.02042384,1.12563e-05
295.0,1.122015,0.02044075,-6.893804e-06
296.0,0.999997,0.02041792,2.570202e-05
297.0,0.891248,0.02041631,7.451827e-05
299.0,0.794325,0.02042066,8.982889e-05
300.0,0.707943,0.02043592,0.0001270415
302.0,0.630955,0.02043048,0.0001295429
304.0,0.562339,0.02043197,0.0001579936
306.0,0.501185,0.02046713,0.0001392473
308.0,0.446682,0.02044816,0.0001644897
311.0,0.398106,0.02047977,0.000162872
313.0,0.354812,0.02042365,0.0001952131
317.0,0.316227,0.02050459,0.000240047
320.0,0.281837,0.0204829,0.0001720381
324.0,0.251188,0.02049517,0.0001764744
329.0,0.223871,0.02049247,0.000228262
334.0,0.199525,0.0205206,0.0001925806
340.0,0.177827,0.02052865,0.0002456579
346.0,0.158489,0.02053151,0.0002240539
353.0,0.141253,0.02056143,0.0002541868
361.0,0.125892,0.02055285,0.0002968977
370.0,0.112201,0.02057868,0.0002898761
380.0,0.1,0.02063223,0.0002675715
