Experiment:, EIS
Start date:, ?tvrtek 13. ??jna 2022
Start time:, 14:57:13 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1425.0,11220.18,0.004095229,-0.00127518
1426.0,9999.993,0.003740576,-0.001072653
1426.0,8912.503,0.003519819,-0.0008185505
1426.0,7943.276,0.003452273,-0.0008394049
1426.0,7079.452,0.003829572,-0.0007869985
1427.0,6309.568,0.003742015,-0.0009379761
1427.0,5623.409,0.003751507,-0.000928689
1427.0,5011.868,0.00381268,-0.0009412039
1427.0,4466.832,0.003991053,-0.0009407451
1428.0,3981.068,0.004019718,-0.001000493
1428.0,3548.131,0.004092115,-0.0009354508
1428.0,3162.275,0.004219075,-0.001004017
1428.0,2818.38,0.004269608,-0.001124036
1429.0,2511.884,0.004344788,-0.001099585
1429.0,2238.719,0.004382798,-0.001092945
1429.0,1995.26,0.004401884,-0.001203807
1429.0,1778.277,0.004594298,-0.001124368
1430.0,1584.891,0.004679903,-0.001233651
1430.0,1412.536,0.004901138,-0.001248705
1430.0,1258.924,0.004842615,-0.001239581
1430.0,1122.017,0.004951117,-0.001243461
1431.0,999.9988,0.004979013,-0.001124957
1431.0,891.2498,0.005091921,-0.001271125
1431.0,794.3272,0.005266375,-0.001312032
1431.0,707.9448,0.005264397,-0.001393676
1431.0,630.9565,0.005344403,-0.001427726
1431.0,562.3405,0.005492299,-0.001464366
1432.0,501.1865,0.005482533,-0.001611047
1432.0,446.6829,0.005661657,-0.001577843
1432.0,398.1066,0.005893894,-0.001604414
1432.0,354.8128,0.005849689,-0.001659344
1432.0,316.2273,0.005975694,-0.001737404
1432.0,281.8378,0.006082443,-0.001809713
1433.0,251.1882,0.00620541,-0.001895435
1433.0,223.8717,0.006334005,-0.001942184
1433.0,199.5259,0.006606205,-0.002012504
1433.0,177.8276,0.006636779,-0.002129135
1433.0,158.489,0.006800201,-0.002219688
1433.0,141.2535,0.006994703,-0.002327359
1433.0,125.8923,0.007157756,-0.00238696
1434.0,112.2016,0.007383952,-0.002458061
1434.0,99.9998,0.007527155,-0.002488103
1434.0,89.12492,0.007832273,-0.002607952
1434.0,79.43266,0.008112943,-0.002626083
1434.0,70.79443,0.008372328,-0.002657513
1434.0,63.0956,0.008646372,-0.002714356
1435.0,56.23401,0.008907727,-0.002691595
1435.0,50.11861,0.009155568,-0.002662348
1435.0,44.66826,0.009405744,-0.002599605
1435.0,39.81063,0.009694117,-0.002525087
1435.0,35.48126,0.009899971,-0.002431887
1435.0,31.6227,0.01012563,-0.002348016
1436.0,28.18376,0.01032454,-0.002216054
1436.0,25.11881,0.01050474,-0.002037419
1436.0,22.38716,0.01076391,-0.001980644
1436.0,19.95257,0.01082711,-0.001920755
1436.0,17.78275,0.0109727,-0.001784769
1436.0,15.84889,0.01102053,-0.001603031
1436.0,14.12534,0.01119321,-0.001435433
1437.0,12.58922,0.01128955,-0.001351263
1437.0,11.22016,0.01132699,-0.001240523
1437.0,9.999973,0.01144634,-0.001105716
1437.0,8.912485,0.01135299,-0.001030557
1437.0,7.943261,0.01153898,-0.001055605
1438.0,7.079438,0.01146321,-0.000946203
1438.0,6.309556,0.01149799,-0.0007361912
1438.0,5.623397,0.01156681,-0.0009431574
1438.0,5.011858,0.01148547,-0.0009636826
1439.0,4.466823,0.01162792,-0.0007269448
1439.0,3.98106,0.01183285,-0.0006493694
1439.0,3.548123,0.011875,-0.0006867403
1440.0,3.162268,0.0118107,-0.0006386684
1440.0,2.818374,0.01179009,-0.0009257896
1440.0,2.511878,0.01182015,-0.0007086293
1441.0,2.238714,0.01196152,-0.0007014186
1442.0,1.995256,0.01201674,-0.0005755873
1442.0,1.778274,0.01190984,-0.0007497233
1443.0,1.584888,0.0119186,-0.0003503044
1444.0,1.412533,0.01192782,-0.0005948835
1444.0,1.258921,0.01216682,-0.0007418197
1445.0,1.122015,0.01240623,-0.0005465485
1448.0,0.891248,0.01312828,-0.000738723
1449.0,0.794325,0.01240325,-0.0008147047
1450.0,0.707943,0.0128145,-0.0007750403
1452.0,0.630955,0.01293002,-0.0008592441
1454.0,0.562339,0.01256792,-0.0008104788
1456.0,0.501185,0.01326778,-0.0003560823
1458.0,0.446682,0.01282294,0.0003397677
1464.0,0.354812,0.01315272,-0.0004746614
1467.0,0.316227,0.01257328,-0.0007811384
1470.0,0.281837,0.01287268,-0.0003671545
1474.0,0.251188,0.01297503,-0.0006196024
1479.0,0.223871,0.01306287,-0.0008408343
1503.0,0.141253,0.01236323,-0.0007681019
1511.0,0.125892,0.01241984,-0.0008307821
1520.0,0.112201,0.01257825,-0.0008294077
1530.0,0.1,0.01281409,-0.001254508
