Experiment:, EIS
Start date:, st?eda 19. ??jna 2022
Start time:, 14:52:13 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1194.0,17782.79,0.003484178,0.0008721928
1195.0,15848.92,0.003058257,-4.526561e-05
1195.0,14125.37,0.002916225,-0.0004823062
1195.0,12589.25,0.003544652,-0.0004948268
1195.0,11220.18,0.002458377,-0.0001359615
1196.0,9999.993,0.00289422,-0.000688918
1196.0,8912.503,0.002587227,-0.0003784391
1196.0,7943.276,0.003069069,-0.0008982418
1197.0,7079.452,0.002766484,-0.0007746277
1197.0,6309.568,0.003023122,-0.0006209043
1197.0,5623.409,0.003087087,-0.0006586618
1197.0,5011.868,0.003190414,-0.0007581945
1198.0,4466.832,0.003152012,-0.0007139104
1198.0,3981.068,0.003348524,-0.0009206377
1198.0,3548.131,0.003267035,-0.0009507515
1198.0,3162.275,0.003297899,-0.0009899136
1198.0,2818.38,0.003404041,-0.001068816
1199.0,2511.884,0.003444042,-0.001188101
1199.0,2238.719,0.003466551,-0.001165441
1199.0,1995.26,0.003719126,-0.001320166
1199.0,1778.277,0.003631786,-0.001336259
1200.0,1584.891,0.003734386,-0.001532089
1200.0,1412.536,0.003739887,-0.001577055
1200.0,1258.924,0.003843544,-0.001738323
1200.0,1122.017,0.003946386,-0.001854306
1201.0,999.9988,0.003888063,-0.001959022
1201.0,891.2498,0.004132831,-0.002142273
1201.0,794.3272,0.00421893,-0.002352225
1201.0,707.9448,0.00438557,-0.002488618
1201.0,630.9565,0.004553291,-0.002633448
1201.0,562.3405,0.004634263,-0.002855419
1202.0,501.1865,0.004806959,-0.002924811
1202.0,446.6829,0.004978753,-0.003264358
1202.0,398.1066,0.005243225,-0.003599766
1202.0,354.8128,0.005365239,-0.003745302
1202.0,316.2273,0.005622591,-0.004027782
1202.0,281.8378,0.005881905,-0.004303854
1203.0,251.1882,0.006153336,-0.004609256
1203.0,223.8717,0.006471443,-0.004941461
1203.0,199.5259,0.006862964,-0.005223121
1203.0,177.8276,0.007198196,-0.005583977
1203.0,158.489,0.007666122,-0.005954403
1203.0,141.2535,0.008095075,-0.006272039
1203.0,125.8923,0.008583915,-0.006623887
1204.0,112.2016,0.009142162,-0.006985735
1204.0,99.9998,0.009736382,-0.007462597
1204.0,89.12492,0.01040733,-0.007587296
1204.0,79.43266,0.01111962,-0.007877611
1204.0,70.79443,0.01181685,-0.008108588
1204.0,63.0956,0.01263275,-0.008368391
1205.0,56.23401,0.01342988,-0.008480248
1205.0,50.11861,0.01428012,-0.008541401
1205.0,44.66826,0.01506675,-0.008577524
1205.0,39.81063,0.01590472,-0.00852119
1205.0,35.48126,0.01674723,-0.008449707
1205.0,31.6227,0.01757017,-0.008446543
1206.0,28.18376,0.01832512,-0.008118059
1206.0,25.11881,0.01900177,-0.00796314
1206.0,22.38716,0.01975525,-0.007690473
1206.0,19.95257,0.0204273,-0.007396975
1206.0,17.78275,0.02111159,-0.007004206
1206.0,15.84889,0.02163651,-0.006772273
1206.0,14.12534,0.0222258,-0.006370631
1207.0,12.58922,0.02266684,-0.005977605
1207.0,11.22016,0.02316085,-0.005564415
1207.0,9.999973,0.02352236,-0.005349648
1207.0,8.912485,0.02392343,-0.004813013
1207.0,7.943261,0.02422391,-0.004400213
1208.0,7.079438,0.02430302,-0.004308476
1208.0,6.309556,0.0249315,-0.003922508
1208.0,5.623397,0.02495833,-0.003326735
1208.0,5.011858,0.02518713,-0.003261643
1209.0,4.466823,0.02544971,-0.002850179
1209.0,3.98106,0.0254507,-0.002832952
1209.0,3.548123,0.02573553,-0.002517888
1210.0,3.162268,0.02563727,-0.002327076
1210.0,2.818374,0.02559734,-0.002106563
1210.0,2.511878,0.02586762,-0.001974901
1211.0,2.238714,0.02592108,-0.001854756
1212.0,1.995256,0.02594464,-0.001690195
1212.0,1.778274,0.02600496,-0.001448014
1213.0,1.584888,0.02611217,-0.001740432
1214.0,1.412533,0.02617726,-0.00150567
1214.0,1.258921,0.0264865,-0.001558443
1215.0,1.122015,0.02613701,-0.001681378
1216.0,0.999997,0.02627981,-0.001447576
1218.0,0.891248,0.0267664,-0.001292013
1219.0,0.794325,0.02674729,-0.001474733
1220.0,0.707943,0.02713026,-0.001337972
1222.0,0.630955,0.02731985,-0.001702393
1224.0,0.562339,0.02730715,-0.0007665229
1226.0,0.501185,0.02790311,-0.001634949
1228.0,0.446682,0.02734207,-0.0008266036
1231.0,0.398106,0.02728178,-0.0005620534
1234.0,0.354812,0.02768422,-0.0003226275
1237.0,0.316227,0.02796711,3.91875e-05
1240.0,0.281837,0.02782912,0.000225938
1244.0,0.251188,0.02768419,0.0001997731
1249.0,0.223871,0.02819316,0.0003602831
1254.0,0.199525,0.02757137,0.0002666481
1260.0,0.177827,0.02775605,0.0004064357
1266.0,0.158489,0.02801892,0.0006648692
1273.0,0.141253,0.02792253,0.001145774
1281.0,0.125892,0.02736253,0.001048885
1290.0,0.112201,0.02781087,0.001257271
1300.0,0.1,0.02796708,0.001777242
