Experiment:, EIS
Start date:, st?eda 30. listopadu 2022
Start time:, 17:25:17 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
46.0,39810.71,0.05409106,0.09087048
47.0,31622.77,0.4144554,0.006844655
47.0,25118.86,0.3897476,0.4061472
48.0,12589.25,0.2982632,-0.01175795
48.0,9999.997,0.4405008,0.1315719
48.0,7943.28,0.2430157,-0.01662771
49.0,6309.571,0.3829401,-0.1835413
49.0,5011.871,0.1200482,-0.1974162
50.0,3981.07,0.2926406,-0.01944571
50.0,3162.276,0.356708,-0.01897828
50.0,2511.885,0.3722059,-0.03081801
51.0,1995.261,0.3974244,-0.03944144
51.0,1584.892,0.3506855,-0.03108045
51.0,1258.925,0.4079666,-0.05257015
51.0,999.9994,0.4105791,-0.06510933
52.0,794.3277,0.3294518,-0.04874816
52.0,630.9569,0.4309303,-0.08609152
52.0,501.1869,0.4431924,-0.1012912
52.0,398.1069,0.3474424,-0.07130246
53.0,316.2275,0.4586523,-0.1475984
53.0,251.1884,0.4717052,-0.1727224
53.0,199.5261,0.4872112,-0.2045186
53.0,158.4892,0.3845329,-0.1284015
54.0,125.8924,0.5076377,-0.3034199
54.0,99.99991,0.5367219,-0.3143022
54.0,79.43275,0.4345185,-0.2001131
55.0,63.09567,0.5615203,-0.4717423
55.0,50.11867,0.4785194,-0.2541943
55.0,39.81068,0.499857,-0.2682329
55.0,31.62274,0.5126854,-0.3042111
55.0,25.11884,0.5870441,-0.390294
56.0,19.9526,0.6738878,-0.3928104
56.0,15.84891,0.7700257,-0.4356525
56.0,12.58924,0.7801495,-0.5207247
56.0,9.999988,0.7888063,-0.5581196
56.0,7.943272,0.9623889,-0.5875004
57.0,6.309565,1.10105,-0.5723786
58.0,3.162273,1.421779,-0.4598838
60.0,1.995259,-1.558348,-0.4538574
61.0,1.584891,-1.314644,-0.3059026
62.0,1.258924,-1.153988,-0.2822467
63.0,1.0,-1.139113,-0.3163543
