Experiment:, EIS
Start date:, p?tek 4. listopadu 2022
Start time:, 12:05:26 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
273.0,28183.82,0.001868899,-0.0001527212
274.0,25118.85,0.002375311,-0.0002920117
274.0,22387.2,0.002990153,-0.0003539249
274.0,19952.61,0.00281559,-0.00021745
274.0,17782.79,0.002793648,-0.0003460853
275.0,15848.92,0.002594549,-0.000423973
275.0,14125.37,0.002805801,-0.0004134048
275.0,12589.25,0.002803152,-0.0004281338
275.0,11220.18,0.002883439,-0.0004185984
276.0,9999.993,0.002908146,-0.0005276155
276.0,8912.503,0.002999898,-0.0004745517
276.0,7943.276,0.002998935,-0.0005263728
276.0,7079.452,0.003050436,-0.0005664306
277.0,6309.568,0.003054965,-0.0006049451
277.0,5623.409,0.003109582,-0.0006461185
277.0,5011.868,0.003132039,-0.0006797771
277.0,4466.832,0.003170403,-0.0007364352
278.0,3981.068,0.003211364,-0.0007913389
278.0,3548.131,0.003245154,-0.0008504695
278.0,3162.275,0.003283732,-0.0009147651
278.0,2818.38,0.003322546,-0.0009858374
279.0,2511.884,0.003362425,-0.001067549
279.0,2238.719,0.003409648,-0.001153867
279.0,1995.26,0.003466356,-0.001249553
279.0,1778.277,0.003515059,-0.001359544
280.0,1584.891,0.003579022,-0.001475529
280.0,1412.536,0.003652759,-0.001605974
280.0,1258.924,0.003735908,-0.00174004
280.0,1122.017,0.003829319,-0.001885869
281.0,999.9988,0.003923504,-0.002059639
281.0,891.2498,0.004059786,-0.002221171
281.0,794.3272,0.00419123,-0.002390515
281.0,707.9448,0.00435569,-0.002584479
281.0,630.9565,0.004543736,-0.002800167
281.0,562.3405,0.004747689,-0.003003702
282.0,501.1865,0.004974796,-0.003172519
282.0,446.6829,0.005252635,-0.003421622
282.0,398.1066,0.005529167,-0.003660317
282.0,354.8128,0.005877549,-0.003832129
282.0,316.2273,0.006229922,-0.004017965
282.0,281.8378,0.006628043,-0.004182534
283.0,251.1882,0.007042829,-0.004316805
283.0,223.8717,0.007485399,-0.004430478
283.0,199.5259,0.007957397,-0.004505375
283.0,177.8276,0.008421127,-0.004540364
283.0,158.489,0.008902987,-0.004530773
283.0,141.2535,0.009378495,-0.004475605
283.0,125.8923,0.009837014,-0.00438196
284.0,112.2016,0.01028986,-0.00426874
284.0,99.9998,0.01076376,-0.004163232
284.0,89.12492,0.01111395,-0.003885253
284.0,79.43266,0.01144903,-0.003671969
284.0,70.79443,0.01177202,-0.003434451
284.0,63.0956,0.0120488,-0.003171643
285.0,56.23401,0.01230191,-0.002945506
285.0,50.11861,0.01249804,-0.002701511
285.0,44.66826,0.01269205,-0.002448863
285.0,39.81063,0.01282436,-0.002251606
285.0,35.48126,0.01292408,-0.001981709
285.0,31.6227,0.01303805,-0.001803233
285.0,28.18376,0.01312138,-0.001607785
286.0,25.11881,0.01316867,-0.001445607
286.0,22.38716,0.01324199,-0.001288746
286.0,19.95257,0.01326145,-0.001140138
286.0,17.78275,0.01327032,-0.001021664
286.0,15.84889,0.01334253,-0.0008883363
286.0,14.12534,0.01332175,-0.0007762682
287.0,12.58922,0.0133595,-0.0006921669
287.0,11.22016,0.01334261,-0.000619529
287.0,9.999973,0.01332946,-0.0005248205
287.0,8.912485,0.01338241,-0.0004477898
287.0,7.943261,0.0133442,-0.0003854166
288.0,7.079438,0.01336384,-0.0003118463
288.0,6.309556,0.01333385,-0.0003118982
288.0,5.623397,0.01334759,-0.0002691853
288.0,5.011858,0.01331312,-0.0002198768
289.0,4.466823,0.01335692,-0.000173701
289.0,3.98106,0.01332622,-0.0001626177
289.0,3.548123,0.01331105,-0.0001419716
290.0,3.162268,0.01331543,-0.0001172059
290.0,2.818374,0.01331265,-6.454173e-05
290.0,2.511878,0.01330928,-8.111576e-05
291.0,2.238714,0.01331945,-0.0001081144
292.0,1.995256,0.01329963,-5.863854e-05
292.0,1.778274,0.01330187,-3.99229e-05
293.0,1.584888,0.01329121,-6.808589e-05
294.0,1.412533,0.01327216,-6.320055e-05
294.0,1.258921,0.01330079,-1.449685e-05
295.0,1.122015,0.01328322,3.03456e-05
296.0,0.999997,0.01330806,1.23507e-05
298.0,0.891248,0.01333295,4.396666e-05
299.0,0.794325,0.01329677,3.119184e-05
300.0,0.707943,0.01328875,2.524894e-05
302.0,0.630955,0.01329255,8.693547e-05
304.0,0.562339,0.01296063,0.0002958568
306.0,0.501185,0.0137779,0.0005541266
308.0,0.446682,0.01335571,7.363289e-05
311.0,0.398106,0.01331139,0.0001062219
314.0,0.354812,0.01329674,0.0001959472
317.0,0.316227,0.01317855,9.158513e-05
320.0,0.281837,0.01318169,8.860899e-05
324.0,0.251188,0.01323185,7.07936e-05
329.0,0.223871,0.01323558,9.791929e-05
334.0,0.199525,0.01326515,7.424226e-05
340.0,0.177827,0.01321956,0.0001360735
346.0,0.158489,0.01322659,0.0001242151
353.0,0.141253,0.01322616,0.0001121688
361.0,0.125892,0.01328023,0.0001126858
370.0,0.112201,0.0132518,8.383123e-05
380.0,0.1,0.01338173,0.0001310248
