Experiment:, EIS
Start date:, ?tvrtek 8. prosince 2022
Start time:, 17:59:08 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1377.0,9999.993,0.005496453,-0.001006664
1377.0,8912.503,0.005009009,-0.0004129788
1377.0,7943.276,0.004501178,-0.0007212093
1378.0,7079.452,0.004783896,-0.0007862984
1378.0,6309.568,0.005051603,-0.0008235484
1378.0,5623.409,0.004828896,-0.0008714954
1378.0,5011.868,0.004970572,-0.001030214
1379.0,4466.832,0.005128683,-0.0009868703
1379.0,3981.068,0.005163643,-0.00118511
1379.0,3548.131,0.005367135,-0.001173297
1379.0,3162.275,0.005350213,-0.001210876
1380.0,2818.38,0.005411557,-0.001262745
1380.0,2511.884,0.005543413,-0.001286915
1380.0,2238.719,0.005651752,-0.001338296
1380.0,1995.26,0.005593591,-0.001365907
1381.0,1778.277,0.005853545,-0.001431288
1381.0,1584.891,0.005999668,-0.001502621
1381.0,1412.536,0.006157418,-0.001569125
1381.0,1258.924,0.006298503,-0.001512239
1382.0,1122.017,0.006501074,-0.001529375
1382.0,999.9988,0.006650016,-0.001667702
1382.0,891.2498,0.0068056,-0.001502667
1382.0,794.3272,0.007031638,-0.001442519
1382.0,707.9448,0.007136587,-0.001388176
1382.0,630.9565,0.007240465,-0.001353733
1382.0,562.3405,0.007387197,-0.001265154
1382.0,501.1865,0.007553887,-0.001341004
1383.0,446.6829,0.007590474,-0.001133485
1383.0,398.1066,0.007617041,-0.0009642581
1383.0,354.8128,0.007758009,-0.0009718398
1383.0,316.2273,0.007809083,-0.0008785715
1383.0,281.8378,0.007851023,-0.0008186137
1383.0,251.1882,0.00793496,-0.0007516363
1384.0,223.8717,0.007949898,-0.0006647385
1384.0,199.5259,0.007960967,-0.000608049
1384.0,177.8276,0.008053518,-0.0005460682
1384.0,158.489,0.008123054,-0.0004579956
1384.0,141.2535,0.008081206,-0.0004351597
1384.0,125.8923,0.008058272,-0.0003814276
1385.0,112.2016,0.008101716,-0.0003529228
1385.0,99.9998,0.008137966,-0.0001719522
1385.0,89.12492,0.008101767,-0.0002531512
1385.0,79.43266,0.008098486,-0.0002533272
1385.0,70.79443,0.008142202,-0.0001902052
1385.0,63.0956,0.0081089,-0.0002106996
1385.0,56.23401,0.008147981,-0.0001851139
1386.0,50.11861,0.008135851,-0.0001232565
1386.0,44.66826,0.008080132,-0.0001414207
1386.0,39.81063,0.008055296,-6.750976e-05
1386.0,35.48126,0.008012366,-8.529071e-05
1386.0,31.6227,0.008103114,-3.393238e-05
1386.0,28.18376,0.00817574,-9.952635e-05
1387.0,25.11881,0.008162791,-0.0002557176
1387.0,22.38716,0.00815259,6.405309e-05
1387.0,19.95257,0.008052706,-5.287046e-05
1387.0,17.78275,0.008079273,-9.901189e-05
1387.0,15.84889,0.008135509,-1.275791e-05
1387.0,14.12534,0.008065261,5.764165e-06
1388.0,12.58922,0.008110581,-6.003564e-05
1388.0,11.22016,0.008089541,-2.974764e-05
1388.0,9.999973,0.008105533,-3.451027e-05
1388.0,8.912485,0.00808634,-6.024156e-05
1388.0,7.943261,0.008092113,-2.629116e-05
1389.0,7.079438,0.008131063,-4.214777e-06
1389.0,6.309556,0.008088366,-3.801322e-05
1389.0,5.623397,0.008046021,-6.252964e-05
1389.0,5.011858,0.008040094,-6.260279e-05
1390.0,4.466823,0.00804102,-0.0001431017
1390.0,3.98106,0.007629515,-0.0001066033
1390.0,3.548123,0.008024896,-0.0002297691
1391.0,3.162268,0.007695967,-0.0004206725
1391.0,2.818374,0.008121464,-0.0001039985
1391.0,2.511878,0.008152399,-0.0003402084
1392.0,2.238714,0.00814068,0.000181004
1393.0,1.995256,0.00825648,-0.000256677
1393.0,1.778274,0.008110229,-0.0001484728
1394.0,1.584888,0.008107591,-0.0002585992
1395.0,1.412533,0.008098193,-0.0002523043
1395.0,1.258921,0.008203571,-0.0002376533
1396.0,1.122015,0.008284523,-0.0002995957
1397.0,0.999997,0.008172001,-0.0002376188
1399.0,0.891248,0.008520422,-0.0003334809
1400.0,0.794325,0.008180715,-0.0001960208
1401.0,0.707943,0.008316649,-0.0003001244
1403.0,0.630955,0.008370378,-0.0004268827
1405.0,0.562339,0.008183715,-0.0001633906
1407.0,0.501185,0.008336701,-0.0001700128
1409.0,0.446682,0.008575286,-0.0003602526
1412.0,0.398106,0.008379768,-0.000178588
1415.0,0.354812,0.008460924,-0.0003794623
1418.0,0.316227,0.008442542,-0.0005179003
1421.0,0.281837,0.008912525,9.954152e-05
1425.0,0.251188,0.008490788,-0.0004196444
1430.0,0.223871,0.008632985,-0.0003406933
1435.0,0.199525,0.008560788,-0.000213995
1441.0,0.177827,0.008557618,-0.0002775494
1447.0,0.158489,0.008435151,-0.0003314427
1454.0,0.141253,0.008590733,-0.0003038255
1481.0,0.1,0.008960916,5.617039e-05
