Experiment:, EIS
Start date:, p?tek 27. ledna 2023
Start time:, 12:41:49 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
46.0,79432.82,-0.01091154,0.01665397
47.0,63095.73,0.001917473,0.003354504
47.0,50118.72,0.006982628,0.001710391
47.0,39810.71,0.002495017,-0.0004476854
47.0,31622.77,0.003922027,-0.0006022717
48.0,25118.86,0.003770764,-0.001108112
48.0,19952.62,0.003876415,-0.001065072
48.0,15848.93,0.004092027,-0.001495175
48.0,12589.25,0.004442991,-0.00169823
49.0,9999.997,0.004748175,-0.001927221
49.0,7943.28,0.004928375,-0.002229147
49.0,6309.571,0.005223826,-0.002551043
49.0,5011.871,0.00552511,-0.002875898
50.0,3981.07,0.005848275,-0.003265126
50.0,3162.276,0.006213559,-0.003729898
51.0,2511.885,0.005317084,-0.006137018
51.0,1995.261,0.007401232,-0.005031924
51.0,1584.892,0.006650945,-0.00562311
52.0,1258.925,0.01133999,-0.00767259
52.0,999.9994,0.008550907,-0.007404718
52.0,794.3277,0.009176658,-0.008590719
52.0,630.9569,0.009886376,-0.01008213
52.0,501.1869,0.01064974,-0.01184947
52.0,398.1069,0.0116666,-0.01398977
53.0,316.2275,0.01287148,-0.01661508
53.0,251.1884,0.01427647,-0.01968771
53.0,199.5261,0.01616549,-0.02340269
53.0,158.4892,0.01862,-0.02776878
53.0,125.8924,0.02177433,-0.03283165
54.0,99.99991,0.02582821,-0.03865032
54.0,79.43275,0.03116324,-0.0452686
54.0,63.09567,0.03809511,-0.05242296
54.0,50.11867,0.04665408,-0.05990142
54.0,39.81068,0.05733523,-0.06717622
54.0,31.62274,0.07188328,-0.0736549
55.0,25.11884,0.0873773,-0.07893519
55.0,19.9526,0.1050848,-0.07831212
55.0,15.84891,0.1225939,-0.07700232
55.0,12.58924,0.1417718,-0.07113408
55.0,9.999988,0.1528999,-0.06151893
55.0,7.943272,0.1648115,-0.05102628
56.0,6.309565,0.1709187,-0.0358527
56.0,5.011866,0.1755996,-0.02989527
56.0,3.981066,0.1767219,-0.01810507
56.0,3.162273,0.1761982,-0.01207947
57.0,2.511883,0.179268,-0.006695279
58.0,1.995259,0.1767049,-0.00334328
58.0,1.584891,0.1766587,0.0008453892
59.0,1.258924,0.1745754,0.002326729
60.0,1.0,0.1733473,0.002379351
