Experiment:, EIS
Start date:, pond?l? 30. ledna 2023
Start time:, 17:15:11 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
76.0,79432.82,0.001077492,0.0007474996
76.0,63095.73,0.001882899,0.0007494992
77.0,50118.72,0.002579377,0.0001784108
77.0,39810.71,0.002612249,-2.358091e-05
77.0,31622.77,0.002763593,-0.0002312502
77.0,25118.86,0.003014134,-0.0004974962
78.0,19952.62,0.003202774,-0.0006585155
78.0,15848.93,0.003362167,-0.0008301028
78.0,12589.25,0.003539796,-0.0009772826
78.0,9999.997,0.003709108,-0.0011311
79.0,7943.28,0.003896806,-0.001282658
79.0,6309.571,0.0040799,-0.001437898
79.0,5011.871,0.004269605,-0.001600578
79.0,3981.07,0.004464313,-0.001779201
80.0,3162.276,0.004671377,-0.001983071
80.0,2511.885,0.004863085,-0.002217493
80.0,1995.261,0.005068103,-0.002502575
80.0,1584.892,0.005276883,-0.002855693
81.0,1258.925,0.005502813,-0.00325127
81.0,999.9994,0.005747331,-0.003772922
81.0,794.3277,0.006039131,-0.004435341
82.0,630.9569,0.006393713,-0.005254572
82.0,501.1869,0.006844411,-0.006261823
82.0,398.1069,0.007434858,-0.007475695
82.0,316.2275,0.008208322,-0.008934343
82.0,251.1884,0.009289554,-0.01066383
83.0,199.5261,0.01074677,-0.01264124
83.0,158.4892,0.01275423,-0.01481259
83.0,125.8924,0.01544591,-0.01704554
83.0,99.99991,0.0190363,-0.01904628
83.0,79.43275,0.02339337,-0.02049965
83.0,50.11867,0.03332238,-0.02032042
84.0,39.81068,0.03792628,-0.01855414
84.0,31.62274,0.0416407,-0.01590637
84.0,25.11884,0.04428825,-0.01298133
84.0,19.9526,0.04602037,-0.00999151
84.0,15.84891,0.04697539,-0.007281628
84.0,12.58924,0.04734896,-0.005118367
85.0,9.999988,0.04759523,-0.003311295
85.0,7.943272,0.0472244,-0.001703028
85.0,6.309565,0.04717768,-0.0006325687
85.0,5.011866,0.04685545,8.274394e-06
86.0,3.981066,0.04646318,0.001002412
86.0,3.162273,0.04634304,0.001459435
86.0,2.511883,0.04616265,0.001755296
87.0,1.995259,0.04626949,0.001879073
88.0,1.584891,0.04620749,0.00189498
88.0,1.258924,0.04624353,0.001864499
89.0,1.0,0.0462288,0.001913079
