Experiment:, EIS
Start date:, st?eda 22. ?nora 2023
Start time:, 14:34:32 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
184.0,35481.33,0.004387493,0.0002821259
184.0,31622.77,0.003945446,0.0003965316
184.0,28183.82,0.004113778,-0.0001239911
185.0,25118.85,0.003845856,-0.0001930256
185.0,22387.2,0.004128606,-0.0003384752
185.0,19952.61,0.004236693,-0.0002901159
185.0,17782.79,0.004354318,-0.0004107342
186.0,15848.92,0.004356651,-0.0006155877
186.0,14125.37,0.004406428,-0.0004702108
186.0,12589.25,0.004512787,-0.0006909116
186.0,11220.18,0.004572238,-0.0006213183
187.0,9999.993,0.004601414,-0.0006740775
187.0,8912.503,0.004658735,-0.0007369813
187.0,7943.276,0.004732307,-0.0007985304
187.0,7079.452,0.004820006,-0.0008477297
188.0,6309.568,0.004861664,-0.0008823562
188.0,5623.409,0.004916192,-0.0009397743
188.0,5011.868,0.004978766,-0.0009897375
188.0,4466.832,0.005052355,-0.001035049
189.0,3981.068,0.005127367,-0.001095316
189.0,3548.131,0.005191347,-0.001149286
189.0,3162.275,0.005258758,-0.001209146
189.0,2818.38,0.005334751,-0.001273904
190.0,2511.884,0.005413276,-0.001339006
190.0,2238.719,0.005494214,-0.001410566
190.0,1995.26,0.005574038,-0.001485239
190.0,1778.277,0.005671544,-0.001564724
191.0,1584.891,0.005764299,-0.001648255
191.0,1412.536,0.005866074,-0.001734956
191.0,1258.924,0.005977717,-0.001830432
191.0,1122.017,0.0060855,-0.001927763
192.0,999.9988,0.006230568,-0.002034739
192.0,891.2498,0.006337717,-0.002148987
192.0,794.3272,0.00647714,-0.002271086
192.0,707.9448,0.006618229,-0.002386094
192.0,630.9565,0.006778694,-0.002520694
192.0,562.3405,0.006951823,-0.002663841
193.0,501.1865,0.007132537,-0.002844421
193.0,446.6829,0.007351362,-0.002952533
193.0,398.1066,0.00754433,-0.003145696
193.0,354.8128,0.007792338,-0.00325851
193.0,316.2273,0.008049298,-0.003413405
193.0,281.8378,0.008323328,-0.003576577
194.0,251.1882,0.00862136,-0.003725592
194.0,223.8717,0.008939679,-0.003867565
194.0,199.5259,0.009303185,-0.004005235
194.0,177.8276,0.009650534,-0.004126168
194.0,158.489,0.01001404,-0.004228026
194.0,141.2535,0.01042939,-0.004314265
194.0,125.8923,0.01083908,-0.004355701
195.0,112.2016,0.01125908,-0.004392989
195.0,99.9998,0.01164434,-0.004398096
195.0,89.12492,0.01210701,-0.004380014
195.0,79.43266,0.01253622,-0.004315869
195.0,70.79443,0.01295514,-0.004237411
195.0,63.0956,0.01335265,-0.004122176
196.0,56.23401,0.0137321,-0.003997916
196.0,50.11861,0.01408455,-0.003825857
196.0,44.66826,0.014436,-0.003664006
196.0,39.81063,0.01472872,-0.003449059
196.0,35.48126,0.01504555,-0.00325911
196.0,31.6227,0.01529832,-0.003059522
196.0,28.18376,0.01552336,-0.002863337
197.0,25.11881,0.01569861,-0.002627014
197.0,22.38716,0.01588186,-0.002462614
197.0,19.95257,0.01603628,-0.002247395
197.0,17.78275,0.01620656,-0.002035247
197.0,15.84889,0.0162664,-0.001866563
197.0,14.12534,0.01636661,-0.001699859
198.0,12.58922,0.01645904,-0.001563955
198.0,11.22016,0.01656373,-0.001430787
198.0,9.999973,0.01657865,-0.001295262
198.0,8.912485,0.01660713,-0.001156596
198.0,7.943261,0.01670554,-0.001070645
199.0,7.079438,0.01666978,-0.0009310141
199.0,6.309556,0.01670054,-0.0008538245
199.0,5.623397,0.01678796,-0.0008155715
199.0,5.011858,0.01675449,-0.000709908
200.0,4.466823,0.0167676,-0.0006610464
200.0,3.98106,0.01676081,-0.0006473439
200.0,3.548123,0.01677425,-0.0005623141
201.0,3.162268,0.01681217,-0.0005754751
201.0,2.818374,0.01683801,-0.0005393464
201.0,2.511878,0.01686732,-0.0005234876
202.0,2.238714,0.01684735,-0.000442705
203.0,1.995256,0.01686569,-0.0004729738
203.0,1.778274,0.01690148,-0.0004646721
204.0,1.584888,0.01689461,-0.0004894854
205.0,1.412533,0.01668503,-0.0003497011
205.0,1.258921,0.01699884,-0.0005711372
206.0,1.122015,0.01713862,-0.0005418105
207.0,0.999997,0.0173126,-0.0006106503
209.0,0.891248,0.01724996,-0.0007146907
210.0,0.794325,0.01707997,-0.0006710012
211.0,0.707943,0.01726704,-0.0005231136
213.0,0.630955,0.01738527,-0.00041446
215.0,0.562339,0.01733838,-0.0004901969
217.0,0.501185,0.01748214,-0.0004492105
219.0,0.446682,0.01757867,-0.0003893395
222.0,0.398106,0.01756826,-0.0003409482
225.0,0.354812,0.01764155,-0.0003922119
228.0,0.316227,0.01760209,-0.0002592338
231.0,0.281837,0.01776565,-0.0001882448
235.0,0.251188,0.01780752,-0.0001342911
240.0,0.223871,0.0178688,-0.0001223041
245.0,0.199525,0.01803653,9.645824e-05
251.0,0.177827,0.01831222,0.0001261611
257.0,0.158489,0.01852212,0.0003218045
