Experiment:, EIS
Start date:, p?tek 24. ?nora 2023
Start time:, 12:35:09 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
333.0,31622.77,0.005481358,-6.154752e-05
333.0,28183.82,0.005317614,-0.0003589754
334.0,25118.85,0.006098294,-0.0003430319
334.0,22387.2,0.00623546,-0.0003347148
334.0,19952.61,0.00613941,-0.0004321516
334.0,17782.79,0.006258878,-0.0004698633
335.0,15848.92,0.006388016,-0.0005125855
335.0,14125.37,0.006357904,-0.000455931
335.0,12589.25,0.00672078,-0.0005823116
335.0,11220.18,0.006623191,-0.0005168814
336.0,9999.993,0.006830805,-0.0007132512
336.0,8912.503,0.006885371,-0.0006694775
336.0,7943.276,0.00702627,-0.0006874077
336.0,7079.452,0.007137041,-0.0007291871
337.0,6309.568,0.007199727,-0.0007544928
337.0,5623.409,0.007293602,-0.0007606651
337.0,5011.868,0.007366792,-0.0007827403
337.0,4466.832,0.007454664,-0.0008116122
338.0,3981.068,0.007536104,-0.0008292004
338.0,3548.131,0.007602759,-0.0008582028
338.0,3162.275,0.007677571,-0.0008906246
338.0,2818.38,0.00776025,-0.0009240661
339.0,2511.884,0.007840469,-0.0009642423
339.0,2238.719,0.007911225,-0.00101009
339.0,1995.26,0.007983967,-0.001057206
339.0,1778.277,0.008044063,-0.001117306
340.0,1584.891,0.008105029,-0.00117808
340.0,1412.536,0.00815865,-0.001240809
340.0,1258.924,0.00821749,-0.001318953
340.0,1122.017,0.008276762,-0.001403624
341.0,999.9988,0.00835427,-0.001476054
341.0,891.2498,0.008415801,-0.001583839
341.0,794.3272,0.008483529,-0.001682088
341.0,707.9448,0.008584273,-0.00179452
341.0,630.9565,0.00867034,-0.001923276
341.0,562.3405,0.008768648,-0.002055219
342.0,501.1865,0.008873272,-0.002238615
342.0,446.6829,0.009025382,-0.002344432
342.0,398.1066,0.009163771,-0.002529904
342.0,354.8128,0.009313643,-0.002662274
342.0,316.2273,0.00948766,-0.002825514
342.0,281.8378,0.009686654,-0.003002249
343.0,251.1882,0.00990443,-0.003190379
343.0,223.8717,0.01013505,-0.00337314
343.0,199.5259,0.01038845,-0.003540013
343.0,177.8276,0.01066966,-0.003722965
343.0,158.489,0.01097415,-0.003898064
343.0,141.2535,0.01129591,-0.004050846
343.0,125.8923,0.01164862,-0.004230196
344.0,112.2016,0.0120312,-0.004370569
344.0,99.9998,0.01251351,-0.004543479
344.0,89.12492,0.01287159,-0.004584648
344.0,79.43266,0.01329658,-0.004647898
344.0,70.79443,0.01375114,-0.004695362
344.0,63.0956,0.0142106,-0.00468795
345.0,56.23401,0.0146678,-0.004663613
345.0,50.11861,0.01515426,-0.004598119
345.0,44.66826,0.01558153,-0.004481024
345.0,39.81063,0.0159852,-0.004348549
345.0,35.48126,0.01638934,-0.004185763
345.0,31.6227,0.01675211,-0.003970203
345.0,28.18376,0.01711532,-0.003788021
346.0,25.11881,0.01737773,-0.003525961
346.0,22.38716,0.01768826,-0.003295256
346.0,19.95257,0.0178959,-0.003075247
346.0,17.78275,0.01810369,-0.002829544
346.0,15.84889,0.01828584,-0.002614722
346.0,14.12534,0.01840587,-0.002373979
347.0,12.58922,0.01855736,-0.002176977
347.0,11.22016,0.01863758,-0.001995434
347.0,9.999973,0.01867883,-0.001825985
347.0,8.912485,0.01876704,-0.001636636
347.0,7.943261,0.01881602,-0.001468676
348.0,7.079438,0.01890242,-0.001379037
348.0,6.309556,0.01888547,-0.001256139
348.0,5.623397,0.01890664,-0.001092709
348.0,5.011858,0.01896793,-0.001036085
349.0,4.466823,0.01894202,-0.0009210724
349.0,3.98106,0.01900843,-0.0009122811
349.0,3.548123,0.01900003,-0.0008311647
350.0,3.162268,0.0190043,-0.0007853684
350.0,2.818374,0.01910394,-0.0007579628
350.0,2.511878,0.01909808,-0.0007757949
351.0,2.238714,0.0190094,-0.0006460497
352.0,1.995256,0.01906789,-0.0006313077
352.0,1.778274,0.01905958,-0.0007091883
353.0,1.584888,0.01908609,-0.0007482934
354.0,1.412533,0.01901005,-0.0006818034
354.0,1.258921,0.01904152,-0.0007469474
355.0,1.122015,0.01911407,-0.0007483995
356.0,0.999997,0.01895653,-0.000737866
357.0,0.891248,0.01909238,-0.0006120102
359.0,0.794325,0.01917423,-0.0007872561
360.0,0.707943,0.0192412,-0.0007387995
362.0,0.630955,0.01931494,-0.0005242298
364.0,0.562339,0.01933854,-0.0007035497
368.0,0.446682,0.01891611,-0.0006355135
371.0,0.398106,0.01957458,-0.0005318344
374.0,0.354812,0.01974998,-0.0004875762
377.0,0.316227,0.01990401,-0.000458181
380.0,0.281837,0.0200897,-0.0004140886
384.0,0.251188,0.02028636,-0.0002649225
389.0,0.223871,0.02051081,-5.369312e-05
400.0,0.177827,0.02065221,0.0005114728
406.0,0.158489,0.02108506,-0.0001119326
413.0,0.141253,0.02078423,-0.0002552381
421.0,0.125892,0.02045317,-0.0004622628
440.0,0.1,0.01860007,-0.001785676
