Experiment:, EIS
Start date:, ?ter? 28. b?ezna 2023
Start time:, 15:10:06 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1372.0,70794.57,-0.0007324683,0.002818585
1373.0,31622.77,0.0128867,0.004894361
1374.0,28183.82,0.009666711,0.005377494
1374.0,25118.85,0.008353983,0.0003691145
1374.0,22387.2,0.005998118,0.0009063471
1374.0,19952.61,0.003374621,-0.001508722
1375.0,17782.79,0.00411031,0.0008952136
1375.0,15848.92,0.004190637,-0.0009354461
1375.0,14125.37,0.00484114,-0.00117457
1375.0,12589.25,0.006282984,-0.001355101
1376.0,11220.18,0.00642839,-0.001462752
1376.0,9999.993,0.006318334,-0.0007455996
1376.0,8912.503,0.006969971,-0.001742619
1376.0,7943.276,0.00639539,-0.001459521
1377.0,7079.452,0.006907558,-0.001628245
1377.0,6309.568,0.006774649,-0.00153232
1377.0,5623.409,0.007171612,-0.001429159
1377.0,5011.868,0.007337905,-0.001237223
1378.0,4466.832,0.0074084,-0.001543719
1378.0,3981.068,0.007527351,-0.001568932
1378.0,3548.131,0.007493206,-0.0015983
1378.0,3162.275,0.007413524,-0.001656601
1379.0,2818.38,0.007666842,-0.00170756
1379.0,2511.884,0.007738513,-0.001693712
1379.0,2238.719,0.007918314,-0.001798696
1379.0,1995.26,0.008112235,-0.001699198
1379.0,1778.277,0.008069054,-0.001903297
1380.0,1584.891,0.008145069,-0.001947134
1380.0,1412.536,0.008322176,-0.001957359
1380.0,1258.924,0.008418277,-0.002053842
1380.0,1122.017,0.008611587,-0.002042782
1381.0,999.9988,0.008662618,-0.001982524
1381.0,891.2498,0.008876015,-0.002173625
1381.0,794.3272,0.009057782,-0.002303068
1381.0,707.9448,0.00923478,-0.002301165
1381.0,630.9565,0.009412994,-0.002377904
1381.0,562.3405,0.009590794,-0.002410142
1382.0,501.1865,0.009862385,-0.002577369
1382.0,446.6829,0.009991253,-0.002545698
1382.0,398.1066,0.01017219,-0.002699366
1382.0,354.8128,0.01042971,-0.002609538
1382.0,316.2273,0.01071341,-0.002657253
1382.0,281.8378,0.01095415,-0.002642155
1383.0,251.1882,0.01115704,-0.002618738
1383.0,223.8717,0.01141336,-0.002641847
1383.0,199.5259,0.01166513,-0.002551599
1383.0,177.8276,0.01188748,-0.002573153
1383.0,158.489,0.01213728,-0.002513901
1383.0,141.2535,0.01238133,-0.00245089
1383.0,125.8923,0.0125469,-0.002376091
1384.0,112.2016,0.01275594,-0.002272138
1384.0,99.9998,0.01284518,-0.002104046
1384.0,89.12492,0.01310037,-0.002133273
1384.0,79.43266,0.01328465,-0.002048526
1384.0,70.79443,0.01342147,-0.00195837
1384.0,63.0956,0.01357518,-0.001920134
1385.0,56.23401,0.01371023,-0.001814194
1385.0,50.11861,0.01381816,-0.001761416
1385.0,44.66826,0.01387886,-0.001690196
1385.0,39.81063,0.01400413,-0.001652874
1385.0,35.48126,0.01411706,-0.001573063
1385.0,31.6227,0.01419981,-0.001523141
1386.0,28.18376,0.01430188,-0.001444194
1386.0,25.11881,0.01442089,-0.001448384
1386.0,22.38716,0.0144275,-0.001431614
1386.0,19.95257,0.0145555,-0.001402234
1386.0,17.78275,0.01463099,-0.001393787
1386.0,15.84889,0.01467169,-0.001414565
1386.0,14.12534,0.0147532,-0.00142614
1387.0,12.58922,0.01487432,-0.001460202
1387.0,11.22016,0.01493662,-0.001429806
1387.0,9.999973,0.01496415,-0.001600638
1387.0,8.912485,0.01518192,-0.001521041
1387.0,7.943261,0.01526003,-0.001721431
1388.0,7.079438,0.01539101,-0.001700764
1388.0,6.309556,0.01557582,-0.001720082
1388.0,5.623397,0.01551255,-0.001886229
1388.0,5.011858,0.01555401,-0.001771576
1389.0,4.466823,0.01594343,-0.001837392
1389.0,3.98106,0.01595144,-0.002141833
1389.0,3.548123,0.01608162,-0.00219676
1390.0,3.162268,0.01615278,-0.00226715
1390.0,2.818374,0.0163219,-0.00232538
1390.0,2.511878,0.01635418,-0.002672367
1391.0,2.238714,0.01631379,-0.002683932
1392.0,1.995256,0.01668436,-0.002568403
1392.0,1.778274,0.01698457,-0.002632997
1393.0,1.584888,0.0171486,-0.002781513
1394.0,1.412533,0.01735874,-0.003129974
1394.0,1.258921,0.01749929,-0.003109441
1399.0,0.794325,0.01535827,-0.00230605
1400.0,0.707943,0.02085406,-0.003205128
1402.0,0.630955,0.02068937,-0.005748349
1404.0,0.562339,0.02035655,-0.004999777
1408.0,0.446682,0.0211593,0.001110138
1411.0,0.398106,0.02103143,-0.00178847
1414.0,0.354812,0.01875555,-0.004715807
1417.0,0.316227,0.02095296,-0.005600197
1420.0,0.281837,0.02042609,-0.005351017
1424.0,0.251188,0.02361525,-0.000639166
1440.0,0.177827,0.02592456,-0.002298086
1480.0,0.1,0.02485903,-0.001918471
