Experiment:, EIS
Start date:, st?eda 12. dubna 2023
Start time:, 13:31:36 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
179.0,79432.82,0.0686114,0.07369816,0.7946056
179.0,63095.73,0.171302,0.09562446,0.7946056
179.0,50118.72,0.3007351,0.03293873,0.7946056
180.0,39810.71,0.2030886,0.1500747,0.7965015
181.0,19952.62,0.2087475,0.05655956,0.8040853
181.0,15848.93,0.2414346,0.07474987,0.8040853
182.0,12589.25,0.08898599,-0.002606765,0.7946056
182.0,9999.997,0.2526793,0.03468934,0.7946056
182.0,7943.28,0.3379797,-0.05911317,0.7946056
183.0,6309.571,0.3278845,-0.05243106,0.7904977
183.0,5011.871,0.3428136,-0.08147709,0.7904977
184.0,3981.07,0.3488617,-0.09818575,0.7927096
184.0,3162.276,0.3644609,-0.1269778,0.7927096
184.0,2511.885,0.3836418,-0.1381963,0.7927096
185.0,1995.261,0.4050426,-0.1571103,0.7906557
185.0,1584.892,0.4276305,-0.1785584,0.7906557
185.0,1258.925,0.4541669,-0.200967,0.7906557
185.0,999.9994,0.4821939,-0.223124,0.7906557
185.0,794.3277,0.5142324,-0.2494742,0.7906557
185.0,630.9569,0.5502938,-0.2721219,0.7906557
186.0,501.1869,0.5908343,-0.2984759,0.8013994
186.0,398.1069,0.6319966,-0.3328427,0.8013994
186.0,316.2275,0.6847724,-0.3537643,0.8013994
186.0,251.1884,0.7431828,-0.3825186,0.8013994
186.0,199.5261,0.7966633,-0.4047527,0.8013994
186.0,158.4892,0.8625658,-0.4472829,0.8013994
186.0,125.8924,0.9398043,-0.4719702,0.8013994
187.0,99.99991,1.025079,-0.4874091,0.8006094
187.0,79.43275,1.124913,-0.506458,0.8006094
187.0,63.09567,1.235638,-0.5279854,0.8006094
187.0,50.11867,1.32589,-0.5360487,0.8006094
188.0,39.81068,1.436363,-0.5344446,0.8126171
188.0,31.62274,1.574055,-0.4248561,0.8126171
189.0,25.11884,1.710124,-0.3601089,0.8025053
189.0,15.84891,1.668221,0.128384,0.8025053
189.0,12.58924,1.628747,0.1976482,0.8025053
190.0,9.999988,1.403981,0.2717281,0.781176
190.0,7.943272,1.28534,0.2750723,0.781176
191.0,3.981066,1.283335,0.08240605,0.8036113
192.0,2.511883,2.657534,-0.1940741,0.7908136
193.0,1.995259,2.6658,-0.1571128,0.8091412
193.0,1.584891,2.722554,-0.1091711,0.8091412
194.0,1.258924,2.706241,-0.0875935,0.7874958
195.0,0.999998,2.74062,0.02586204,0.8002934
197.0,0.794327,2.732088,0.02385173,0.7797539
198.0,0.630956,2.720207,0.05474144,0.7957115
200.0,0.501186,2.733152,0.0141517,0.7843359
203.0,0.398106,2.745354,0.028086,0.742309
206.0,0.316227,2.688876,0.0530745,0.7396231
210.0,0.251188,2.703946,0.01495699,0.739307
215.0,0.199526,2.628547,0.09489667,0.7334612
221.0,0.158489,2.455279,0.02175842,0.7353572
249.0,0.1,1.143771,0.2023927,0.7819659
