Experiment:, EIS
Start date:, p?tek 21. dubna 2023
Start time:, 13:32:23 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1016.0,35481.33,0.001032421,0.0007871073
1016.0,31622.77,0.001864192,0.0005494658
1017.0,28183.82,0.001576029,0.0002286119
1017.0,25118.85,0.002250992,-0.0001055577
1017.0,22387.2,0.002345783,-0.0005597247
1017.0,19952.61,0.002408539,-0.0001459795
1018.0,17782.79,0.002372922,-0.0003764504
1018.0,15848.92,0.002450299,-0.0003688463
1018.0,14125.37,0.002360802,-0.0003280024
1018.0,12589.25,0.00258805,-0.0003340559
1019.0,11220.18,0.002639152,-0.000411868
1019.0,9999.993,0.002611786,-0.0003438626
1019.0,8912.503,0.002691339,-0.0003864499
1019.0,7943.276,0.002730723,-0.0003257666
1020.0,7079.452,0.002731778,-0.0003395529
1020.0,6309.568,0.002783177,-0.0003596616
1020.0,5623.409,0.002785422,-0.0003406043
1020.0,5011.868,0.002810593,-0.0003666594
1021.0,4466.832,0.002829542,-0.000386288
1021.0,3981.068,0.002852417,-0.000391232
1021.0,3548.131,0.002864149,-0.0004168076
1021.0,3162.275,0.002882822,-0.0004438748
1022.0,2818.38,0.002891847,-0.000465812
1022.0,2511.884,0.002908443,-0.0004939857
1022.0,2238.719,0.002917894,-0.0005310252
1022.0,1995.26,0.002938724,-0.0005704762
1023.0,1778.277,0.002951162,-0.0006206279
1023.0,1584.891,0.002968643,-0.0006797569
1023.0,1412.536,0.00298191,-0.0007387103
1023.0,1258.924,0.003008119,-0.000809057
1024.0,1122.017,0.003025029,-0.0008804051
1024.0,999.9988,0.003041625,-0.0009682463
1024.0,891.2498,0.003087046,-0.001064738
1024.0,794.3272,0.003126744,-0.001172765
1024.0,707.9448,0.003163431,-0.001297503
1024.0,630.9565,0.003209351,-0.001420104
1025.0,562.3405,0.003264724,-0.001563786
1025.0,501.1865,0.003330488,-0.00171775
1025.0,446.6829,0.003416125,-0.001897993
1025.0,398.1066,0.00350001,-0.002087195
1025.0,354.8128,0.003621146,-0.002291079
1025.0,316.2273,0.003753579,-0.002514536
1025.0,281.8378,0.003915023,-0.002747989
1026.0,251.1882,0.004104289,-0.002995999
1026.0,223.8717,0.004319804,-0.003252575
1026.0,199.5259,0.004587926,-0.003510951
1026.0,177.8276,0.004886028,-0.003766518
1026.0,158.489,0.005244337,-0.003969823
1026.0,141.2535,0.005632495,-0.004215643
1026.0,125.8923,0.00604568,-0.004429885
1027.0,112.2016,0.006504364,-0.00463871
1027.0,99.9998,0.006988392,-0.004770933
1027.0,89.12492,0.007515177,-0.004887164
1027.0,79.43266,0.008055747,-0.004939387
1027.0,70.79443,0.008590353,-0.004918117
1027.0,63.0956,0.009121698,-0.004835922
1028.0,56.23401,0.009619494,-0.004708997
1028.0,50.11861,0.01007307,-0.004500302
1028.0,44.66826,0.01049074,-0.004289085
1028.0,39.81063,0.01088007,-0.004024892
1028.0,35.48126,0.01122095,-0.003768971
1028.0,31.6227,0.01151702,-0.00348342
1029.0,28.18376,0.01174566,-0.003210479
1029.0,25.11881,0.01198273,-0.002965415
1029.0,22.38716,0.01212006,-0.002692528
1029.0,19.95257,0.01228585,-0.002462664
1029.0,17.78275,0.01240043,-0.002211445
1029.0,15.84889,0.01248474,-0.001966002
1030.0,14.12534,0.0125825,-0.001821006
1030.0,12.58922,0.01264805,-0.001627229
1030.0,11.22016,0.0126943,-0.001446367
1030.0,9.999973,0.01272523,-0.001315857
1030.0,8.912485,0.01272026,-0.001149216
1031.0,7.943261,0.01277978,-0.001069467
1031.0,7.079438,0.01280402,-0.0009381928
1031.0,6.309556,0.01284963,-0.0008527456
1031.0,5.623397,0.01282441,-0.0007784324
1032.0,5.011858,0.01283032,-0.0007072985
1032.0,4.466823,0.01285257,-0.000632417
1032.0,3.98106,0.01285839,-0.0005719767
1032.0,3.548123,0.01286039,-0.0005424151
1033.0,3.162268,0.01283962,-0.000481914
1033.0,2.818374,0.01285939,-0.0004373751
1034.0,2.511878,0.01282939,-0.0003933666
1034.0,2.238714,0.0128402,-0.0004138565
1035.0,1.995256,0.01290473,-0.0003730283
1035.0,1.778274,0.01288087,-0.0003725683
1036.0,1.584888,0.01288357,-0.0003895381
1037.0,1.412533,0.01286681,-0.0003923285
1037.0,1.258921,0.01287165,-0.0003897368
1038.0,1.122015,0.0128553,-0.0003783366
1040.0,0.999997,0.01286584,-0.0003468975
1041.0,0.891248,0.01293644,-0.000331247
1042.0,0.794325,0.01293085,-0.0003133141
1043.0,0.707943,0.01295969,-0.0003171174
1045.0,0.630955,0.01294137,-0.0002765618
1047.0,0.562339,0.01296198,-0.0001967901
1049.0,0.501185,0.01296975,-0.0001422136
1051.0,0.446682,0.0130168,-8.992867e-05
1054.0,0.398106,0.01296869,-3.80833e-05
1057.0,0.354812,0.01300997,3.066898e-06
1060.0,0.316227,0.01295555,8.033252e-05
1064.0,0.281837,0.01295871,0.000139945
1068.0,0.251188,0.01293952,0.0002088799
1072.0,0.223871,0.01286565,0.0003124321
1077.0,0.199525,0.01285387,0.0004577306
1083.0,0.177827,0.0125789,0.0008026031
1089.0,0.158489,0.01229638,0.0004623278
1096.0,0.141253,0.0124168,0.0008699192
