Experiment:, EIS
Start date:, p?tek 5. kv?tna 2023
Start time:, 13:54:13 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
734.0,25118.85,0.002109015,-0.0001662783
734.0,22387.2,0.002176341,-0.000143864
734.0,19952.61,0.002170582,-0.0001812904
734.0,17782.79,0.002141957,-0.0002694897
735.0,15848.92,0.002301398,-0.0002088265
735.0,14125.37,0.002306668,-0.0002714072
735.0,12589.25,0.002278685,-0.0002712831
735.0,11220.18,0.002301098,-0.0003406905
736.0,9999.993,0.002369201,-0.000326474
736.0,8912.503,0.002387409,-0.0003772883
736.0,7943.276,0.002453635,-0.000382546
736.0,7079.452,0.002488164,-0.0004116268
737.0,6309.568,0.002520816,-0.0004291814
737.0,5623.409,0.002548463,-0.0004527774
737.0,5011.868,0.002582127,-0.0004630508
737.0,4466.832,0.002606078,-0.0004850255
738.0,3981.068,0.002644024,-0.0005112709
738.0,3548.131,0.002665333,-0.0005398419
738.0,3162.275,0.002693334,-0.0005680891
738.0,2818.38,0.002722107,-0.0006035585
739.0,2511.884,0.00275622,-0.000640454
739.0,2238.719,0.002790435,-0.0006781504
739.0,1995.26,0.00284655,-0.0007265258
739.0,1778.277,0.002875487,-0.0007718378
740.0,1584.891,0.002924879,-0.0008279122
740.0,1412.536,0.002983088,-0.0008792111
740.0,1258.924,0.003037596,-0.0009434604
740.0,1122.017,0.003103869,-0.001004965
741.0,999.9988,0.003159106,-0.001048892
741.0,891.2498,0.00327522,-0.00113149
741.0,794.3272,0.003369876,-0.001174003
741.0,707.9448,0.003473168,-0.001248607
741.0,630.9565,0.003575599,-0.001315915
741.0,562.3405,0.003691403,-0.001364786
742.0,501.1865,0.003774433,-0.001395324
742.0,446.6829,0.003978412,-0.001460186
742.0,398.1066,0.004053946,-0.00150015
742.0,354.8128,0.004279308,-0.001494099
742.0,316.2273,0.004439591,-0.001495825
742.0,281.8378,0.004592592,-0.00148947
743.0,251.1882,0.004746905,-0.001454668
743.0,223.8717,0.004895708,-0.001409783
743.0,199.5259,0.005077367,-0.001372182
743.0,177.8276,0.005170494,-0.001300793
743.0,158.489,0.00528787,-0.001226987
743.0,141.2535,0.005394273,-0.00115554
743.0,125.8923,0.005487383,-0.001072199
744.0,112.2016,0.005572656,-0.0009844082
744.0,99.9998,0.00562311,-0.0009128308
744.0,89.12492,0.005693984,-0.0008246529
744.0,79.43266,0.005755225,-0.0007650527
744.0,70.79443,0.005794443,-0.0006860514
744.0,63.0956,0.005819721,-0.0006227515
745.0,56.23401,0.005846169,-0.0005493144
745.0,50.11861,0.005866727,-0.0005261904
745.0,44.66826,0.005893912,-0.0004653269
745.0,39.81063,0.005900693,-0.0003888096
745.0,35.48126,0.005943224,-0.0003992667
745.0,31.6227,0.005955218,-0.000349114
746.0,28.18376,0.005972371,-0.0002824635
746.0,25.11881,0.005925598,-0.0002732577
746.0,22.38716,0.005972673,-0.0002248942
746.0,19.95257,0.005889367,-0.0001837838
746.0,17.78275,0.00595844,-0.0002549972
746.0,15.84889,0.005934382,-8.070461e-05
746.0,14.12534,0.00592924,-0.0001065933
747.0,12.58922,0.005981803,-9.072557e-05
747.0,11.22016,0.005983368,-0.0001202961
747.0,9.999973,0.006016524,2.584933e-05
747.0,8.912485,0.005867466,-0.0001049171
747.0,7.943261,0.005978674,-2.986646e-05
748.0,7.079438,0.005922991,-7.649517e-05
748.0,6.309556,0.005967264,-1.389093e-05
748.0,5.623397,0.005913236,-3.032879e-05
748.0,5.011858,0.005888063,-3.155082e-05
749.0,4.466823,0.005924606,-3.898962e-05
749.0,3.98106,0.005945829,-6.133789e-05
749.0,3.548123,0.006012331,-4.144232e-05
750.0,3.162268,0.005943212,-4.411014e-05
750.0,2.818374,0.005914239,-5.186276e-05
750.0,2.511878,0.005936546,-5.67487e-05
751.0,2.238714,0.005948941,-1.470992e-05
752.0,1.995256,0.005944203,-4.188791e-05
752.0,1.778274,0.005939864,-5.1291e-05
753.0,1.584888,0.005943365,-3.199208e-05
754.0,1.412533,0.005931905,-1.926346e-05
754.0,1.258921,0.006000421,5.161375e-06
755.0,1.122015,0.005949982,-2.20549e-05
756.0,0.999997,0.006002558,-3.520589e-05
758.0,0.891248,0.005934988,-2.080107e-05
759.0,0.794325,0.005957275,-3.57639e-05
760.0,0.707943,0.005970867,1.10353e-05
762.0,0.630955,0.005971767,-7.19662e-05
764.0,0.562339,0.005977842,-2.850931e-05
766.0,0.501185,0.005952822,-6.848056e-05
768.0,0.446682,0.005949961,-3.667735e-05
771.0,0.398106,0.005998091,-5.336676e-05
774.0,0.354812,0.005987826,-3.176761e-05
777.0,0.316227,0.005958331,-2.64106e-05
780.0,0.281837,0.005923448,-5.189108e-05
784.0,0.251188,0.005936292,-6.727591e-05
789.0,0.223871,0.005982773,-8.99745e-05
794.0,0.199525,0.005917944,-0.0001037921
800.0,0.177827,0.005909138,-9.642334e-05
806.0,0.158489,0.00591129,-8.619591e-05
840.0,0.1,0.006136918,-0.0003703486
