Experiment:, EIS
Start date:, st?eda 26. dubna 2023
Start time:, 14:04:26 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1425.0,14125.37,0.003484917,-0.0007570203
1425.0,12589.25,0.003918926,-0.0004896048
1426.0,8912.503,0.004459083,-0.0009311801
1426.0,7943.276,0.004098403,-0.0003461648
1426.0,7079.452,0.004197484,-0.000202534
1427.0,6309.568,0.004321143,-0.0005163199
1427.0,5623.409,0.004409743,-0.0003973922
1427.0,5011.868,0.004217338,-0.00046787
1427.0,4466.832,0.004421063,-0.0003994
1428.0,3981.068,0.004303668,-0.0005247351
1428.0,3548.131,0.004424534,-0.0004605661
1428.0,3162.275,0.004469131,-0.0005636585
1428.0,2818.38,0.004460341,-0.0006077918
1429.0,2511.884,0.004517515,-0.0005388926
1429.0,2238.719,0.004479581,-0.0006241633
1429.0,1995.26,0.00466765,-0.000645559
1429.0,1778.277,0.004551338,-0.0007767636
1430.0,1584.891,0.004570041,-0.0007742856
1430.0,1412.536,0.004636002,-0.0008991305
1430.0,1258.924,0.004628063,-0.0009012027
1430.0,1122.017,0.004662254,-0.0009902167
1431.0,999.9988,0.004660411,-0.001246772
1431.0,891.2498,0.004726816,-0.001172537
1431.0,794.3272,0.00484502,-0.001295086
1431.0,707.9448,0.004800971,-0.001418398
1431.0,630.9565,0.004925713,-0.001549541
1431.0,562.3405,0.004989155,-0.001674749
1432.0,501.1865,0.005199512,-0.001827901
1432.0,446.6829,0.005221689,-0.001987626
1432.0,398.1066,0.005418472,-0.002175101
1432.0,354.8128,0.005481173,-0.002347033
1432.0,316.2273,0.005655312,-0.002543636
1432.0,281.8378,0.005838837,-0.00271407
1433.0,251.1882,0.00607157,-0.002914871
1433.0,223.8717,0.006321737,-0.003116855
1433.0,199.5259,0.00666294,-0.003324413
1433.0,177.8276,0.006960077,-0.003478605
1433.0,158.489,0.007344417,-0.003615386
1433.0,141.2535,0.007699666,-0.003777603
1433.0,125.8923,0.008139044,-0.003836074
1434.0,112.2016,0.008581154,-0.003883739
1434.0,99.9998,0.00895344,-0.00374975
1434.0,89.12492,0.009402787,-0.003822312
1434.0,79.43266,0.009778155,-0.003724675
1434.0,70.79443,0.01012465,-0.003579275
1434.0,63.0956,0.01048134,-0.003427351
1435.0,56.23401,0.01101266,-0.003212309
1435.0,50.11861,0.01109825,-0.003014845
1435.0,44.66826,0.01118274,-0.002839883
1435.0,39.81063,0.01150698,-0.002783417
1435.0,35.48126,0.01187235,-0.002330193
1435.0,31.6227,0.01203085,-0.002259679
1436.0,28.18376,0.01202413,-0.002089387
1436.0,25.11881,0.01233924,-0.001964676
1436.0,22.38716,0.01234117,-0.001733402
1436.0,19.95257,0.01234301,-0.001597069
1436.0,17.78275,0.01249247,-0.001616418
1436.0,15.84889,0.01270208,-0.001181252
1436.0,14.12534,0.01287381,-0.001100515
1437.0,12.58922,0.01254009,-0.001178901
1437.0,11.22016,0.01273439,-0.0009097676
1437.0,9.999973,0.01277474,-0.001027048
1437.0,8.912485,0.0126955,-0.001102002
1437.0,7.943261,0.01265757,-0.001092964
1438.0,7.079438,0.01269125,-0.0007894204
1438.0,6.309556,0.01291751,-0.0007901058
1438.0,5.623397,0.01279566,-0.0007889763
1438.0,5.011858,0.01305038,-0.0004409628
1439.0,4.466823,0.01275981,-0.0006728604
1439.0,3.98106,0.01286231,-0.0005855894
1439.0,3.548123,0.01292499,-0.0004643529
1440.0,3.162268,0.0131547,-0.0006720443
1440.0,2.818374,0.0130808,-0.0005005761
1440.0,2.511878,0.01290658,-0.0006392341
1441.0,2.238714,0.0129061,-0.0006586294
1442.0,1.995256,0.01309608,-0.0006161716
1442.0,1.778274,0.01301943,-0.0006093186
1443.0,1.584888,0.01308295,-0.0006591325
1444.0,1.412533,0.01328262,-0.000572562
1444.0,1.258921,0.01357555,-0.000648312
1445.0,1.122015,0.01319701,-0.0006298842
1446.0,0.999997,0.01348574,-0.0004300196
1448.0,0.891248,0.01317712,-0.0003233456
1449.0,0.794325,0.01348344,-0.0003538498
1450.0,0.707943,0.01339926,-0.0003928312
1452.0,0.630955,0.01351494,-0.0002080474
1454.0,0.562339,0.01375981,-0.0002168541
1456.0,0.501185,0.01359688,-0.0004308484
1458.0,0.446682,0.01359821,-0.0003567473
1461.0,0.398106,0.01417726,-0.0001426802
1464.0,0.354812,0.01414334,-0.0003416749
1470.0,0.281837,0.01427598,0.0001632828
1475.0,0.251188,0.01401072,-8.054328e-06
1479.0,0.223871,0.01374735,0.0001004695
1484.0,0.199525,0.01331874,0.0004617652
1490.0,0.177827,0.0134259,0.0002189517
1496.0,0.158489,0.01367046,0.0005522071
1503.0,0.141253,0.01383853,0.0001459697
1511.0,0.125892,0.0137371,0.0002949025
1520.0,0.112201,0.01398081,0.0003223064
1530.0,0.1,0.01357742,0.0003172646
