Experiment:, EIS
Start date:, ?ter? 23. kv?tna 2023
Start time:, 11:49:48 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1343.0,12589.25,0.003250355,-0.0008763116
1344.0,9999.993,0.002589082,-0.0003018938
1344.0,8912.503,0.003450058,-0.0005546504
1344.0,7943.276,0.002691241,-0.0007849655
1344.0,7079.452,0.003009132,-0.0009534808
1345.0,6309.568,0.003305743,-0.0007506658
1345.0,5623.409,0.003232385,-0.0008348217
1345.0,5011.868,0.003357255,-0.0009906043
1345.0,4466.832,0.003229607,-0.00098549
1346.0,3981.068,0.003357943,-0.001047311
1346.0,3548.131,0.003421285,-0.001173249
1346.0,3162.275,0.003565494,-0.001308265
1347.0,2818.38,0.003610529,-0.001464386
1347.0,2511.884,0.003675775,-0.001586597
1347.0,2238.719,0.003807225,-0.001654702
1347.0,1995.26,0.004060273,-0.001930286
1348.0,1778.277,0.004107885,-0.001939715
1348.0,1584.891,0.004261895,-0.002065762
1348.0,1412.536,0.004457498,-0.002181838
1348.0,1258.924,0.004723398,-0.00227722
1349.0,1122.017,0.004969179,-0.002383818
1349.0,999.9988,0.005251037,-0.002638703
1349.0,891.2498,0.005450514,-0.002529438
1349.0,794.3272,0.005843711,-0.002491429
1349.0,707.9448,0.006022322,-0.002568468
1349.0,630.9565,0.006346924,-0.002480499
1350.0,562.3405,0.006592512,-0.002410029
1350.0,501.1865,0.0068349,-0.002240651
1350.0,446.6829,0.00704801,-0.002239135
1350.0,398.1066,0.007197884,-0.00206567
1350.0,354.8128,0.007488834,-0.001988795
1350.0,316.2273,0.007663469,-0.001861029
1350.0,281.8378,0.007787678,-0.001710463
1351.0,251.1882,0.007926182,-0.001577319
1351.0,223.8717,0.008049159,-0.001415828
1351.0,199.5259,0.008173654,-0.001317743
1351.0,177.8276,0.008216757,-0.00117071
1351.0,158.489,0.008241176,-0.001063522
1351.0,141.2535,0.008284398,-0.0009692209
1351.0,125.8923,0.008336429,-0.0008687977
1352.0,112.2016,0.008338564,-0.000802154
1352.0,99.9998,0.008416805,-0.0005477348
1352.0,89.12492,0.008414606,-0.0006057842
1352.0,79.43266,0.008411986,-0.0005690363
1352.0,70.79443,0.008434968,-0.00049435
1352.0,63.0956,0.008423834,-0.0004383394
1353.0,56.23401,0.008451637,-0.0003861678
1353.0,50.11861,0.00845001,-0.000366904
1353.0,44.66826,0.008450506,-0.0003686454
1353.0,39.81063,0.008408119,-0.0002803321
1353.0,35.48126,0.008418355,-0.0003159455
1353.0,31.6227,0.008436237,-0.0002859761
1354.0,28.18376,0.00830242,-9.913127e-05
1354.0,25.11881,0.008407604,-0.0002997004
1354.0,22.38716,0.008552076,-4.355609e-05
1354.0,19.95257,0.008414482,-0.0002602179
1354.0,17.78275,0.008553966,-0.0004154152
1354.0,15.84889,0.008317847,-4.471302e-05
1355.0,14.12534,0.008345176,-0.000163161
1355.0,12.58922,0.008411524,-0.0001442561
1355.0,11.22016,0.008568063,-0.0003152341
1355.0,9.999973,0.008370525,-0.0001851877
1355.0,8.912485,0.008300489,0.0002355617
1355.0,7.943261,0.008451973,-1.634623e-05
1356.0,7.079438,0.008588847,4.533298e-05
1356.0,6.309556,0.008892625,0.0001077362
1356.0,5.623397,0.00899068,-0.0001688019
1356.0,5.011858,0.008192756,0.0002030947
1357.0,4.466823,0.00842459,8.217544e-05
1357.0,3.98106,0.008686553,0.0001480436
1357.0,3.548123,0.008555065,5.933951e-05
1358.0,3.162268,0.008607332,-8.832602e-05
1358.0,2.818374,0.008628852,-9.296943e-05
1359.0,2.511878,0.008652742,-0.0001520412
1359.0,2.238714,0.008229538,2.326101e-05
1360.0,1.995256,0.008217526,-0.0003303475
1360.0,1.778274,0.008779651,-0.0002261019
1361.0,1.584888,0.008388107,-5.959778e-05
1362.0,1.412533,0.008491083,-0.0005587814
1362.0,1.258921,0.008559925,-0.0001954631
1363.0,1.122015,0.008646302,-2.293177e-05
1365.0,0.999997,0.008943045,-0.0002582855
1366.0,0.891248,0.008029295,0.000201522
1367.0,0.794325,0.008453676,-0.0002180641
1368.0,0.707943,0.00877895,-0.000407244
1370.0,0.630955,0.008452213,-0.0001276727
1372.0,0.562339,0.008613597,-0.0001826003
1374.0,0.501185,0.008787042,-9.618479e-05
1376.0,0.446682,0.008707922,0.0003678969
1379.0,0.398106,0.007768691,5.242661e-05
1382.0,0.354812,0.008533314,-6.745687e-05
1385.0,0.316227,0.008728632,-0.0002037162
1389.0,0.281837,0.008677859,0.0002093943
1392.0,0.251188,0.008547602,-0.0002321605
1397.0,0.223871,0.008592874,0.0003255997
1402.0,0.199525,0.008730423,0.0003071476
1408.0,0.177827,0.008433703,-0.0001583694
1414.0,0.158489,0.00822342,0.0002318812
1421.0,0.141253,0.008613777,0.0003077963
1429.0,0.125892,0.008696652,8.098758e-05
1438.0,0.112201,0.008978716,6.485215e-05
1448.0,0.1,0.008636471,-0.0001963543
