Experiment:, EIS
Start date:, st?eda 21. ?ervna 2023
Start time:, 12:50:56 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
965.0,17782.79,0.001620944,-0.0003360331
965.0,12589.25,0.002031652,0.0004796256
966.0,9999.993,0.002231576,-0.0005460122
966.0,8912.503,0.001992368,-0.0004099
966.0,7943.276,0.002139703,-0.00041033
967.0,7079.452,0.001972591,-0.0004076955
967.0,6309.568,0.002138549,-0.0003716413
967.0,5623.409,0.00210417,-0.0005606659
967.0,5011.868,0.002254497,-0.0004186541
968.0,4466.832,0.002279482,-0.0005125517
968.0,3981.068,0.00229471,-0.0005535609
968.0,3548.131,0.002301867,-0.0005666876
968.0,3162.275,0.002345246,-0.0006722478
969.0,2818.38,0.002385488,-0.0007396479
969.0,2511.884,0.002427717,-0.0006898097
969.0,2238.719,0.002431693,-0.0007786154
969.0,1995.26,0.002413921,-0.0007988702
970.0,1778.277,0.002553839,-0.0008727044
970.0,1584.891,0.002637394,-0.0009569096
970.0,1412.536,0.002665091,-0.0009692913
970.0,1258.924,0.002765026,-0.001053866
971.0,1122.017,0.002815794,-0.00113367
971.0,999.9988,0.002922702,-0.001345334
971.0,891.2498,0.003003526,-0.001285109
971.0,794.3272,0.003113362,-0.001387261
971.0,707.9448,0.003213149,-0.00144635
971.0,630.9565,0.003322623,-0.001521314
971.0,562.3405,0.003448807,-0.001602677
972.0,501.1865,0.003481117,-0.001686023
972.0,446.6829,0.003754621,-0.001731041
972.0,398.1066,0.003988388,-0.001703397
972.0,354.8128,0.004095491,-0.001802814
972.0,316.2273,0.004273542,-0.001830276
972.0,281.8378,0.004458035,-0.001844554
972.0,251.1882,0.004669178,-0.001856907
973.0,223.8717,0.004859179,-0.001824092
973.0,199.5259,0.005051827,-0.001812909
973.0,177.8276,0.005212468,-0.001744299
973.0,158.489,0.005377586,-0.001676407
973.0,141.2535,0.005543184,-0.001607688
973.0,125.8923,0.00568059,-0.001532155
974.0,112.2016,0.005816658,-0.001442405
974.0,99.9998,0.006034206,-0.001387152
974.0,89.12492,0.006036639,-0.001235909
974.0,79.43266,0.006110995,-0.001158414
974.0,70.79443,0.006186452,-0.001100721
974.0,63.0956,0.006255337,-0.0009860712
974.0,56.23401,0.006311467,-0.0008863371
975.0,50.11861,0.006347274,-0.0008023642
975.0,44.66826,0.006374402,-0.0007286014
975.0,39.81063,0.00637371,-0.0007108214
975.0,35.48126,0.006430573,-0.0006382882
975.0,31.6227,0.006418037,-0.0005846141
975.0,28.18376,0.006475238,-0.000516338
976.0,25.11881,0.006405916,-0.000503787
976.0,22.38716,0.006484772,-0.0004344507
976.0,19.95257,0.006458146,-0.0004077497
976.0,17.78275,0.006466933,-0.000374569
976.0,15.84889,0.006525679,-0.0003541882
976.0,14.12534,0.006583061,-0.0003575587
977.0,12.58922,0.006549508,-0.0003973044
977.0,11.22016,0.006643022,-0.0003290999
977.0,9.999973,0.006656441,-0.0003320032
977.0,8.912485,0.006592307,-0.0001882412
977.0,7.943261,0.006605761,-0.0003663068
978.0,7.079438,0.006581287,-0.0001228757
978.0,6.309556,0.006499487,-0.0003927237
978.0,5.623397,0.006734781,-0.0005032161
978.0,5.011858,0.00672664,-0.0003459776
979.0,4.466823,0.006601714,-0.0002677435
979.0,3.98106,0.006707948,-0.0003473866
979.0,3.548123,0.006648921,-0.0003706115
980.0,3.162268,0.006964421,-0.0003482864
980.0,2.818374,0.006814473,-0.0002907038
980.0,2.511878,0.006953653,-0.0003722199
981.0,2.238714,0.00675249,-0.0004545727
982.0,1.995256,0.006902413,-0.0004624001
982.0,1.778274,0.006884854,-0.0002836468
983.0,1.584888,0.006961975,-0.0002861409
984.0,1.412533,0.006842894,-0.0005126786
984.0,1.258921,0.007180984,-0.0004179064
985.0,1.122015,0.007067143,-0.0003842981
986.0,0.999997,0.007117853,-0.0003589715
988.0,0.891248,0.006946948,-0.0003059229
989.0,0.794325,0.007184819,-0.000277887
990.0,0.707943,0.007184141,-0.0003996254
992.0,0.630955,0.007029861,-0.000413137
994.0,0.562339,0.007358116,-0.000276704
996.0,0.501185,0.007354742,0.0001931724
998.0,0.446682,0.007430778,-0.0001909572
1001.0,0.398106,0.007368865,-0.0001088685
1004.0,0.354812,0.007235167,-0.000212529
1007.0,0.316227,0.007192411,-0.0004182129
1019.0,0.223871,0.007651537,-4.060491e-05
1024.0,0.199525,0.007591169,4.170943e-06
1030.0,0.177827,0.007158287,3.285634e-05
1036.0,0.158489,0.007134734,-0.0002973912
1060.0,0.112201,0.006908051,0.0001451918
1070.0,0.1,0.007364982,0.0002287109
