Experiment:, EIS
Start date:, ?tvrtek 21. z??? 2023
Start time:, 14:33:37 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
461.0,79432.82,0.001281264,0.0008301145,0.5997968
461.0,63095.73,0.001905871,0.0008316326,0.5997968
461.0,50118.72,0.002848358,0.0005968458,0.5997968
461.0,39810.71,0.002936237,-8.372821e-06,0.5997968
462.0,31622.77,0.003156464,-8.453291e-05,0.5999548
462.0,25118.86,0.003406857,-0.0002606437,0.5999548
462.0,19952.62,0.003577651,-0.0004051836,0.5999548
462.0,15848.93,0.003754285,-0.0005268521,0.5999548
463.0,12589.25,0.003922394,-0.0006353804,0.5996388
463.0,9999.997,0.004054768,-0.0007480297,0.5996388
463.0,7943.28,0.004185689,-0.0008489784,0.5996388
463.0,6309.571,0.004296552,-0.0009530991,0.5996388
464.0,5011.871,0.004401194,-0.001081436,0.5985329
464.0,3981.07,0.004510891,-0.001237082,0.5985329
464.0,3162.276,0.004585341,-0.001420906,0.5985329
464.0,2511.885,0.004696553,-0.001659006,0.5985329
465.0,1995.261,0.004821086,-0.001956338,0.5865252
465.0,1584.892,0.004969959,-0.00231148,0.5865252
465.0,1258.925,0.005135529,-0.002752121,0.5865252
465.0,999.9994,0.005343874,-0.00326544,0.5865252
466.0,794.3277,0.005602524,-0.003891947,0.6002708
466.0,630.9569,0.005933812,-0.004647188,0.6002708
466.0,501.1869,0.006356054,-0.005548708,0.6002708
466.0,398.1069,0.006896961,-0.00662276,0.6002708
466.0,316.2275,0.007602918,-0.007865504,0.6002708
467.0,251.1884,0.008544656,-0.009315895,0.5996388
467.0,199.5261,0.009761608,-0.0109592,0.5996388
467.0,158.4892,0.01136607,-0.01276533,0.5996388
467.0,125.8924,0.01346262,-0.01466602,0.5996388
467.0,99.99991,0.01610727,-0.01655547,0.5996388
467.0,79.43275,0.01937734,-0.01822821,0.5996388
468.0,31.62274,0.03583166,-0.01855126,0.5997968
468.0,25.11884,0.03939018,-0.01683934,0.5997968
468.0,19.9526,0.04220254,-0.01471256,0.5997968
468.0,15.84891,0.04436167,-0.01247172,0.5997968
469.0,12.58924,0.045949,-0.01038373,0.5972689
469.0,9.999988,0.04702048,-0.008480038,0.5972689
469.0,7.943272,0.0476303,-0.006866341,0.5972689
469.0,6.309565,0.04823434,-0.005479461,0.5972689
469.0,5.011866,0.04850401,-0.004412887,0.5972689
470.0,3.981066,0.04869332,-0.003444808,0.6065907
470.0,3.162273,0.04877419,-0.002752049,0.6065907
471.0,2.511883,0.0489337,-0.002175996,0.6045367
471.0,1.995259,0.04905429,-0.001751962,0.6045367
472.0,1.584891,0.04908714,-0.001391414,0.5858933
473.0,1.258924,0.04917941,-0.001082774,0.595373
474.0,0.999998,0.04922463,-0.0008832472,0.6012188
475.0,0.794327,0.04928518,-0.0006443827,0.6203363
477.0,0.630956,0.04936462,-0.0004746867,0.5977429
479.0,0.501186,0.04940203,-0.0003632681,0.6018508
481.0,0.398106,0.04949468,-0.0002633946,0.6513034
484.0,0.316227,0.04963876,-0.0001388988,0.6584133
489.0,0.251188,0.04955645,-0.0001986442,0.5772035
494.0,0.199526,0.04961744,-0.0001373648,0.5824173
500.0,0.158489,0.0498723,-0.0001532329,0.6039047
508.0,0.125892,0.05009343,-9.518905e-05,0.5994809
518.0,0.1,0.04966343,-6.355179e-05,0.6035888
