Experiment:, EIS
Start date:, ?ter? 26. z??? 2023
Start time:, 13:02:34 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1364.0,31622.77,0.001731527,-0.0004500066
1364.0,25118.86,0.001827451,-0.0007219978
1364.0,19952.62,0.00193134,0.0002422356
1365.0,15848.93,0.002290761,-0.000453665
1365.0,12589.25,0.002394909,-0.000491287
1365.0,9999.997,0.002300877,-0.0002603696
1365.0,7943.28,0.002359917,-0.0003122083
1366.0,6309.571,0.002423226,-0.000355854
1366.0,5011.871,0.002463611,-0.0003560569
1366.0,3981.07,0.00247549,-0.000392638
1366.0,3162.276,0.002516059,-0.0004620179
1367.0,2511.885,0.002539842,-0.0005290413
1367.0,1995.261,0.002502362,-0.0006171885
1367.0,1584.892,0.002620965,-0.0007349369
1367.0,1258.925,0.002660799,-0.0008836887
1368.0,999.9994,0.002671242,-0.001064263
1368.0,794.3277,0.002805815,-0.001277657
1368.0,630.9569,0.002924191,-0.001532353
1368.0,501.1869,0.003041046,-0.00188778
1368.0,398.1069,0.00334446,-0.002211808
1369.0,316.2275,0.003619032,-0.002641425
1369.0,251.1884,0.004041381,-0.003091977
1369.0,199.5261,0.004621818,-0.003527561
1369.0,158.4892,0.005345921,-0.003940949
1369.0,125.8924,0.006205539,-0.004205614
1369.0,99.99991,0.007140627,-0.004276046
1369.0,79.43275,0.008066992,-0.004200407
1370.0,63.09567,0.00889633,-0.003925805
1370.0,50.11867,0.009615282,-0.003568438
1370.0,39.81068,0.01014745,-0.003125242
1370.0,31.62274,0.0106206,-0.002715926
1370.0,25.11884,0.01091465,-0.002296549
1370.0,19.9526,0.01116166,-0.002032783
1371.0,15.84891,0.01130096,-0.001682361
1371.0,12.58924,0.01140892,-0.001408873
1371.0,9.999988,0.01151433,-0.001202975
1371.0,7.943272,0.01164473,-0.001037931
1371.0,6.309565,0.01166914,-0.0009790224
1372.0,5.011866,0.01172469,-0.0007547393
1372.0,3.981066,0.0118182,-0.0007291985
1372.0,3.162273,0.01194375,-0.0007267424
1373.0,2.511883,0.01197435,-0.000773693
1373.0,1.995259,0.01201703,-0.0006942077
1374.0,1.584891,0.01210152,-0.0006606856
1375.0,1.258924,0.0121932,-0.0005705219
1376.0,0.999998,0.01224714,-0.0005821618
1377.0,0.794327,0.01239586,-0.0005556194
1379.0,0.630956,0.01248548,-0.0004381926
1381.0,0.501186,0.01247816,-0.0003611759
1383.0,0.398106,0.01264242,-0.0003358696
1387.0,0.316227,0.01261122,-5.693793e-05
1391.0,0.251188,0.01258459,-9.128983e-05
1396.0,0.199526,0.01232193,-7.216345e-05
1402.0,0.158489,0.0125104,4.15242e-05
1410.0,0.125892,0.01260171,-0.0001384924
1420.0,0.1,0.01230369,0.0001270294
