Experiment:, EIS
Start date:, ?ter? 31. ??jna 2023
Start time:, 13:56:46 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1572.0,31622.77,0.002516121,-0.0003419259
1573.0,12589.25,0.002094166,-0.0001732701
1573.0,9999.997,0.002388216,-0.0002535062
1573.0,7943.28,0.002217517,-0.0003163364
1574.0,6309.571,0.002204129,-0.0004183773
1574.0,5011.871,0.002322426,-0.0004085151
1574.0,3981.07,0.002380565,-0.0004554923
1574.0,3162.276,0.002407573,-0.0005028519
1575.0,2511.885,0.002454487,-0.0005922386
1575.0,1995.261,0.002542999,-0.000651093
1575.0,1584.892,0.002612452,-0.0007958031
1576.0,1258.925,0.002715758,-0.0009191504
1576.0,999.9994,0.002900216,-0.001050695
1576.0,794.3277,0.003016745,-0.001186307
1576.0,630.9569,0.003242972,-0.00133693
1576.0,501.1869,0.003520809,-0.001427098
1576.0,398.1069,0.00383597,-0.001556723
1577.0,316.2275,0.00415356,-0.001560557
1577.0,251.1884,0.004489122,-0.001511805
1577.0,199.5261,0.00479688,-0.001402677
1577.0,158.4892,0.005045245,-0.001252569
1577.0,125.8924,0.005246653,-0.001087754
1577.0,99.99991,0.005362426,-0.0009044263
1577.0,79.43275,0.005496811,-0.0007724657
1577.0,63.09567,0.005570175,-0.0006359279
1578.0,50.11867,0.005608133,-0.000522538
1578.0,39.81068,0.005662263,-0.0004478098
1578.0,31.62274,0.005674146,-0.0003507209
1578.0,25.11884,0.005682729,-0.0003059236
1578.0,19.9526,0.005711745,-0.0002688369
1578.0,15.84891,0.005704713,-0.0002517034
1579.0,12.58924,0.005720732,-0.000224871
1579.0,9.999988,0.005729055,-0.0001958267
1579.0,7.943272,0.005755039,-0.0001898205
1579.0,6.309565,0.005777261,-0.0002091776
1580.0,5.011866,0.00574603,-0.0003838625
1580.0,3.981066,0.005872985,-0.0001157199
1580.0,3.162273,0.005856288,-0.0002153967
1581.0,2.511883,0.005888424,-0.0001953992
1581.0,1.995259,0.005919838,-0.0001869375
1582.0,1.584891,0.005960716,-0.0001845423
1583.0,1.258924,0.005985473,-0.0001686217
1584.0,0.999998,0.005985992,-0.0001620945
1589.0,0.501186,0.00608944,0.0001095223
1591.0,0.398106,0.006082742,-0.000164517
1595.0,0.316227,0.00607453,-0.0002729169
1599.0,0.251188,0.006296513,-0.0002714078
1604.0,0.199526,0.006197911,-0.0002315907
1610.0,0.158489,0.006161791,-0.000393272
1628.0,0.1,0.007270643,0.0004116475
