Experiment:, EIS
Start date:, ?ter? 30. ledna 2024
Start time:, 13:30:18 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1156.0,31622.77,0.001668413,0.0006294304
1156.0,25118.86,0.00241225,0.0003045262
1157.0,15848.93,0.001679337,7.258142e-05
1157.0,12589.25,0.001998569,-0.0005687656
1157.0,9999.997,0.002306749,-0.0003588175
1158.0,7943.28,0.002493725,-0.0004712669
1158.0,6309.571,0.002544079,-0.0005078464
1158.0,5011.871,0.00259302,-0.0005908777
1158.0,3981.07,0.002624123,-0.0005900205
1159.0,3162.276,0.00274472,-0.0007454571
1159.0,2511.885,0.002839487,-0.0008239597
1159.0,1995.261,0.002962978,-0.000908112
1159.0,1584.892,0.003075885,-0.001065871
1160.0,1258.925,0.003237049,-0.001199422
1160.0,999.9994,0.003386917,-0.001411041
1160.0,794.3277,0.003634904,-0.001489291
1160.0,630.9569,0.003933223,-0.001636193
1160.0,501.1869,0.004330911,-0.001732115
1160.0,398.1069,0.004601989,-0.001889633
1160.0,316.2275,0.004998771,-0.001805237
1161.0,251.1884,0.005372005,-0.001740434
1161.0,199.5261,0.005694115,-0.001583366
1161.0,158.4892,0.005990197,-0.001434922
1161.0,125.8924,0.006217132,-0.001233455
1161.0,99.99991,0.006379777,-0.001043776
1161.0,79.43275,0.006510685,-0.0008603931
1162.0,63.09567,0.006587973,-0.0007045938
1162.0,50.11867,0.006618133,-0.0005626275
1162.0,39.81068,0.00667913,-0.0004872618
1162.0,31.62274,0.006689257,-0.0003440523
1162.0,25.11884,0.006730504,-0.000275977
1162.0,19.9526,0.006689796,-0.0002051372
1163.0,15.84891,0.00671808,-0.0001301429
1163.0,12.58924,0.006691335,-0.0001081606
1163.0,9.999988,0.006727565,-0.0001029155
1163.0,7.943272,0.006723493,-5.317919e-05
1163.0,6.309565,0.006691105,-4.72676e-05
1163.0,5.011866,0.006691782,-2.206362e-05
1164.0,3.981066,0.006712581,-5.631185e-05
1164.0,3.162273,0.006674267,-2.069759e-05
1165.0,2.511883,0.006697874,-3.150996e-05
1165.0,1.995259,0.006678781,-3.699884e-05
1166.0,1.584891,0.006678743,-6.19722e-05
1167.0,1.258924,0.006687128,-4.600517e-05
1168.0,0.999998,0.00668367,-5.243369e-05
1169.0,0.794327,0.00669201,-5.886553e-05
1171.0,0.630956,0.006709119,-6.470968e-05
1173.0,0.501186,0.006745207,-4.717106e-05
1175.0,0.398106,0.006726283,-6.714196e-05
1179.0,0.316227,0.006717244,-6.173126e-05
1182.0,0.251188,0.006709148,-0.0001011074
1188.0,0.199526,0.006843161,-0.0001259354
1194.0,0.158489,0.006854163,-0.0001076964
1212.0,0.1,0.00655587,0.000358879
