Experiment:, Load
Start date:, p?tek 2. z??? 2022
Start time:, 10:50:03 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
150.35, -0.00366394, 0.9691908
150.5, -0.004289486, 0.9875183
150.65, -0.005540589, 0.9862543
150.7, -0.005540589, 0.9838845
150.8, -0.006166136, 0.9785126
150.85, -0.006791682, 0.9740887
151, -0.008042786, 0.9587631
151.05, -0.008042786, 0.9538652
151.15, -0.009293883, 0.9439116
151.25, -0.009293883, 0.9355378
151.4, -0.01117053, 0.924952
151.45, -0.01179608, 0.9211602
151.55, -0.01304718, 0.9154723
151.6, -0.01367273, 0.9131023
151.65, -0.01429828, 0.9105744
151.8, -0.01492382, 0.9052026
151.95, -0.01554937, 0.9014106
152, -0.01617493, 0.9001467
152.1, -0.01742602, 0.8977767
152.2, -0.01805157, 0.8960388
152.25, -0.01867712, 0.8950908
152.35, -0.01930267, 0.8933529
152.4, -0.01992822, 0.8922469
152.55, -0.01992822, 0.8908249
152.65, -0.02180487, 0.887823
152.75, -0.02117932, 0.887823
152.8, -0.02243042, 0.886875
152.95, -0.02368151, 0.8851371
153.05, -0.02493261, 0.8837152
153.1, -0.02493261, 0.8832412
153.25, -0.02680926, 0.8807132
153.3, -0.02680926, 0.8802392
153.4, -0.02806036, 0.8791333
153.5, -0.02806036, 0.8785013
153.65, -0.02931145, 0.8773953
153.7, -0.02931145, 0.8767633
153.85, -0.02993701, 0.8753414
154, -0.03243921, 0.8739194
154.05, -0.03306475, 0.8734454
154.1, -0.0336903, 0.8729714
154.25, -0.03431586, 0.8718655
154.3, -0.0336903, 0.8721815
154.45, -0.03431586, 0.8718655
154.55, -0.0349414, 0.8712335
154.6, -0.03556695, 0.8704435
154.75, -0.0374436, 0.8691795
154.8, -0.03806914, 0.8685476
154.95, -0.03932025, 0.8672836
155, -0.03994579, 0.8668096
155.1, -0.04119689, 0.8658617
155.2, -0.04182244, 0.8655456
155.25, -0.04244799, 0.8649137
155.35, -0.04307353, 0.8644397
155.5, -0.04495018, 0.8625437
155.55, -0.04495018, 0.8625437
155.7, -0.04620128, 0.8619117
155.75, -0.04682683, 0.8614377
155.8, -0.04807793, 0.8609638
155.95, -0.04807793, 0.8604898
156.05, -0.04932903, 0.8595418
156.1, -0.04995458, 0.8592258
156.15, -0.04932903, 0.8593838
156.3, -0.04995458, 0.8585938
156.45, -0.05120568, 0.8578038
156.5, -0.05120568, 0.8574879
156.65, -0.05370788, 0.8557499
156.7, -0.05370788, 0.8555919
156.75, -0.05433342, 0.8554339
156.85, -0.05495897, 0.85496
157, -0.05683562, 0.853538
157.05, -0.05683562, 0.853696
157.2, -0.05808672, 0.852748
157.25, -0.05808672, 0.85259
157.3, -0.05933782, 0.852432
157.45, -0.05933782, 0.8518
157.55, -0.06058892, 0.850852
157.6, -0.06121447, 0.8502201
157.75, -0.06184002, 0.8495881
157.8, -0.06184002, 0.8495881
157.95, -0.06309112, 0.8486401
158, -0.06371667, 0.8481661
158.15, -0.06496777, 0.8473761
158.2, -0.06496777, 0.8470601
158.25, -0.06621886, 0.8465861
158.35, -0.06746996, 0.8457962
158.55, -0.06809551, 0.8451642
158.7, -0.06997216, 0.8440582
158.75, -0.06997216, 0.8437423
158.9, -0.07247435, 0.8424783
158.95, -0.07247435, 0.8420042
159, -0.0730999, 0.8418462
159.1, -0.074351, 0.8415303
159.25, -0.07497655, 0.8404243
159.3, -0.074351, 0.8404243
159.45, -0.07622765, 0.8394763
159.5, -0.0768532, 0.8388444
159.65, -0.0781043, 0.8382124
159.7, -0.0781043, 0.8378964
159.8, -0.07935539, 0.8377384
159.85, -0.07935539, 0.8372644
160, -0.08060649, 0.8367904
160.05, -0.08123204, 0.8364744
160.15, -0.0818576, 0.8364744
160.25, -0.08248314, 0.8356844
160.4, -0.08435979, 0.8348945
160.45, -0.08435979, 0.8347365
160.6, -0.08498534, 0.8341045
160.7, -0.08561088, 0.8337885
160.85, -0.08561088, 0.8336305
160.95, -0.08748753, 0.8325245
161, -0.08748753, 0.8322086
161.15, -0.08936418, 0.8306286
161.2, -0.08998973, 0.8304706
161.25, -0.08936418, 0.8304706
161.35, -0.09061528, 0.8295226
161.4, -0.09124083, 0.8288906
161.55, -0.09249193, 0.8282586
161.7, -0.09374303, 0.8274687
161.75, -0.09374303, 0.8273107
161.8, -0.09499412, 0.8268367
161.95, -0.09499412, 0.8265207
162.05, -0.09624523, 0.8255727
162.1, -0.09687077, 0.8254148
162.2, -0.09749633, 0.8252567
162.3, -0.09812186, 0.8249407
162.4, -0.09937298, 0.8244667
162.5, -0.0999985, 0.8241507
162.65, -0.1018752, 0.8232028
162.7, -0.1018752, 0.8228868
162.8, -0.1025007, 0.8222548
162.85, -0.1031263, 0.8222548
162.95, -0.1037518, 0.8219388
163.05, -0.1043774, 0.8216228
163.2, -0.1056285, 0.8211489
163.25, -0.1056285, 0.8208328
163.35, -0.1068796, 0.8202009
163.45, -0.1081306, 0.8195689
163.55, -0.1093817, 0.8192528
163.6, -0.1100073, 0.8189369
163.65, -0.1106329, 0.8187789
163.8, -0.1112584, 0.8181469
163.95, -0.1125095, 0.817515
164, -0.1125095, 0.817041
164.15, -0.1137606, 0.8165669
164.2, -0.1143861, 0.816093
164.25, -0.1150117, 0.816251
164.35, -0.1156372, 0.815935
164.4, -0.1162628, 0.815619
164.55, -0.1168883, 0.815145
164.7, -0.1181394, 0.814671
164.75, -0.118765, 0.8141971
164.85, -0.1193905, 0.813723
164.95, -0.1206416, 0.8132491
165, -0.1212672, 0.8132491
165.1, -0.1212672, 0.8127751
165.2, -0.1231438, 0.8121431
165.3, -0.1231438, 0.8118271
165.4, -0.1243949, 0.8111951
165.5, -0.125646, 0.8108791
165.7, -0.1262716, 0.8102471
165.75, -0.1268971, 0.8097731
165.85, -0.1268971, 0.8096152
166, -0.1281482, 0.8089832
166.05, -0.1287738, 0.8088252
166.2, -0.1300249, 0.8081931
166.25, -0.1300249, 0.8081931
166.35, -0.1306504, 0.8078772
166.45, -0.1306504, 0.8075612
166.55, -0.1319015, 0.8072452
166.6, -0.1331526, 0.8067712
166.75, -0.1344037, 0.8061392
166.8, -0.1344037, 0.8059813
166.95, -0.1356548, 0.8053493
167, -0.1356548, 0.8053493
167.15, -0.1375315, 0.8047173
167.2, -0.1375315, 0.8045593
167.3, -0.1387826, 0.8042433
167.35, -0.1387826, 0.8040853
167.4, -0.1400337, 0.8037694
167.55, -0.1412848, 0.8031374
167.7, -0.1419103, 0.8025053
167.75, -0.1425359, 0.8023473
167.8, -0.1431614, 0.8021894
167.95, -0.143787, 0.8012414
168.1, -0.1444125, 0.8012414
168.15, -0.1456636, 0.8006094
168.3, -0.1462891, 0.8002934
168.35, -0.1469147, 0.7999774
168.5, -0.1475403, 0.7996615
168.65, -0.1487914, 0.7991874
168.7, -0.1494169, 0.7988715
168.85, -0.150668, 0.7983975
168.9, -0.1512935, 0.7980815
169.05, -0.1512935, 0.7979235
169.2, -0.1531702, 0.7968175
169.25, -0.1531702, 0.7966595
169.35, -0.1544213, 0.7963435
169.45, -0.1556724, 0.7960275
169.55, -0.1569235, 0.7953956
169.6, -0.1569235, 0.7952375
169.7, -0.157549, 0.7949216
169.8, -0.1581746, 0.7944475
169.95, -0.1600512, 0.7938156
170, -0.1600512, 0.7936576
170.15, -0.1613023, 0.7931836
170.2, -0.1619279, 0.7928676
170.25, -0.1625534, 0.7927096
170.35, -0.1638045, 0.7922357
170.55, -0.1644301, 0.7916036
170.7, -0.1656812, 0.7911296
170.75, -0.1663067, 0.7908136
170.9, -0.1675578, 0.7901817
170.95, -0.1681834, 0.7901817
171, -0.1688089, 0.7898657
171.1, -0.1688089, 0.7897077
171.15, -0.17006, 0.7892337
171.3, -0.1706856, 0.7887597
171.4, -0.1713111, 0.7882857
171.5, -0.1719366, 0.7879698
171.65, -0.1731878, 0.7874958
171.7, -0.1731878, 0.7871798
171.8, -0.1744389, 0.7870218
171.85, -0.1744389, 0.7867058
171.95, -0.1756899, 0.7862318
172.05, -0.1756899, 0.7862318
172.2, -0.1775666, 0.7855998
172.25, -0.1781922, 0.7852838
172.35, -0.1800688, 0.7851258
172.45, -0.1800688, 0.7844938
172.55, -0.1813199, 0.7841778
172.6, -0.1806944, 0.7843359
172.7, -0.1819454, 0.7838619
172.8, -0.1831965, 0.7832299
172.9, -0.1838221, 0.7829139
173, -0.1838221, 0.7827559
173.1, -0.1850732, 0.7822819
173.2, -0.1856987, 0.7819659
173.3, -0.1869498, 0.7813339
173.35, -0.1869498, 0.7814919
173.5, -0.1875754, 0.781018
173.55, -0.1875754, 0.780702
173.65, -0.1888265, 0.7803859
173.75, -0.189452, 0.7799119
173.8, -0.1900776, 0.7797539
173.9, -0.1900776, 0.7792799
174, -0.1913287, 0.778964
174.1, -0.1925798, 0.77849
174.25, -0.1938309, 0.778016
174.3, -0.1938309, 0.777858
174.45, -0.195082, 0.7775421
174.5, -0.1957076, 0.777384
174.65, -0.1957076, 0.777068
174.7, -0.1969586, 0.776594
174.85, -0.1975842, 0.7761201
175, -0.1994608, 0.7754881
175.05, -0.1994608, 0.7754881
175.15, -0.2007119, 0.7748562
175.25, -0.2013375, 0.7745401
175.35, -0.201963, 0.7742241
175.4, -0.2025886, 0.7739081
175.55, -0.2044652, 0.7732762
175.6, -0.2044652, 0.7732762
175.7, -0.2057163, 0.7729601
175.8, -0.2057163, 0.7728022
175.95, -0.207593, 0.7718542
176.05, -0.207593, 0.7716962
176.1, -0.2088441, 0.7713802
176.15, -0.2088441, 0.7712222
176.3, -0.2107207, 0.7705902
176.35, -0.2107207, 0.7702742
176.5, -0.2119718, 0.7699583
176.55, -0.2125974, 0.7698002
176.7, -0.2150996, 0.7690102
176.75, -0.2150996, 0.7690102
176.85, -0.2157251, 0.7688522
176.9, -0.2163507, 0.7685363
176.95, -0.2176018, 0.7682202
177.1, -0.2188529, 0.7677463
177.25, -0.220104, 0.7672723
177.3, -0.220104, 0.7669563
177.45, -0.2213551, 0.7666403
177.5, -0.2219806, 0.7661663
177.55, -0.2226062, 0.7661663
177.65, -0.2232317, 0.7660083
177.75, -0.2238573, 0.7656924
177.85, -0.2244828, 0.7653764
177.9, -0.2251084, 0.7650604
178.05, -0.2257339, 0.7649024
178.2, -0.2263595, 0.7642704
178.25, -0.226985, 0.7641124
178.35, -0.2288617, 0.7634804
178.4, -0.2288617, 0.7634804
178.45, -0.2294872, 0.7634804
178.6, -0.2294872, 0.7630064
178.75, -0.2307383, 0.7625324
178.8, -0.2307383, 0.7623744
178.95, -0.232615, 0.7619004
179, -0.2319894, 0.7619004
179.1, -0.233866, 0.7612684
179.15, -0.2351171, 0.7611105
179.3, -0.2357427, 0.7607945
179.35, -0.2357427, 0.7604785
179.45, -0.2363683, 0.7601625
179.55, -0.2369938, 0.7598465
179.7, -0.2388704, 0.7592145
179.75, -0.2388704, 0.7588986
179.85, -0.2401216, 0.7587405
179.9, -0.239496, 0.7585826
179.95, -0.2413726, 0.7579505
180.1, -0.2419982, 0.7577925
180.25, -0.2426237, 0.7573186
180.3, -0.2432493, 0.7570026
180.45, -0.2445004, 0.7565286
