Experiment:, Load
Start date:, ?tvrtek 8. prosince 2022
Start time:, 17:21:50 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
172.5, -0.006166136, 0.9532332
172.65, -0.007417239, 0.9473874
172.7, -0.008042786, 0.9396456
172.85, -0.008668332, 0.9157883
172.95, -0.01054498, 0.9004627
173.05, -0.01054498, 0.886243
173.15, -0.01179608, 0.8785013
173.25, -0.01304718, 0.8706015
173.45, -0.01367273, 0.8611218
173.55, -0.01492382, 0.8574879
173.6, -0.01492382, 0.8555919
173.75, -0.01554937, 0.852274
173.8, -0.01617493, 0.8499041
173.85, -0.01742602, 0.8478501
174, -0.01867712, 0.8443742
174.15, -0.01930267, 0.8426363
174.2, -0.01992822, 0.8407403
174.25, -0.02055377, 0.8394763
174.35, -0.02055377, 0.8386863
174.4, -0.02117932, 0.8374224
174.55, -0.02243042, 0.8353685
174.7, -0.02305596, 0.8341045
174.75, -0.02305596, 0.8329985
174.9, -0.02493261, 0.8304706
174.95, -0.02493261, 0.8295226
175, -0.02618371, 0.8279427
175.1, -0.02618371, 0.8279427
175.25, -0.02806036, 0.8254148
175.3, -0.02806036, 0.8249407
175.45, -0.02931145, 0.8236768
175.5, -0.02931145, 0.8235188
175.55, -0.03056256, 0.8225708
175.7, -0.03118811, 0.8211489
175.75, -0.03181365, 0.8198849
175.85, -0.03306475, 0.8192528
176, -0.03431586, 0.8179889
176.05, -0.03431586, 0.817515
176.2, -0.03681805, 0.815777
176.25, -0.03681805, 0.815619
176.4, -0.03806914, 0.814513
176.45, -0.0386947, 0.813565
176.6, -0.03994579, 0.812933
176.8, -0.04119689, 0.8110371
176.95, -0.04244799, 0.8105631
177, -0.04307353, 0.8099312
177.15, -0.04369909, 0.8091412
177.2, -0.04432464, 0.8088252
177.25, -0.04495018, 0.8085092
177.35, -0.04557574, 0.8081931
177.4, -0.04620128, 0.8078772
177.55, -0.04620128, 0.8067712
177.65, -0.04745239, 0.8064553
177.75, -0.04745239, 0.8061392
177.9, -0.04932903, 0.8047173
177.95, -0.04995458, 0.8045593
178.05, -0.05058013, 0.8039273
178.1, -0.05058013, 0.8037694
178.25, -0.05308233, 0.8021894
178.3, -0.05370788, 0.8018733
178.4, -0.05433342, 0.8013994
178.5, -0.05495897, 0.8012414
178.6, -0.05558453, 0.8004514
178.7, -0.05495897, 0.8007674
178.8, -0.05683562, 0.7999774
178.85, -0.05683562, 0.7995034
179, -0.05871227, 0.7985555
179.05, -0.05871227, 0.7985555
179.2, -0.05933782, 0.7979235
179.25, -0.05933782, 0.7979235
179.4, -0.06121447, 0.7969755
179.45, -0.06121447, 0.7971334
179.55, -0.06184002, 0.7963435
179.6, -0.06246556, 0.7960275
179.75, -0.06371667, 0.7952375
179.8, -0.06434221, 0.7949216
179.95, -0.06559331, 0.7941316
180, -0.06621886, 0.7941316
180.15, -0.06746996, 0.7936576
180.2, -0.06684442, 0.7934996
180.3, -0.06809551, 0.7928676
180.35, -0.06872107, 0.7925516
180.4, -0.06997216, 0.7919196
180.55, -0.06997216, 0.7916036
180.7, -0.07122325, 0.7911296
180.75, -0.07184881, 0.7906557
180.9, -0.0730999, 0.7901817
180.95, -0.0730999, 0.7900237
181.05, -0.074351, 0.7898657
181.1, -0.074351, 0.7895497
181.25, -0.07560209, 0.7890757
181.3, -0.07622765, 0.7889177
181.4, -0.0768532, 0.7886018
181.5, -0.0768532, 0.7882857
181.65, -0.07935539, 0.7871798
181.7, -0.07935539, 0.7870218
181.8, -0.07998095, 0.7865478
181.85, -0.08060649, 0.7865478
182, -0.08123204, 0.7862318
182.05, -0.08123204, 0.7862318
182.2, -0.08310869, 0.7852838
182.25, -0.08310869, 0.7852838
182.4, -0.08498534, 0.7848098
182.45, -0.08435979, 0.7844938
182.55, -0.08561088, 0.7840198
182.6, -0.08561088, 0.7838619
182.7, -0.08686198, 0.7830719
182.8, -0.08748753, 0.7827559
182.95, -0.08998973, 0.7819659
183, -0.08998973, 0.7818079
183.15, -0.09124083, 0.781018
183.2, -0.09186638, 0.7808599
183.3, -0.09249193, 0.7803859
183.35, -0.09249193, 0.7802279
183.5, -0.09374303, 0.7799119
183.55, -0.09436858, 0.779596
183.7, -0.09561968, 0.779122
183.75, -0.09561968, 0.778806
183.9, -0.09749633, 0.77849
183.95, -0.09749633, 0.778332
184.05, -0.09812186, 0.777858
184.1, -0.09874742, 0.7777
184.25, -0.0999985, 0.777226
184.3, -0.0999985, 0.777068
184.4, -0.1018752, 0.7767521
184.5, -0.1025007, 0.7762781
184.55, -0.1031263, 0.7761201
184.7, -0.1037518, 0.7758041
184.8, -0.1043774, 0.7754881
184.85, -0.1043774, 0.7754881
184.95, -0.1056285, 0.7751721
185.05, -0.1050029, 0.7751721
185.2, -0.1075051, 0.7740661
185.25, -0.1075051, 0.7740661
185.4, -0.1093817, 0.7735921
185.45, -0.1093817, 0.7735921
185.55, -0.1100073, 0.7731181
185.6, -0.1106329, 0.7728022
185.75, -0.1112584, 0.7724862
185.8, -0.1112584, 0.7721702
185.9, -0.1125095, 0.7718542
186, -0.113135, 0.7713802
186.1, -0.1137606, 0.7712222
186.2, -0.1143861, 0.7709062
186.35, -0.1156372, 0.7705902
186.5, -0.1162628, 0.7702742
186.55, -0.1168883, 0.7699583
186.7, -0.118765, 0.7691682
186.75, -0.1193905, 0.7688522
186.8, -0.1200161, 0.7688522
186.95, -0.1200161, 0.7686942
187.05, -0.1212672, 0.7682202
187.1, -0.1218927, 0.7682202
187.2, -0.1225183, 0.7677463
187.3, -0.1225183, 0.7675883
187.4, -0.1231438, 0.7672723
187.5, -0.1237694, 0.7669563
187.6, -0.1243949, 0.7669563
187.7, -0.1250205, 0.7666403
187.8, -0.1262716, 0.7661663
187.85, -0.1262716, 0.7658504
187.95, -0.1281482, 0.7655343
188.05, -0.1281482, 0.7652184
188.15, -0.1293993, 0.7649024
188.25, -0.1306504, 0.7645864
188.4, -0.1319015, 0.7639544
188.45, -0.1325271, 0.7639544
188.55, -0.1331526, 0.7637964
188.6, -0.1331526, 0.7634804
188.75, -0.1350293, 0.7628484
188.8, -0.1350293, 0.7626904
188.95, -0.1362804, 0.7623744
189, -0.1362804, 0.7622164
189.15, -0.1375315, 0.7619004
189.2, -0.1375315, 0.7617425
189.35, -0.1387826, 0.7615845
189.5, -0.1400337, 0.7609525
189.55, -0.1406592, 0.7607945
189.6, -0.1412848, 0.7606365
189.75, -0.1425359, 0.7601625
189.85, -0.143787, 0.7598465
189.95, -0.143787, 0.7598465
190.1, -0.1450381, 0.7592145
190.25, -0.1456636, 0.7588986
190.3, -0.1462891, 0.7587405
190.35, -0.1469147, 0.7584246
190.5, -0.1475403, 0.7582666
190.65, -0.1487914, 0.7579505
190.7, -0.1494169, 0.7577925
190.75, -0.1481658, 0.7579505
190.85, -0.1494169, 0.7577925
191, -0.1519191, 0.7570026
191.05, -0.1519191, 0.7571605
191.2, -0.1531702, 0.7563706
191.25, -0.1531702, 0.7562126
191.35, -0.1544213, 0.7558966
191.45, -0.1550468, 0.7555806
191.55, -0.1556724, 0.7552646
191.6, -0.1556724, 0.7551066
191.75, -0.157549, 0.7547907
191.8, -0.157549, 0.7547907
191.95, -0.1588001, 0.7543167
192, -0.1594257, 0.7541587
192.15, -0.1606768, 0.7538427
192.2, -0.1606768, 0.7536847
192.3, -0.1619279, 0.7533687
192.35, -0.1625534, 0.7532107
192.5, -0.1638045, 0.7528947
192.55, -0.1638045, 0.7527367
192.7, -0.1656812, 0.7522627
192.75, -0.1663067, 0.7521047
192.9, -0.1675578, 0.7517887
192.95, -0.1675578, 0.7516307
193.1, -0.1681834, 0.7514727
193.2, -0.17006, 0.7509987
193.3, -0.17006, 0.7508407
193.4, -0.1713111, 0.7506828
193.5, -0.1713111, 0.7505248
193.65, -0.1725622, 0.7500508
193.7, -0.1731878, 0.7498928
193.8, -0.1738133, 0.7495768
193.85, -0.1731878, 0.7497348
194, -0.1750644, 0.7492608
194.05, -0.1756899, 0.7489448
194.2, -0.1769411, 0.7486288
194.25, -0.1769411, 0.7484708
194.35, -0.1781922, 0.7483128
194.45, -0.1781922, 0.7481548
194.55, -0.1794432, 0.7478389
194.6, -0.1800688, 0.7478389
194.75, -0.1813199, 0.7472069
194.8, -0.1819454, 0.7472069
194.9, -0.1831965, 0.7468909
195, -0.1831965, 0.7467328
195.1, -0.1850732, 0.7462589
