Experiment:, Load
Start date:, st?eda 22. ?nora 2023
Start time:, 14:04:54 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
158.3, -0.01492382, 1.027017
158.4, -0.005540589, 1.010112
158.45, -0.006166136, 1.010586
158.55, -0.006166136, 1.007742
158.6, -0.006791682, 1.004582
158.65, -0.006791682, 1.000474
158.75, -0.008668332, 0.9902043
158.8, -0.009293883, 0.9834105
158.85, -0.009919429, 0.9756686
158.95, -0.009919429, 0.9608171
159, -0.01054498, 0.9524432
159.1, -0.01054498, 0.9407516
159.2, -0.01179608, 0.9317458
159.3, -0.01242163, 0.924162
159.35, -0.01179608, 0.9225821
159.4, -0.01304718, 0.9205281
159.5, -0.01304718, 0.9161043
159.6, -0.01429828, 0.9138923
159.65, -0.01492382, 0.9123124
159.75, -0.01492382, 0.9093104
159.85, -0.01617493, 0.9061505
159.9, -0.01680047, 0.9048866
160, -0.01742602, 0.9028326
160.05, -0.01742602, 0.9025166
160.1, -0.01805157, 0.9020426
160.15, -0.01867712, 0.9010947
160.25, -0.01992822, 0.8988827
160.3, -0.01992822, 0.8980927
160.4, -0.02055377, 0.8966708
160.45, -0.02055377, 0.8960388
160.55, -0.02180487, 0.8950908
160.6, -0.02243042, 0.8941429
160.65, -0.02305596, 0.8935109
160.7, -0.02305596, 0.8931949
160.75, -0.02368151, 0.8928789
160.85, -0.02368151, 0.8917729
160.95, -0.02555816, 0.890193
161, -0.02555816, 0.889877
161.1, -0.02618371, 0.889087
161.15, -0.02680926, 0.8881391
161.25, -0.02806036, 0.8865591
161.35, -0.02868591, 0.8857691
161.4, -0.02868591, 0.8851371
161.5, -0.02931145, 0.8845051
161.55, -0.02931145, 0.8833992
161.65, -0.03056256, 0.8821352
161.75, -0.03118811, 0.8821352
161.8, -0.03181365, 0.8815032
161.9, -0.03118811, 0.8807132
161.95, -0.03181365, 0.8802392
162.05, -0.03306475, 0.8791333
162.1, -0.03306475, 0.8785013
162.15, -0.03431586, 0.8780273
162.2, -0.03431586, 0.8775533
162.25, -0.03556695, 0.8764474
162.35, -0.03619251, 0.8754994
162.45, -0.0374436, 0.8743934
162.5, -0.0374436, 0.8742354
162.6, -0.0386947, 0.8734454
162.65, -0.0386947, 0.8729714
162.75, -0.03932025, 0.8720235
162.85, -0.04057134, 0.8710755
162.9, -0.03994579, 0.8709175
163, -0.04119689, 0.8694955
163.05, -0.04119689, 0.8694955
163.1, -0.04182244, 0.8691795
163.15, -0.04119689, 0.8690215
163.25, -0.04307353, 0.8679156
163.3, -0.04307353, 0.8679156
163.4, -0.04495018, 0.8668096
163.45, -0.04495018, 0.8663356
163.6, -0.04557574, 0.8650717
163.65, -0.04620128, 0.8649137
163.7, -0.04620128, 0.8644397
163.8, -0.04745239, 0.8636497
163.85, -0.04745239, 0.8634917
163.95, -0.04807793, 0.8628597
164, -0.04870348, 0.8625437
164.1, -0.04932903, 0.8615957
164.15, -0.04995458, 0.8611218
164.2, -0.05058013, 0.8608057
164.25, -0.05058013, 0.8609638
164.35, -0.05120568, 0.8601738
164.4, -0.05183123, 0.8600158
164.45, -0.05245678, 0.8595418
164.55, -0.05308233, 0.8584358
164.65, -0.05433342, 0.8578038
164.75, -0.05558453, 0.8574879
164.8, -0.05621007, 0.8570139
164.9, -0.05683562, 0.8559079
164.95, -0.05683562, 0.8555919
