Experiment:, Load
Start date:, ?tvrtek 27. dubna 2023
Start time:, 14:30:51 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.35, -0.00178729, 0.9737727
300.5, -0.002412841, 1.00395
300.6, -0.003038393, 1.011534
300.7, -0.00366394, 1.013746
300.8, -0.004915043, 1.011218
300.85, -0.005540589, 1.007268
301, -0.006791682, 0.9932061
301.05, -0.006791682, 0.9864123
301.2, -0.008042786, 0.9653989
301.25, -0.008668332, 0.9574991
301.4, -0.01054498, 0.9356957
301.45, -0.01054498, 0.9285859
301.5, -0.01117053, 0.9227401
301.6, -0.01117053, 0.9127864
301.75, -0.01242163, 0.9025166
301.8, -0.01304718, 0.8995147
301.95, -0.01429828, 0.8935109
302, -0.01429828, 0.8914569
302.1, -0.01492382, 0.889561
302.2, -0.01492382, 0.887191
302.25, -0.01617493, 0.886085
302.35, -0.01617493, 0.8841891
302.45, -0.01742602, 0.8819772
302.55, -0.01805157, 0.8805552
302.65, -0.01930267, 0.8794492
302.75, -0.01992822, 0.8783433
302.9, -0.02055377, 0.8770794
302.95, -0.02117932, 0.8769214
303, -0.02243042, 0.8754994
303.1, -0.02243042, 0.8748674
303.25, -0.02430707, 0.8729714
303.3, -0.02368151, 0.8728135
303.45, -0.02493261, 0.8718655
303.5, -0.02493261, 0.8717075
303.55, -0.02618371, 0.8710755
303.7, -0.02680926, 0.8704435
303.8, -0.02806036, 0.8691795
303.85, -0.02806036, 0.8688635
304, -0.02931145, 0.8679156
304.05, -0.03056256, 0.8668096
304.2, -0.03118811, 0.8660197
304.25, -0.03181365, 0.8657036
304.4, -0.0336903, 0.8641236
304.45, -0.0336903, 0.8641236
304.55, -0.0349414, 0.8636497
304.6, -0.03556695, 0.8631757
304.75, -0.03619251, 0.8625437
304.8, -0.03619251, 0.8623857
304.95, -0.03806914, 0.8615957
305, -0.03806914, 0.8609638
305.15, -0.03994579, 0.8600158
305.2, -0.04057134, 0.8589098
305.25, -0.04119689, 0.8587518
305.35, -0.04119689, 0.8589098
305.45, -0.04244799, 0.8579618
305.55, -0.04244799, 0.8578038
305.65, -0.04369909, 0.8573298
305.75, -0.04369909, 0.8571718
305.85, -0.04620128, 0.8560659
305.95, -0.04620128, 0.8555919
306.1, -0.04620128, 0.8560659
306.25, -0.04807793, 0.85417
306.3, -0.04745239, 0.854328
306.35, -0.04870348, 0.853696
306.5, -0.04932903, 0.85338
306.55, -0.04995458, 0.853222
306.7, -0.05058013, 0.85259
306.8, -0.05183123, 0.851958
306.85, -0.05245678, 0.8518
306.95, -0.05308233, 0.851642
307.05, -0.05308233, 0.851168
307.2, -0.05558453, 0.850536
307.25, -0.05621007, 0.8499041
307.35, -0.05808672, 0.8491141
307.45, -0.05808672, 0.8491141
307.55, -0.05871227, 0.8484821
307.6, -0.05871227, 0.8484821
307.75, -0.06058892, 0.8476921
307.8, -0.06058892, 0.8472181
307.9, -0.06121447, 0.8469021
308, -0.06121447, 0.8465861
308.15, -0.06309112, 0.8461121
308.2, -0.06309112, 0.8459542
308.25, -0.06371667, 0.8454802
308.35, -0.06496777, 0.8451642
308.5, -0.06559331, 0.8451642
308.55, -0.06621886, 0.8446902
308.6, -0.06746996, 0.8443742
308.75, -0.06746996, 0.8442162
308.85, -0.06872107, 0.8435842
308.95, -0.0693466, 0.8432683
309, -0.06997216, 0.8427943
309.1, -0.0705977, 0.8427943
309.15, -0.07122325, 0.8427943
309.3, -0.07122325, 0.8424783
309.35, -0.07247435, 0.8421623
309.5, -0.0730999, 0.8421623
309.55, -0.07372544, 0.8416883
309.7, -0.074351, 0.8410563
309.8, -0.07560209, 0.8405823
309.85, -0.07560209, 0.8404243
310, -0.07747874, 0.8397923
310.05, -0.07747874, 0.8397923
310.2, -0.07935539, 0.8391604
310.25, -0.07998095, 0.8390024
310.35, -0.08060649, 0.8385284
310.45, -0.0818576, 0.8382124
310.55, -0.08248314, 0.8378964
310.65, -0.08248314, 0.8377384
310.75, -0.08435979, 0.8374224
310.8, -0.08498534, 0.8371064
310.85, -0.08435979, 0.8371064
311, -0.08561088, 0.8364744
311.1, -0.08623644, 0.8361584
311.2, -0.08561088, 0.8361584
311.25, -0.08686198, 0.8360004
311.35, -0.08748753, 0.8358424
311.5, -0.08873863, 0.8348945
311.55, -0.08998973, 0.8347365
311.65, -0.09124083, 0.8342625
311.75, -0.09061528, 0.8342625
311.9, -0.09186638, 0.8339465
311.95, -0.09249193, 0.8336305
312.05, -0.09311747, 0.8331565
312.1, -0.09374303, 0.8329985
312.2, -0.09499412, 0.8326825
312.3, -0.09499412, 0.8326825
312.4, -0.09624523, 0.8318925
312.5, -0.09749633, 0.8312606
312.6, -0.09874742, 0.8309445
312.7, -0.09812186, 0.8309445
312.8, -0.09937298, 0.8301546
312.85, -0.0999985, 0.8301546
313, -0.1012496, 0.8295226
313.05, -0.1018752, 0.8292066
313.15, -0.1031263, 0.8287326
313.25, -0.1031263, 0.8285747
313.4, -0.1043774, 0.8282586
313.45, -0.1043774, 0.8281007
313.55, -0.106254, 0.8277847
313.6, -0.106254, 0.8276266
313.75, -0.1081306, 0.8274687
313.8, -0.1081306, 0.8273107
313.95, -0.1093817, 0.8271527
314, -0.1100073, 0.8268367
314.1, -0.1112584, 0.8265207
314.2, -0.1112584, 0.8263627
314.3, -0.1106329, 0.8262047
314.35, -0.1118839, 0.8260467
314.4, -0.1137606, 0.8257307
314.55, -0.113135, 0.8254148
314.65, -0.1143861, 0.8250987
314.75, -0.1150117, 0.8247827
314.9, -0.1168883, 0.8241507
314.95, -0.1175139, 0.8239927
315.1, -0.1175139, 0.8239927
315.25, -0.118765, 0.8236768
315.3, -0.118765, 0.8233608
315.45, -0.1206416, 0.8230448
315.5, -0.1212672, 0.8228868
315.55, -0.1218927, 0.8225708
315.7, -0.1225183, 0.8225708
315.75, -0.1231438, 0.8222548
315.85, -0.1231438, 0.8222548
316, -0.1250205, 0.8217809
316.05, -0.1250205, 0.8216228
316.15, -0.1262716, 0.8214648
316.25, -0.1268971, 0.8214648
316.35, -0.1281482, 0.8208328
316.45, -0.1293993, 0.8206749
316.55, -0.1300249, 0.8203589
316.6, -0.1306504, 0.8202009
316.75, -0.1319015, 0.8197268
316.8, -0.1319015, 0.8197268
316.95, -0.1331526, 0.8192528
317, -0.1331526, 0.8192528
317.15, -0.1344037, 0.8187789
317.2, -0.1350293, 0.8186209
317.3, -0.1362804, 0.8184629
317.35, -0.1362804, 0.8183049
317.5, -0.1375315, 0.8179889
317.55, -0.1375315, 0.8179889
317.7, -0.1394081, 0.817515
317.75, -0.1400337, 0.8173569
317.95, -0.1406592, 0.817041
318, -0.1412848, 0.816883
318.1, -0.1419103, 0.8165669
318.2, -0.143787, 0.816251
318.3, -0.143787, 0.816093
318.45, -0.1450381, 0.815777
318.5, -0.1456636, 0.815777
318.6, -0.1469147, 0.815461
318.7, -0.1469147, 0.815461
318.8, -0.1475403, 0.815145
318.85, -0.1481658, 0.815145
319, -0.1494169, 0.814513
319.05, -0.1494169, 0.814513
319.15, -0.150668, 0.8141971
319.25, -0.1512935, 0.814039
319.4, -0.1537957, 0.813723
319.45, -0.1531702, 0.813565
319.55, -0.1544213, 0.813407
319.6, -0.1550468, 0.8132491
319.7, -0.1556724, 0.812933
319.8, -0.1556724, 0.812933
319.95, -0.1569235, 0.8124591
320, -0.157549, 0.8124591
320.15, -0.1581746, 0.8123011
320.2, -0.1581746, 0.8123011
320.25, -0.1594257, 0.8119851
320.35, -0.1600512, 0.8118271
320.45, -0.1606768, 0.8115111
320.55, -0.1613023, 0.8111951
320.65, -0.1625534, 0.8111951
320.75, -0.163179, 0.8108791
320.9, -0.1644301, 0.8105631
320.95, -0.1650556, 0.8104051
321, -0.1656812, 0.8102471
321.1, -0.1650556, 0.8100892
321.15, -0.1663067, 0.8099312
321.3, -0.1675578, 0.8097731
321.45, -0.1688089, 0.8094572
321.5, -0.1688089, 0.8094572
321.6, -0.17006, 0.8091412
321.7, -0.1706856, 0.8089832
321.75, -0.1713111, 0.8088252
321.85, -0.1719366, 0.8086672
321.9, -0.1731878, 0.8083512
322.05, -0.1731878, 0.8081931
322.2, -0.1750644, 0.8078772
322.25, -0.1744389, 0.8078772
322.4, -0.1763155, 0.8074032
322.45, -0.1769411, 0.8074032
322.6, -0.1769411, 0.8072452
322.7, -0.1781922, 0.8072452
322.8, -0.1794432, 0.8066132
322.95, -0.1800688, 0.8064553
323, -0.1806944, 0.8064553
323.15, -0.1819454, 0.8061392
323.2, -0.1819454, 0.8061392
323.3, -0.1831965, 0.8058233
323.35, -0.1831965, 0.8058233
323.45, -0.1838221, 0.8056653
323.55, -0.1844477, 0.8053493
323.7, -0.1856987, 0.8051913
323.75, -0.1863243, 0.8048753
323.85, -0.1875754, 0.8048753
323.9, -0.188201, 0.8047173
324.05, -0.1900776, 0.8042433
324.1, -0.1900776, 0.8042433
324.2, -0.1913287, 0.8040853
324.3, -0.1919543, 0.8039273
324.35, -0.1925798, 0.8036113
324.5, -0.1938309, 0.8032954
324.6, -0.1944564, 0.8031374
324.65, -0.1944564, 0.8031374
324.8, -0.1957076, 0.8029793
324.85, -0.1957076, 0.8028213
325, -0.1975842, 0.8025053
325.05, -0.1982097, 0.8021894
325.15, -0.1994608, 0.8018733
325.25, -0.1994608, 0.8018733
325.35, -0.2007119, 0.8018733
325.4, -0.2007119, 0.8017154
