Experiment:, Load
Start date:, ?ter? 23. kv?tna 2023
Start time:, 13:34:28 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
175.35, -0.00366394, 0.9102585
175.5, -0.004915043, 0.9478614
175.65, -0.006791682, 0.9374337
175.7, -0.006791682, 0.9301659
175.8, -0.008042786, 0.9101005
175.85, -0.008042786, 0.9012527
176, -0.008668332, 0.887191
176.05, -0.009293883, 0.8805552
176.2, -0.009919429, 0.8720235
176.25, -0.01054498, 0.8687055
176.35, -0.01179608, 0.8649137
176.45, -0.01304718, 0.8622277
176.6, -0.01367273, 0.8585938
176.75, -0.01554937, 0.8552759
176.8, -0.01617493, 0.854012
176.95, -0.01742602, 0.85259
177, -0.01805157, 0.8506941
177.15, -0.01867712, 0.849746
177.2, -0.01930267, 0.8484821
177.3, -0.01867712, 0.8492721
177.35, -0.01992822, 0.8484821
177.55, -0.02117932, 0.8454802
177.65, -0.02243042, 0.8446902
177.75, -0.02305596, 0.8437423
177.9, -0.02493261, 0.8423203
177.95, -0.02493261, 0.8424783
178.05, -0.02618371, 0.8399503
178.1, -0.02680926, 0.8397923
178.2, -0.02868591, 0.8385284
178.3, -0.02806036, 0.8396344
178.35, -0.02931145, 0.8385284
178.5, -0.02993701, 0.8378964
178.6, -0.03181365, 0.8360004
178.7, -0.03181365, 0.8361584
178.8, -0.03243921, 0.8355264
178.85, -0.03306475, 0.8350524
179, -0.03431586, 0.8336305
179.05, -0.03431586, 0.8334725
179.2, -0.03619251, 0.8318925
179.25, -0.03619251, 0.8320506
179.35, -0.0374436, 0.8311026
179.45, -0.0374436, 0.8304706
179.5, -0.03806914, 0.8301546
179.6, -0.0386947, 0.8295226
179.75, -0.03994579, 0.8290486
179.8, -0.04057134, 0.8281007
179.85, -0.04119689, 0.8279427
180, -0.04182244, 0.8274687
180.15, -0.04369909, 0.8271527
180.2, -0.04369909, 0.8266787
180.3, -0.04495018, 0.8258888
180.35, -0.04495018, 0.8257307
180.5, -0.04620128, 0.8247827
180.55, -0.04682683, 0.8244667
180.6, -0.04745239, 0.8243088
180.75, -0.04745239, 0.8239927
180.9, -0.04995458, 0.8232028
180.95, -0.05058013, 0.8228868
181, -0.05120568, 0.8222548
181.1, -0.05058013, 0.8217809
181.25, -0.05308233, 0.8214648
181.3, -0.05308233, 0.8214648
181.4, -0.05433342, 0.8206749
181.5, -0.05433342, 0.8205169
181.6, -0.05558453, 0.8197268
181.7, -0.05621007, 0.8198849
181.75, -0.05683562, 0.8192528
181.85, -0.05683562, 0.8192528
182, -0.05808672, 0.8187789
182.05, -0.05871227, 0.8184629
182.1, -0.05933782, 0.8181469
182.25, -0.05996337, 0.817515
182.4, -0.06184002, 0.8165669
182.45, -0.06184002, 0.8165669
182.55, -0.06246556, 0.8165669
182.6, -0.06246556, 0.816409
182.75, -0.06371667, 0.815935
182.8, -0.06434221, 0.815777
182.95, -0.06559331, 0.8148291
183, -0.06621886, 0.814513
183.1, -0.06684442, 0.8148291
183.2, -0.06746996, 0.8141971
