Experiment:, Load
Start date:, ?tvrtek 5. ??jna 2023
Start time:, 13:57:09 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
150.3, -0.02931145, 1.028439
150.4, -0.003038393, 0.9744047
150.45, -0.004289486, 0.9753526
150.55, -0.00366394, 0.9766166
150.6, -0.004289486, 0.9747207
150.7, -0.004289486, 0.9680849
150.8, -0.005540589, 0.9578151
150.85, -0.006791682, 0.9502314
150.95, -0.007417239, 0.9380657
151, -0.007417239, 0.9333258
151.1, -0.009293883, 0.9262159
151.15, -0.009919429, 0.9224241
151.3, -0.01054498, 0.9168943
151.4, -0.01117053, 0.9124703
151.45, -0.01179608, 0.9104164
151.55, -0.01304718, 0.9064665
151.6, -0.01367273, 0.9055186
151.65, -0.01429828, 0.9044126
151.75, -0.01429828, 0.9022006
151.8, -0.01492382, 0.9007787
151.9, -0.01554937, 0.8993567
151.95, -0.01617493, 0.8982507
152.05, -0.01680047, 0.8957228
152.1, -0.01617493, 0.8950908
152.15, -0.01680047, 0.8949329
152.25, -0.01805157, 0.8931949
152.3, -0.01805157, 0.8924049
152.35, -0.01867712, 0.8920889
152.45, -0.01992822, 0.889877
152.6, -0.02055377, 0.8881391
152.7, -0.02180487, 0.8864011
152.75, -0.02368151, 0.8848211
152.8, -0.02430707, 0.8838732
152.9, -0.02430707, 0.8835571
153.05, -0.02555816, 0.8821352
153.15, -0.02618371, 0.8811872
153.2, -0.02680926, 0.8797652
153.3, -0.02743481, 0.8783433
153.35, -0.02743481, 0.8781853
153.4, -0.02806036, 0.8778693
153.5, -0.02868591, 0.8767633
153.6, -0.02993701, 0.8751833
153.65, -0.03056256, 0.8743934
153.75, -0.03118811, 0.8739194
153.8, -0.03181365, 0.8726555
153.85, -0.03306475, 0.8715495
153.95, -0.03306475, 0.8715495
154.05, -0.03431586, 0.8698115
154.1, -0.0336903, 0.8696535
154.15, -0.03431586, 0.8690215
154.2, -0.0349414, 0.8680736
154.35, -0.03556695, 0.8674416
154.45, -0.03619251, 0.8661776
154.5, -0.03681805, 0.8649137
154.6, -0.03806914, 0.8634917
154.65, -0.03806914, 0.8628597
154.7, -0.0386947, 0.8623857
154.8, -0.03994579, 0.8608057
154.95, -0.04057134, 0.8585938
155.05, -0.04182244, 0.8563819
