Experiment:, Load
Start date:, st?eda 20. z??? 2023
Start time:, 14:00:35 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
89, -0.002014828, 0.7946056
90, -0.002559933, 0.7897077
91, -0.003274209, 0.7848098
92, -0.003925827, 0.779596
93, -0.00477168, 0.7746981
94, -0.005655125, 0.7698002
95, -0.006676413, 0.7647444
96, -0.007785419, 0.7598465
97, -0.008975877, 0.7547907
98, -0.0103543, 0.7495768
99, -0.01169514, 0.7448369
100, -0.01333672, 0.739939
101, -0.01497829, 0.7348832
102, -0.01673892, 0.7298273
103, -0.01860606, 0.7249295
104, -0.02059225, 0.7198736
105, -0.02249071, 0.7149757
106, -0.02462101, 0.7099199
107, -0.02685155, 0.704864
108, -0.02910716, 0.7001241
109, -0.03146301, 0.6950682
110, -0.03386899, 0.6901703
111, -0.03641908, 0.6851146
112, -0.03903809, 0.6802167
113, -0.0418012, 0.6751608
114, -0.04451419, 0.670105
115, -0.0473337, 0.6652071
116, -0.05012188, 0.6603092
117, -0.05321708, 0.6552534
118, -0.0561243, 0.6505135
119, -0.05936359, 0.6454576
120, -0.0625653, 0.6404018
121, -0.06596124, 0.6351879
122, -0.06931332, 0.63029
123, -0.07285964, 0.6252342
124, -0.07643728, 0.6204943
125, -0.07999612, 0.6155964
126, -0.08363642, 0.6105406
127, -0.08743335, 0.6054847
128, -0.0911363, 0.6005868
129, -0.09530291, 0.595531
130, -0.09918756, 0.5906332
131, -0.103304, 0.5857353
132, -0.1072889, 0.5808374
133, -0.1115871, 0.5756235
134, -0.1156159, 0.5708836
135, -0.1209291, 0.5658278
136, -0.1254507, 0.5609299
137, -0.1289532, 0.555874
138, -0.1322681, 0.5509762
139, -0.136396, 0.5460783
140, -0.139836, 0.5410224
141, -0.1433385, 0.5359666
142, -0.1467784, 0.5310687
143, -0.1502184, 0.5263288
144, -0.1534081, 0.520957
145, -0.1563477, 0.5152691
146, -0.1594749, 0.5097393
147, -0.1626021, 0.5046834
148, -0.1657919, 0.4999436
149, -0.168669, 0.4948877
150, -0.1717336, 0.4898318
151, -0.1748609, 0.484934
152, -0.1781757, 0.4800361
153, -0.1811778, 0.4749802
154, -0.1846803, 0.4699244
155, -0.1879326, 0.4650265
156, -0.1908097, 0.4599707
157, -0.1939995, 0.4549148
158, -0.1970642, 0.4500169
159, -0.2000663, 0.444961
160, -0.2029433, 0.4400632
161, -0.2058829, 0.4350073
162, -0.2088851, 0.4301095
163, -0.2123875, 0.4250536
164, -0.2151395, 0.4201558
165, -0.2178289, 0.4152579
166, -0.2205183, 0.41036
167, -0.2235205, 0.4053041
168, -0.2260848, 0.4005643
169, -0.2290869, 0.3955084
170, -0.232089, 0.3904525
171, -0.2352163, 0.3853967
172, -0.2374053, 0.3803408
173, -0.239782, 0.375285
174, -0.2422838, 0.3703871
175, -0.2455986, 0.3653312
176, -0.2479753, 0.3605914
177, -0.2501644, 0.3555355
178, -0.2522909, 0.3504796
179, -0.2545425, 0.3455818
180, -0.2572944, 0.3406839
181, -0.2595461, 0.335628
182, -0.2616726, 0.3304142
183, -0.2639242, 0.3256743
184, -0.2659881, 0.3206185
185, -0.2683023, 0.3157206
186, -0.2709291, 0.3106647
187, -0.2722426, 0.3056089
188, -0.2740564, 0.300711
189, -0.2761203, 0.2959711
190, -0.277809, 0.2907572
191, -0.2799981, 0.2858594
192, -0.2813115, 0.2809615
193, -0.2829377, 0.2760637
194, -0.2854395, 0.2710078
195, -0.2865027, 0.2659519
196, -0.2879412, 0.2610541
197, -0.2895674, 0.2559982
198, -0.2911935, 0.2509423
199, -0.29332, 0.2460445
200, -0.2948837, 0.2413046
201, -0.2959469, 0.2359247
202, -0.2973854, 0.2308893
203, -0.2986363, 0.2259485
204, -0.3001374, 0.2209446
205, -0.3012632, 0.2158776
206, -0.3024515, 0.2110789
207, -0.30389, 0.2060435
208, -0.3060166, 0.2008975
