Experiment:, Load
Start date:, ?tvrtek 21. z??? 2023
Start time:, 14:27:35 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
184, -0.00214014, 0.8657036
185, -0.002503543, 0.8606478
186, -0.002948399, 0.8555919
187, -0.003462175, 0.850852
188, -0.004094998, 0.8457962
189, -0.004702758, 0.8405823
190, -0.005410768, 0.8358424
191, -0.006250355, 0.8298386
192, -0.00707741, 0.8244667
193, -0.008111229, 0.8194109
194, -0.009044799, 0.8143551
195, -0.01021019, 0.8094572
196, -0.01145704, 0.8042433
197, -0.01274149, 0.7995034
198, -0.01418257, 0.7944475
199, -0.0156863, 0.7895497
200, -0.01731535, 0.7844938
201, -0.01898199, 0.779596
202, -0.02091805, 0.7742241
203, -0.02283532, 0.7694843
204, -0.0248403, 0.7645864
205, -0.02707711, 0.7596885
206, -0.02927633, 0.7544746
207, -0.03156953, 0.7495768
208, -0.03396297, 0.7448369
209, -0.03648173, 0.739939
210, -0.03910701, 0.7345672
211, -0.04182626, 0.7295113
212, -0.04457058, 0.7247715
213, -0.04736503, 0.7198736
214, -0.0502096, 0.7149757
215, -0.0532296, 0.7096039
216, -0.05619322, 0.704864
217, -0.05921949, 0.6998081
218, -0.0622019, 0.6949102
219, -0.06528456, 0.6898544
220, -0.06867424, 0.6849565
221, -0.07169424, 0.6800587
222, -0.07497113, 0.6751608
223, -0.07831069, 0.670105
224, -0.08173168, 0.6652071
225, -0.0852404, 0.6599932
226, -0.08866767, 0.6549373
227, -0.09212, 0.6500395
228, -0.09565378, 0.6451416
229, -0.09925022, 0.6402437
230, -0.1028404, 0.6351879
231, -0.1065496, 0.63029
232, -0.1105596, 0.6252342
233, -0.1141811, 0.6203363
234, -0.1179529, 0.6152804
235, -0.1225112, 0.6102245
236, -0.1264515, 0.6053267
237, -0.1304543, 0.6002708
238, -0.1343946, 0.595373
239, -0.1385851, 0.5901591
240, -0.1429632, 0.5852613
241, -0.1474664, 0.5803634
242, -0.1516569, 0.5753075
243, -0.1564102, 0.5702516
244, -0.160976, 0.5653538
245, -0.1657919, 0.5602979
246, -0.1704827, 0.555558
247, -0.1754238, 0.5503442
248, -0.1805524, 0.5454463
249, -0.185556, 0.5405484
250, -0.1906846, 0.5354926
251, -0.1957507, 0.5304368
252, -0.2008794, 0.5256969
253, -0.2062582, 0.520641
254, -0.2113868, 0.5146372
255, -0.2165155, 0.5092653
256, -0.2218317, 0.5042095
257, -0.2270229, 0.4993116
258, -0.2322767, 0.4942557
259, -0.2371552, 0.4893579
260, -0.2421587, 0.48446
261, -0.2470372, 0.4795621
262, -0.251728, 0.4743483
263, -0.2564814, 0.4692924
264, -0.2608595, 0.4643945
265, -0.2654252, 0.4593387
266, -0.2693655, 0.4544408
267, -0.2732433, 0.449385
268, -0.2768709, 0.4444871
269, -0.2808737, 0.4395892
270, -0.2844387, 0.4343754
271, -0.2878161, 0.4296355
272, -0.2913186, 0.4245796
273, -0.2946335, 0.4196817
274, -0.2978858, 0.4146259
275, -0.3011381, 0.409728
276, -0.3044529, 0.4045142
277, -0.3074551, 0.3997743
278, -0.3104572, 0.3948765
279, -0.3133968, 0.3898206
280, -0.316524, 0.3847647
281, -0.3192134, 0.3800248
282, -0.3223407, 0.3749689
283, -0.3250926, 0.3699131
284, -0.327782, 0.3651732
285, -0.3306591, 0.3599594
286, -0.3335361, 0.3549035
287, -0.336163, 0.3498477
288, -0.3388524, 0.3449498
289, -0.3416043, 0.3400519
290, -0.3443563, 0.334996
291, -0.3469206, 0.3300982
292, -0.3496726, 0.3250423
293, -0.3521743, 0.3201444
294, -0.3550514, 0.3154046
295, -0.3576783, 0.3100327
296, -0.3604303, 0.3049769
297, -0.3630571, 0.300395
298, -0.3656214, 0.2953391
299, -0.3673727, 0.2905993
300, -0.3695617, 0.2853854
301, -0.3719384, 0.2804875
302, -0.3742525, 0.2754317
303, -0.3764416, 0.2703758
304, -0.3785681, 0.2653199
305, -0.3807572, 0.2602641
306, -0.3831339, 0.2553662
307, -0.3851353, 0.2503103
308, -0.3871367, 0.2454125
309, -0.3892007, 0.2406726
310, -0.3913272, 0.2350092
311, -0.3931409, 0.2301158
312, -0.3953925, 0.2251119
313, -0.3975191, 0.220108
314, -0.3992703, 0.2152146
315, -0.4012717, 0.2102581
316, -0.4032732, 0.2051911
