Experiment:, Load
Start date:, ?ter? 31. ??jna 2023
Start time:, 11:14:43 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
167.5336, -0.01054498, 0.9429635
167.5836, -0.01054498, 0.9379077
167.8836, -0.01304718, 0.9178422
167.9836, -0.01429828, 0.9134184
168.2836, -0.01554937, 0.9059926
168.3336, -0.01617493, 0.9045706
168.6336, -0.01867712, 0.8988827
168.7336, -0.01867712, 0.8969868
168.9336, -0.02117932, 0.8935109
169.0836, -0.02243042, 0.8920889
169.4336, -0.02430707, 0.888455
169.4836, -0.02555816, 0.8875071
169.6836, -0.02743481, 0.8848211
169.8336, -0.02743481, 0.8838732
170.1836, -0.03056256, 0.8808712
170.2336, -0.03056256, 0.8805552
170.4336, -0.03306475, 0.8783433
170.5836, -0.0336903, 0.8775533
170.9336, -0.03619251, 0.8756573
170.9836, -0.03681805, 0.8747094
171.2336, -0.0386947, 0.8729714
171.3336, -0.03932025, 0.8724974
171.6836, -0.04182244, 0.8709175
171.7336, -0.04244799, 0.8706015
171.9836, -0.04495018, 0.8691795
172.0836, -0.04557574, 0.8688635
172.3836, -0.04870348, 0.8666516
172.4836, -0.04870348, 0.8661776
172.7336, -0.05058013, 0.8647557
172.8336, -0.05058013, 0.8644397
173.1836, -0.05433342, 0.8625437
173.2336, -0.05433342, 0.8623857
173.3336, -0.05558453, 0.8615957
173.5836, -0.05683562, 0.8609638
173.9336, -0.05996337, 0.8592258
173.9836, -0.06058892, 0.8592258
174.2336, -0.06246556, 0.8582778
174.3336, -0.06371667, 0.8574879
174.6836, -0.06621886, 0.8562239
174.7336, -0.06684442, 0.8559079
174.9336, -0.06872107, 0.8554339
175.0836, -0.0693466, 0.8551179
175.3836, -0.07247435, 0.85417
175.4836, -0.0730999, 0.853854
175.7336, -0.07560209, 0.852432
175.8336, -0.07622765, 0.852432
176.0836, -0.0781043, 0.851958
176.2336, -0.07935539, 0.851168
176.5336, -0.08123204, 0.8502201
176.5836, -0.08123204, 0.850536
176.9336, -0.08561088, 0.8481661
176.9836, -0.08561088, 0.8483241
177.2836, -0.08873863, 0.8473761
177.3336, -0.08998973, 0.8472181
177.6836, -0.09249193, 0.8464282
177.7336, -0.09249193, 0.8462701
177.8836, -0.09374303, 0.8457962
178.0836, -0.09436858, 0.8451642
178.4336, -0.09687077, 0.8445322
178.4836, -0.09749633, 0.8440582
178.6836, -0.09937298, 0.8432683
178.8336, -0.0999985, 0.8427943
179.1336, -0.1031263, 0.8418462
179.2336, -0.1031263, 0.8415303
179.5336, -0.106254, 0.8405823
179.5836, -0.1068796, 0.8405823
179.9336, -0.1100073, 0.8394763
179.9836, -0.1106329, 0.8394763
180.2836, -0.1125095, 0.8391604
180.3336, -0.1125095, 0.8393183
180.6336, -0.1150117, 0.8380544
180.7336, -0.1156372, 0.8377384
180.9836, -0.1175139, 0.8372644
181.0836, -0.118765, 0.8369485
181.4336, -0.1218927, 0.8364744
181.4836, -0.1225183, 0.8361584
181.7336, -0.1243949, 0.8356844
181.8336, -0.1243949, 0.8355264
182.1336, -0.1268971, 0.8348945
182.2336, -0.1268971, 0.8345785
182.5336, -0.1306504, 0.8328406
182.5836, -0.1306504, 0.8328406
182.8336, -0.1319015, 0.8318925
182.9836, -0.1325271, 0.8312606
183.2836, -0.1350293, 0.8304706
183.3336, -0.1356548, 0.8303126
183.6336, -0.1387826, 0.8292066
183.7336, -0.1394081, 0.8288906
183.9336, -0.1412848, 0.8285747
184.0836, -0.1419103, 0.8277847
184.4336, -0.1450381, 0.8266787
184.4836, -0.1456636, 0.8265207
184.6336, -0.1469147, 0.8262047
184.8336, -0.1481658, 0.8258888
185.0336, -0.1500424, 0.8252567
185.2336, -0.150668, 0.8250987
185.4836, -0.1531702, 0.8246247
185.5836, -0.1531702, 0.8244667
185.9336, -0.1562979, 0.8232028
185.9836, -0.1569235, 0.8230448
186.2336, -0.1588001, 0.8222548
186.3336, -0.1594257, 0.8220968
186.6836, -0.1625534, 0.8216228
186.7336, -0.1625534, 0.8216228
186.9836, -0.1650556, 0.8209909
187.0836, -0.1650556, 0.8206749
187.4336, -0.1675578, 0.8202009
187.4836, -0.1681834, 0.8198849
187.7836, -0.1713111, 0.8192528
187.8336, -0.1713111, 0.8190949
188.1336, -0.1738133, 0.8184629
188.2336, -0.1738133, 0.8184629
188.4836, -0.1763155, 0.8171989
188.5836, -0.1769411, 0.816409
188.9336, -0.1800688, 0.812933
188.9836, -0.1806944, 0.8127751
189.2836, -0.1831965, 0.8116691
189.3336, -0.1831965, 0.8118271
189.6836, -0.1856987, 0.8102471
189.7336, -0.1856987, 0.8104051
190.0336, -0.188201, 0.8096152
190.0836, -0.1888265, 0.8094572
190.3836, -0.1925798, 0.8088252
190.4836, -0.1938309, 0.8088252
190.7336, -0.195082, 0.8086672
190.8336, -0.195082, 0.8086672
191.0836, -0.1975842, 0.8075612
191.2336, -0.1975842, 0.8069292
191.4836, -0.2000864, 0.8059813
191.5836, -0.2007119, 0.8058233
191.9336, -0.2050908, 0.8050333
191.9836, -0.2057163, 0.8048753
192.2336, -0.207593, 0.8042433
192.3336, -0.2082185, 0.8039273
192.6336, -0.2113463, 0.8031374
192.7336, -0.2113463, 0.8031374
193.0336, -0.2138485, 0.8025053
193.0836, -0.2138485, 0.8025053
193.4336, -0.2163507, 0.8020313
193.4836, -0.2169762, 0.8018733
193.6836, -0.2194784, 0.8012414
193.8336, -0.220104, 0.8012414
194.1836, -0.2226062, 0.8006094
194.2336, -0.2226062, 0.8004514
194.5336, -0.2257339, 0.7996615
194.5836, -0.2257339, 0.7995034
194.8336, -0.2282361, 0.7988715
194.9836, -0.2288617, 0.7988715
195.2836, -0.2313638, 0.7982395
195.3336, -0.2307383, 0.7982395
195.6836, -0.233866, 0.7977655
195.7336, -0.2344916, 0.7976075
196.0336, -0.2369938, 0.7971334
196.0836, -0.2376193, 0.7971334
196.4336, -0.2407471, 0.7961855
196.4836, -0.2413726, 0.7961855
196.7336, -0.2438748, 0.7955535
196.8336, -0.2445004, 0.7952375
197.1836, -0.2476281, 0.7946056
197.3336, -0.2470026, 0.7946056
197.5336, -0.2488792, 0.7942896
