Experiment:, Load
Start date:, ?ter? 30. ledna 2024
Start time:, 14:46:47 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
150.35, -0.003038393, 0.9857804
150.5, -0.004289486, 1.045187
150.65, -0.005540589, 1.064936
150.7, -0.005540589, 1.064778
150.8, -0.006166136, 1.05672
150.85, -0.006791682, 1.050243
150.95, -0.007417239, 1.037761
151.05, -0.007417239, 1.014378
151.2, -0.009293883, 0.9712448
151.25, -0.01054498, 0.9510213
151.4, -0.01117053, 0.9091524
151.45, -0.01179608, 0.8979347
151.55, -0.01242163, 0.8822932
151.6, -0.01304718, 0.8761314
151.75, -0.01429828, 0.8691795
151.8, -0.01429828, 0.8660197
151.85, -0.01492382, 0.8641236
152, -0.01617493, 0.8595418
152.1, -0.01680047, 0.8568559
152.2, -0.01742602, 0.8557499
152.25, -0.01867712, 0.853854
152.35, -0.01930267, 0.852748
152.45, -0.01992822, 0.851484
152.55, -0.01992822, 0.849746
152.65, -0.02117932, 0.8473761
152.75, -0.02243042, 0.8462701
152.9, -0.02368151, 0.8440582
152.95, -0.02368151, 0.8440582
153.05, -0.02493261, 0.8415303
153.1, -0.02493261, 0.8418462
153.2, -0.02618371, 0.8399503
153.3, -0.02618371, 0.8388444
153.45, -0.02743481, 0.8371064
153.5, -0.02806036, 0.8364744
153.65, -0.02931145, 0.8342625
153.7, -0.02931145, 0.8341045
153.75, -0.02993701, 0.8341045
153.85, -0.03056256, 0.8326825
154, -0.03181365, 0.8314186
154.05, -0.03243921, 0.8296806
154.2, -0.0336903, 0.8281007
154.25, -0.0336903, 0.8274687
154.4, -0.0349414, 0.8268367
154.45, -0.0349414, 0.8262047
154.5, -0.03556695, 0.8262047
154.6, -0.03619251, 0.8254148
154.75, -0.0374436, 0.8239927
154.8, -0.03806914, 0.8233608
154.95, -0.0386947, 0.8224128
155, -0.0386947, 0.8222548
155.15, -0.03994579, 0.8209909
155.2, -0.03994579, 0.8205169
155.25, -0.04119689, 0.8198849
155.35, -0.04182244, 0.8187789
155.4, -0.04244799, 0.8187789
155.55, -0.04307353, 0.8178309
155.6, -0.04369909, 0.8171989
155.75, -0.04432464, 0.815777
155.85, -0.04557574, 0.8148291
155.95, -0.04620128, 0.814513
156.05, -0.04745239, 0.813881
156.1, -0.04745239, 0.813565
156.2, -0.04870348, 0.8124591
156.3, -0.04932903, 0.8113531
156.45, -0.05058013, 0.8102471
156.5, -0.05058013, 0.8100892
156.6, -0.05183123, 0.8091412
156.7, -0.05245678, 0.8085092
156.75, -0.05308233, 0.8081931
156.85, -0.05308233, 0.8078772
157, -0.05558453, 0.8061392
157.05, -0.05558453, 0.8059813
157.2, -0.05746117, 0.8048753
157.25, -0.05683562, 0.8045593
157.4, -0.05871227, 0.8036113
157.45, -0.05933782, 0.8031374
157.6, -0.06058892, 0.8021894
157.75, -0.06184002, 0.8015574
157.8, -0.06184002, 0.8009254
157.95, -0.06309112, 0.8001354
158, -0.06371667, 0.7998194
158.15, -0.06496777, 0.7987134
158.2, -0.06496777, 0.7985555
158.3, -0.06621886, 0.7979235
158.35, -0.06621886, 0.7976075
158.45, -0.06746996, 0.7974495
158.55, -0.06809551, 0.7965015
