Experiment:, Load
Start date:, ?tvrtek 1. ?nora 2024
Start time:, 15:46:47 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
150.6, -0.007417239, 0.997472
150.8, -0.008042786, 0.9842004
151.05, -0.01054498, 0.9311138
151.1, -0.01054498, 0.9211602
151.35, -0.01304718, 0.888297
151.45, -0.01304718, 0.8827672
151.65, -0.01617493, 0.8694955
151.75, -0.01680047, 0.8666516
152.05, -0.01867712, 0.8598578
152.1, -0.01867712, 0.8600158
152.35, -0.02117932, 0.8554339
152.4, -0.02180487, 0.854802
152.6, -0.02368151, 0.85101
152.75, -0.02368151, 0.8492721
152.95, -0.02618371, 0.8462701
153.05, -0.02680926, 0.8453222
153.35, -0.02931145, 0.8415303
153.4, -0.02931145, 0.8408983
153.65, -0.03118811, 0.8380544
153.7, -0.03118811, 0.8380544
154, -0.03431586, 0.8339465
154.05, -0.0349414, 0.8334725
154.3, -0.03681805, 0.8318925
154.35, -0.03681805, 0.8312606
154.65, -0.03932025, 0.8263627
154.7, -0.03994579, 0.8266787
154.95, -0.04244799, 0.8236768
155, -0.04244799, 0.8235188
155.2, -0.04369909, 0.8222548
155.35, -0.04432464, 0.8214648
155.55, -0.04620128, 0.8200429
155.65, -0.04620128, 0.8189369
155.85, -0.04870348, 0.817515
156, -0.04995458, 0.8165669
156.25, -0.05245678, 0.8141971
156.3, -0.05245678, 0.8141971
156.55, -0.05621007, 0.8111951
156.65, -0.05621007, 0.8111951
156.8, -0.05808672, 0.8100892
156.95, -0.05871227, 0.8097731
157.25, -0.06121447, 0.8083512
157.3, -0.06058892, 0.8081931
157.55, -0.06309112, 0.8062972
157.6, -0.06246556, 0.8064553
157.9, -0.06496777, 0.8055072
157.95, -0.06496777, 0.8047173
158.15, -0.06746996, 0.8034533
158.25, -0.06746996, 0.8034533
158.55, -0.0705977, 0.8012414
158.6, -0.0705977, 0.8010834
158.85, -0.07372544, 0.7991874
158.9, -0.074351, 0.7988715
159.1, -0.07560209, 0.7977655
159.25, -0.07560209, 0.7972915
159.5, -0.0781043, 0.7960275
159.55, -0.0781043, 0.7958695
159.75, -0.08060649, 0.7947636
159.9, -0.08060649, 0.7939736
160.1, -0.08310869, 0.7930256
160.2, -0.08435979, 0.7925516
160.5, -0.08686198, 0.7909716
160.55, -0.08686198, 0.7908136
160.8, -0.08873863, 0.7897077
160.85, -0.08811309, 0.7897077
161.1, -0.09061528, 0.7887597
161.2, -0.09124083, 0.7884437
161.4, -0.09374303, 0.7874958
161.5, -0.09374303, 0.7873378
161.75, -0.09687077, 0.7855998
161.85, -0.09687077, 0.7854418
162.05, -0.09937298, 0.7841778
162.15, -0.1006241, 0.7835459
162.4, -0.1018752, 0.7825979
162.5, -0.1018752, 0.7825979
162.75, -0.1043774, 0.7813339
162.8, -0.1050029, 0.781176
163.05, -0.1068796, 0.7799119
163.15, -0.1075051, 0.7799119
163.4, -0.1100073, 0.77849
163.45, -0.1100073, 0.77849
163.75, -0.1125095, 0.777226
163.8, -0.113135, 0.7769101
164, -0.1150117, 0.7761201
164.1, -0.1150117, 0.7758041
164.4, -0.118765, 0.7742241
164.45, -0.118765, 0.7742241
164.65, -0.1206416, 0.7731181
164.75, -0.1200161, 0.7729601
165, -0.1231438, 0.7721702
165.1, -0.1237694, 0.7716962
165.35, -0.125646, 0.7707482
165.4, -0.125646, 0.7705902
165.65, -0.1281482, 0.7699583
165.75, -0.1281482, 0.7698002
166, -0.131276, 0.7686942
166.05, -0.1319015, 0.7683783
166.35, -0.1344037, 0.7669563
166.4, -0.1344037, 0.7669563
166.65, -0.1369059, 0.7661663
166.75, -0.1375315, 0.7658504
166.95, -0.1387826, 0.7655343
