Experiment:, Load
Start date:, st?eda 4. ??jna 2023
Start time:, 17:38:17 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
184, 0.7148178, -0.005511017
185, 0.7099199, -0.00646965
186, 0.705022, -0.007497203
187, 0.6999661, -0.008587412
188, 0.6949102, -0.009740277
189, 0.6898544, -0.01087435
190, 0.6847985, -0.01207107
191, 0.6797427, -0.01329286
192, 0.6748449, -0.01456477
193, 0.669947, -0.01589307
194, 0.6650491, -0.01729656
195, 0.6601512, -0.018581
196, 0.6550953, -0.01995942
197, 0.6500395, -0.02136918
198, 0.6452996, -0.0227476
199, 0.6402437, -0.02416989
200, 0.6351879, -0.0256047
201, 0.6298161, -0.02706458
202, 0.6252342, -0.02848686
203, 0.6203363, -0.02990288
204, 0.6152804, -0.03134396
205, 0.6102245, -0.03278505
206, 0.6054847, -0.03416974
207, 0.6002708, -0.03556696
208, 0.595373, -0.03683261
209, 0.5901591, -0.03813584
210, 0.5854192, -0.03939522
211, 0.5803634, -0.04062327
212, 0.5753075, -0.04185133
213, 0.5704097, -0.04302299
214, 0.5653538, -0.04402548
215, 0.5604559, -0.04492772
216, 0.5552421, -0.04583623
217, 0.5503442, -0.04668208
218, 0.5452883, -0.04757179
219, 0.5402325, -0.0484991
220, 0.5354926, -0.04952665
221, 0.5304368, -0.05022839
222, 0.5253808, -0.05092387
223, 0.519851, -0.05160682
224, 0.5147951, -0.0522647
225, 0.5094233, -0.05291633
226, 0.5040514, -0.05351782
227, 0.4989956, -0.05410052
228, 0.4940977, -0.0546143
229, 0.4891998, -0.05523458
230, 0.483986, -0.0564877
231, 0.4787721, -0.054395
232, 0.4738743, -0.06027944
233, 0.4686604, -0.05801023
234, 0.4631306, -0.06102998
235, 0.4593387, -0.06040453
236, 0.4536508, -0.06228086
237, 0.4492269, -0.06090489
239, 0.4523869, -0.008612475
240, 0.4339013, -0.0629063
241, 0.4293195, -0.06378193
242, 0.4239476, -0.06509537
243, 0.4195237, -0.06784732
244, 0.4136779, -0.06668178
245, 0.4087801, -0.06934839
247, 0.3993003, -0.06916075
248, 0.3945604, -0.07022401
249, 0.3895046, -0.07109963
250, 0.3842907, -0.07266324
252, 0.374653, -0.07441449
253, 0.3695971, -0.07585301
254, 0.3643833, -0.07672863
255, 0.3594854, -0.07797952
256, 0.3544295, -0.0793555
257, 0.3495317, -0.08010603
258, 0.3446338, -0.0810442
259, 0.3395779, -0.08285799
260, 0.3346801, -0.08673574
261, 0.3296242, -0.08729864
262, 0.3247263, -0.08679829
263, 0.3201444, -0.0625653
264, 0.3937705, -0.007417239
265, 0.1192567, -0.8650452
266, 0.300553, -0.1694345
267, 0.2904412, -0.6292131
268, 0.2961291, -0.1569235
269, 0.2861754, -0.1512935
270, 0.2523643, -0.2926677
271, 0.2757477, -0.1431614
272, 0.08493985, -0.1588001
273, 0.09660506, -0.188201
274, 0.1204406, -0.08561088
275, 0.3492157, 0.1902563
