Experiment:, Cathode characterisation
Start date:, ?tvrtek 1. z??? 2022
Start time:, 12:07:24 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
841.05, 0.3991423, 0.06679546
841.1, 0.4000903, 0.0697716
841.15, 0.4008803, 0.06867513
841.2, 0.4019862, 0.0697716
841.25, 0.4029342, 0.06804857
841.3, 0.4038822, 0.06914505
841.35, 0.4049881, 0.06851849
841.4, 0.4059362, 0.06867513
841.45, 0.4067261, 0.06804857
841.5, 0.4076741, 0.06898841
841.55, 0.4087801, 0.06851849
841.6, 0.409728, 0.06945832
841.65, 0.410676, 0.06898841
841.7, 0.411782, 0.07102472
841.75, 0.4128879, 0.06789193
841.8, 0.4138359, 0.06851849
841.85, 0.4149419, 0.06945832
841.9, 0.4160478, 0.06883177
841.95, 0.4168378, 0.06726538
842, 0.4179438, 0.06867513
842.05, 0.4188918, 0.06679546
842.1, 0.4198397, 0.06961497
842.15, 0.4209457, 0.06930169
842.2, 0.4220517, 0.07024152
842.25, 0.4229997, 0.06867513
842.3, 0.4239476, 0.06914505
842.35, 0.4250536, 0.0697716
842.4, 0.4260016, 0.06789193
842.45, 0.4269496, 0.06851849
842.5, 0.4278975, 0.07039816
842.55, 0.4288455, 0.06945832
842.6, 0.4299515, 0.07071144
842.65, 0.4307414, 0.06914505
842.7, 0.4316894, 0.07071144
842.75, 0.4327954, 0.06836185
842.8, 0.4339013, 0.06930169
842.85, 0.4346913, 0.06945832
842.9, 0.4357973, 0.06867513
842.95, 0.4367453, 0.07008488
843, 0.4376933, 0.07071144
843.05, 0.4387992, 0.06883177
843.1, 0.4395892, 0.0697716
843.15, 0.4406952, 0.07102472
843.2, 0.4418011, 0.07008488
843.25, 0.4427491, 0.07039816
843.3, 0.4436971, 0.0697716
843.35, 0.4448031, 0.071338
843.4, 0.445751, 0.07165127
843.45, 0.446857, 0.07071144
843.5, 0.447805, 0.07071144
843.55, 0.448911, 0.07102472
843.6, 0.4498589, 0.071338
843.65, 0.4508069, 0.071338
843.7, 0.4519129, 0.07321767
843.75, 0.4528608, 0.071338
843.8, 0.4538088, 0.07039816
843.85, 0.4547568, 0.06945832
843.9, 0.4560207, 0.07071144
843.95, 0.4569688, 0.0697716
844, 0.4579167, 0.0697716
844.05, 0.4590227, 0.06992824
844.1, 0.4599707, 0.06930169
844.15, 0.4609186, 0.07039816
844.2, 0.4617086, 0.07118136
844.25, 0.4626566, 0.07102472
844.3, 0.4637626, 0.071338
844.35, 0.4647105, 0.06961497
844.4, 0.4656585, 0.07118136
844.45, 0.4666065, 0.06945832
844.5, 0.4675545, 0.06945832
844.55, 0.4686604, 0.07196455
844.6, 0.4696084, 0.071338
844.65, 0.4705564, 0.0721212
844.7, 0.4715044, 0.07086808
844.75, 0.4726103, 0.07337431
844.8, 0.4735583, 0.0705548
844.85, 0.4746643, 0.07180792
844.9, 0.4756122, 0.071338
844.95, 0.4767182, 0.07196455
845, 0.4776662, 0.07008488
