Experiment:, Cathode characterisation
Start date:, ?tvrtek 13. ??jna 2022
Start time:, 15:24:30 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
1167.55, 0.05030725, -0.7317515
1167.65, 0.05240667, -0.4800322
1167.7, 0.05333799, -0.4097012
1167.75, 0.05430089, -0.355504
1167.8, 0.05535849, -0.3006802
1167.85, 0.0563056, -0.2634001
1167.9, 0.05726849, -0.2322289
1168, 0.05938371, -0.164874
1168.05, 0.06033081, -0.1493667
1168.1, 0.06130949, -0.1181955
1168.15, 0.06238288, -0.09689257
1168.2, 0.06325106, -0.08498799
1168.25, 0.06429289, -0.05773276
1168.35, 0.06640809, -0.01027106
1168.4, 0.06726049, -0.01089762
1168.45, 0.06844438, 0.02215327
1168.5, 0.06935991, 0.02074351
1168.55, 0.07027546, 0.0266958
1168.6, 0.07119099, 0.03311801
1168.65, 0.07215388, 0.04235973
1168.7, 0.07322727, 0.06460251
1168.8, 0.0752162, 0.08214611
1168.85, 0.07622645, 0.08527889
1168.9, 0.0772367, 0.09765339
1168.95, 0.07823116, 0.0953038
1169, 0.07924141, 0.1065818
1169.05, 0.08020431, 0.1070518
1169.15, 0.08209852, 0.1128474
1169.2, 0.08315613, 0.1184864
1169.25, 0.08404009, 0.1109677
1169.3, 0.0850977, 0.1347769
1169.35, 0.08637629, 0.1554533
1169.45, 0.08819158, 0.1327406
1169.5, 0.08928076, 0.1466815
1169.55, 0.09016473, 0.1405726
1169.6, 0.09130126, 0.15514
1169.65, 0.09223258, 0.1451151
1169.7, 0.09316391, 0.1502842
1169.75, 0.09406366, 0.1448018
1169.8, 0.09507391, 0.1520072
1169.9, 0.09722069, 0.1657915
1169.95, 0.09815201, 0.1596825
1170, 0.09908334, 0.1626587
1170.05, 0.1000147, 0.153417
1170.1, 0.1010249, 0.1648516
1170.15, 0.1020667, 0.1673579
1170.2, 0.1031875, 0.1797324
1170.3, 0.1051133, 0.1678278
1170.35, 0.1061393, 0.1731535
1170.4, 0.1070706, 0.1687676
1170.45, 0.1080019, 0.1640684
1170.5, 0.1089806, 0.1708039
1170.6, 0.1110011, 0.1737801
1170.65, 0.1121061, 0.1823952
1170.7, 0.113069, 0.1739367
1170.75, 0.1141108, 0.1780093
1170.8, 0.1150421, 0.1719004
1170.85, 0.1161313, 0.1791058
1170.9, 0.1171415, 0.1800456
1170.95, 0.1181991, 0.179889
1171.05, 0.1202828, 0.1806722
1171.1, 0.1211352, 0.1689243
1171.15, 0.1220981, 0.1739367
1171.2, 0.1231241, 0.1755031
1171.25, 0.1241817, 0.1786359
1171.3, 0.1252235, 0.1817687
1171.4, 0.1271967, 0.1792625
1171.45, 0.1281596, 0.1711172
1171.5, 0.1291382, 0.1709606
1171.55, 0.1301011, 0.1714305
1171.6, 0.1309535, 0.1661048
1171.65, 0.1320269, 0.1787925
1171.7, 0.1330845, 0.1761297
1171.75, 0.1341106, 0.1800456
1171.85, 0.1360679, 0.1717438
1171.9, 0.137094, 0.177696
1171.95, 0.1380726, 0.1708039
1172, 0.1391618, 0.179889
1172.05, 0.140251, 0.1814554
1172.1, 0.1411981, 0.1750332
1172.2, 0.1430292, 0.166888
1172.25, 0.1441499, 0.1787925
1172.3, 0.1451286, 0.1692375
1172.35, 0.1461388, 0.1750332
1172.4, 0.1471017, 0.166418
1172.45, 0.1479541, 0.1565498
1172.5, 0.1489328, 0.1576462
1172.55, 0.1500536, 0.1714305
1172.65, 0.1521056, 0.1697075
1172.7, 0.1531317, 0.166888
1172.75, 0.1541577, 0.166888
1172.8, 0.1551206, 0.162502
1172.85, 0.1561308, 0.1643817
1172.9, 0.1569517, 0.1529471
1173, 0.1590195, 0.1637552
1173.05, 0.1599982, 0.1634419
1173.1, 0.1607875, 0.1490311
1173.15, 0.1618766, 0.1643817
1173.2, 0.1629184, 0.1621888
1173.25, 0.1639603, 0.1618755
1173.3, 0.1648758, 0.1540435
1173.35, 0.1658703, 0.160779
1173.45, 0.1679223, 0.1604657
1173.5, 0.1688537, 0.1546701
1173.55, 0.1699744, 0.1643817
1173.6, 0.1710478, 0.1618755
1173.65, 0.1720738, 0.1651649
