Experiment:, Cathode characterisation
Start date:, st?eda 19. ??jna 2022
Start time:, 15:32:08 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
775.55, 0.05063874, -0.6409008
775.65, 0.05256452, -0.4004595
775.7, 0.05366948, -0.3058493
775.75, 0.05475866, -0.2342652
775.8, 0.0556742, -0.1983948
775.85, 0.05668445, -0.1524995
775.9, 0.05780519, -0.1025316
776, 0.05966783, -0.0630585
776.05, 0.06063073, -0.04269539
776.1, 0.06164098, -0.01888622
776.15, 0.06265122, 0.005392865
776.2, 0.06359833, 0.01886384
776.3, 0.06552412, 0.02043023
776.35, 0.06645545, 0.0282622
776.4, 0.06743412, 0.04361285
776.45, 0.06847595, 0.07039816
776.5, 0.06950198, 0.0932675
776.55, 0.07044908, 0.09843659
776.6, 0.07152248, 0.09702684
776.65, 0.07254851, 0.08825504
776.7, 0.07355876, 0.08465233
776.75, 0.07444272, 0.05990333
776.85, 0.07640009, 0.06710874
776.9, 0.07739455, 0.07525398
776.95, 0.07832587, 0.08527889
777, 0.07935191, 0.1018827
777.05, 0.08034638, 0.1010995
777.1, 0.08121455, 0.07039816
777.2, 0.08331398, 0.08747184
777.25, 0.08437158, 0.1079916
777.3, 0.08527134, 0.101726
777.35, 0.08636051, 0.1302344
777.45, 0.08836523, 0.1299211
777.5, 0.08943861, 0.1466815
777.55, 0.09040151, 0.1493444
777.6, 0.09153803, 0.1618755
777.65, 0.09254829, 0.1518506
777.7, 0.09351118, 0.1448018
777.75, 0.09442671, 0.1385362
777.8, 0.09535804, 0.1446452
777.85, 0.0963525, 0.1507541
777.9, 0.09755218, 0.166888
778, 0.09955689, 0.1595259
778.05, 0.1006145, 0.1675145
778.1, 0.1016405, 0.1637552
778.15, 0.1026508, 0.1692375
778.2, 0.1035979, 0.1570197
778.25, 0.1046239, 0.1689243
778.35, 0.1065024, 0.1628153
778.4, 0.1074495, 0.1639118
778.45, 0.1084597, 0.1692375
778.5, 0.1095173, 0.179889
778.55, 0.1106065, 0.1850581
778.65, 0.1125954, 0.172527
778.7, 0.1135267, 0.1719004
778.75, 0.1146475, 0.1866245
778.8, 0.1157209, 0.1803589
778.85, 0.1166364, 0.1704907
