Experiment:, Cathode characterisation
Start date:, ?ter? 25. ??jna 2022
Start time:, 15:14:40 +02:00
Time (s), Voltage (V), Current Density (A/cm2)
884.55, 0.0501494, -0.5959453
884.65, 0.05228039, -0.3392136
884.7, 0.05333799, -0.2655931
884.75, 0.05425353, -0.2237704
884.8, 0.05531114, -0.1711396
884.85, 0.0563056, -0.1468605
884.9, 0.05725271, -0.1214849
885, 0.05919428, -0.08279504
885.05, 0.06015718, -0.06446825
885.1, 0.06126213, -0.03799621
885.15, 0.06228817, -0.02280221
885.2, 0.06320371, -0.01731983
885.25, 0.06422974, -0.002125819
885.35, 0.06615553, 0.009622125
885.4, 0.0670395, 0.0107186
885.45, 0.06792347, 0.01526114
885.5, 0.06899685, 0.0450226
885.55, 0.07014918, 0.05880686
885.6, 0.07103314, 0.05222801
885.65, 0.0721381, 0.07165127
885.7, 0.07302207, 0.05708382
885.8, 0.07501099, 0.0793266
885.85, 0.07605281, 0.08104963
885.9, 0.07714199, 0.09655692
885.95, 0.07823116, 0.09984634
886, 0.07917827, 0.09358077
886.1, 0.08105671, 0.09060463
886.15, 0.08206695, 0.1037623
886.2, 0.08310878, 0.1057986
886.25, 0.08419795, 0.1175466
886.3, 0.08523976, 0.1192696
886.35, 0.08620267, 0.1195829
886.4, 0.08714977, 0.1177032
886.45, 0.08833365, 0.1401026
886.55, 0.0901963, 0.1291379
886.6, 0.09117498, 0.1300777
886.65, 0.09220101, 0.1410425
886.7, 0.09308498, 0.1272582
886.75, 0.0941268, 0.1391628
886.8, 0.09510548, 0.1427655
886.9, 0.09709441, 0.1451151
886.95, 0.09799416, 0.1407292
887, 0.09898862, 0.1482479
887.05, 0.09999888, 0.1471514
887.1, 0.101088, 0.1609357
887.15, 0.1022404, 0.170334
887.2, 0.1032506, 0.1628153
887.3, 0.1054763, 0.1734668
887.35, 0.1063761, 0.1576462
887.4, 0.1073074, 0.1592126
887.45, 0.1083492, 0.1657915
887.5, 0.1091543, 0.1460549
887.55, 0.1100382, 0.1538869
887.65, 0.1119798, 0.1626587
887.7, 0.1131163, 0.1784793
887.75, 0.1140319, 0.162972
887.8, 0.1149948, 0.1598392
887.85, 0.1159734, 0.1653215
887.9, 0.1169205, 0.1642251
887.95, 0.1180571, 0.1808289
888, 0.1191936, 0.1875643
888.05, 0.1201881, 0.1736234
888.15, 0.1223033, 0.1833351
888.2, 0.1231872, 0.1711172
888.25, 0.1242291, 0.1802023
888.3, 0.1251604, 0.1734668
888.35, 0.1262969, 0.1875643
888.4, 0.1271809, 0.1704907
888.5, 0.1292172, 0.178166
888.55, 0.1301169, 0.1698641
888.6, 0.1310956, 0.1780093
888.65, 0.132169, 0.1842749
888.7, 0.1332582, 0.1850581
888.75, 0.1342211, 0.1800456
888.85, 0.1361468, 0.1736234
888.9, 0.1371413, 0.1767562
888.95, 0.1381674, 0.1805156
889, 0.1390513, 0.1734668
889.05, 0.1401089, 0.1805156
889.1, 0.1409929, 0.1689243
889.15, 0.1419874, 0.1762863
889.25, 0.1441341, 0.1872511
889.3, 0.1451444, 0.1786359
889.35, 0.1461388, 0.1811421
889.4, 0.1471491, 0.1747199
889.45, 0.1482383, 0.1845882
889.5, 0.1492012, 0.172057
889.55, 0.1502272, 0.1817687
889.65, 0.1522951, 0.17425
889.7, 0.1532106, 0.1723703
889.75, 0.1540788, 0.1648516
889.8, 0.1551522, 0.1770695
889.85, 0.1562255, 0.1809855
889.95, 0.1581987, 0.1690809
890, 0.1593352, 0.1831784
890.05, 0.1602508, 0.1672012
890.1, 0.1611189, 0.1639118
890.15, 0.1621608, 0.1701774
890.2, 0.1631079, 0.1662614
890.25, 0.1640392, 0.1648516
890.3, 0.1649389, 0.1592126
890.35, 0.1661386, 0.1784793
890.45, 0.1680328, 0.1678278
890.5, 0.1691062, 0.1684543
890.55, 0.1700375, 0.1618755
890.6, 0.1711583, 0.1679844
890.65, 0.172279, 0.175973
890.75, 0.174047, 0.1549834
890.8, 0.1750888, 0.1584294
890.85, 0.1760675, 0.1573329
890.9, 0.1771566, 0.164695
890.95, 0.1781195, 0.1529471
891.05, 0.1799822, 0.1424522
891.1, 0.1811503, 0.1571763
891.15, 0.1821132, 0.1501276
891.2, 0.1831076, 0.1493444
891.25, 0.1840232, 0.1430788
891.3, 0.1850019, 0.1471514
891.35, 0.185949, 0.1401026
891.4, 0.1869908, 0.1493444
891.45, 0.18808, 0.147778
891.5, 0.1890113, 0.1410425
891.6, 0.1910634, 0.1452717
891.65, 0.1919631, 0.1354035
891.7, 0.1928629, 0.1380663
891.75, 0.1938415, 0.1366566
891.8, 0.1949465, 0.1437053
891.85, 0.1960357, 0.1476213
891.95, 0.1981351, 0.1499709
892, 0.1990664, 0.1336804
892.05, 0.1999504, 0.1336804
892.1, 0.2009922, 0.1422956
892.15, 0.2020972, 0.1454284
892.25, 0.2040545, 0.1368132
892.3, 0.2051437, 0.143862
892.35, 0.2060908, 0.1426089
892.4, 0.2071168, 0.1437053
892.45, 0.2080482, 0.1300777
892.5, 0.2090269, 0.141669
892.55, 0.210116, 0.1388495
892.65, 0.2122786, 0.1437053
892.7, 0.2132099, 0.1328972
892.75, 0.2141886, 0.1386929
892.8, 0.215183, 0.1318008
892.85, 0.2162249, 0.1426089
892.9, 0.2172667, 0.1363433
892.95, 0.2181033, 0.1219325
893.05, 0.2202027, 0.1466815
893.1, 0.2214024, 0.147778
893.15, 0.2222706, 0.1275715
893.2, 0.2232808, 0.1401026
893.25, 0.2241964, 0.1325839
893.3, 0.2253329, 0.1424522
893.35, 0.22628, 0.1327406
893.45, 0.2283005, 0.1397894
893.5, 0.2294528, 0.1432354
893.55, 0.2304789, 0.1397894
893.6, 0.2313628, 0.1261617
893.65, 0.2323889, 0.1357167
893.7, 0.2334622, 0.1386929
893.75, 0.234362, 0.1269449
893.85, 0.2363667, 0.1335238
893.9, 0.2374717, 0.1404159
893.95, 0.2384819, 0.132114
894, 0.2393975, 0.1245953
894.05, 0.2403446, 0.1274149
894.15, 0.2422861, 0.1244387
894.2, 0.2434385, 0.1361867
894.25, 0.2444014, 0.122559
894.3, 0.2453011, 0.1244387
894.35, 0.2463587, 0.1302344
894.4, 0.2474163, 0.1281981
894.45, 0.2485055, 0.1324273
894.5, 0.2494052, 0.1216192
894.6, 0.2514731, 0.1297645
894.65, 0.2524517, 0.1236555
894.7, 0.2534147, 0.120836
894.75, 0.2543618, 0.1186431
894.8, 0.2553247, 0.1177032
894.9, 0.2572978, 0.1195829
894.95, 0.2583712, 0.1245953
895.05, 0.2604391, 0.1173899
895.1, 0.2614651, 0.1106544
895.15, 0.262428, 0.1111244
895.2, 0.2633593, 0.1084615
895.25, 0.2643222, 0.105642
895.3, 0.2653167, 0.1150403
895.4, 0.2673845, 0.1109677
895.45, 0.2683948, 0.1031358
895.5, 0.2694208, 0.1076783
895.55, 0.2703837, 0.1006295
895.65, 0.272199, 0.09718347
895.7, 0.2733039, 0.103919
895.75, 0.2743773, 0.1006295
895.8, 0.2753245, 0.09483389
895.85, 0.2763821, 0.09452061
895.9, 0.2772976, 0.09123117
895.95, 0.2782447, 0.09749676
896, 0.2793339, 0.09546044
896.05, 0.2802968, 0.09091791
896.1, 0.2813544, 0.09436397
896.2, 0.2834222, 0.08903823
896.25, 0.2842273, 0.07838677
